event_utc,cycle_run_id,event_type,supplier_id,f061_run_id,status,rows,notes
2026-05-13T23:10:10Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12298
2026-05-13T23:10:10Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4831,processed_rows=4820;memory_rows=33433
2026-05-13T23:25:03Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:25:10Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:25:49Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:25:56Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:26:55Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:27:01Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:27:58Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:28:05Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:28:50Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:28:58Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:29:43Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:29:48Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:30:38Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:30:45Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:33:53Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:34:00Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:34:41Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:34:46Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:24:04Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12273
2026-05-13T23:24:04Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4856,processed_rows=4845;memory_rows=33458
2026-05-13T23:36:41Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:36:47Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:37:36Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:37:44Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:39:32Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:39:39Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:40:24Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:40:29Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:41:24Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:41:31Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:43:32Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:43:38Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:44:21Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:44:28Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:45:43Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:45:51Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:35:44Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12248
2026-05-13T23:35:44Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4882,processed_rows=4871;memory_rows=33483
2026-05-13T23:50:00Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:50:08Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
