sku,phase,phase_entered_utc,strategy_start_date,phase_lock_until_utc,below_floor_streak_days,recovery_streak_days,last_transition_reason_codes_json,updated_utc
8U-QPFH-3EKQ,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,3400,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T05:38:05Z
9X-HL62-83C7,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,3401,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
A1-KSU1-GZMS,3,2026-03-06T07:36:01Z,2026-03-04T14:05:00Z,2026-03-20T07:36:01Z,0,0,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
A2-T2AC-TW3L,0,2026-03-25T12:08:21Z,2026-03-04T14:05:00Z,2026-04-08T12:08:21Z,0,3021,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-05T15:42:59Z
AF-KIHX-ANYY,3,2026-05-29T00:45:29Z,2026-03-04T14:05:00Z,2026-06-12T00:45:29Z,327,700,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
AX-NKNU-29C1,0,2026-03-18T09:14:50Z,2026-03-04T14:05:00Z,2026-04-01T09:14:50Z,0,492,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-18T11:02:00Z
BL-WX51-KQOK,1,2026-03-04T14:05:00Z,2026-03-04T14:05:00Z,,0,0,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-29T23:49:11Z
CJ-X0SS-QOUW,3,2026-04-03T10:19:28Z,2026-03-04T14:05:00Z,2026-04-17T10:19:28Z,1128,0,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-22T10:38:40Z
CX-SMCH-4DYA,4,2026-06-01T02:31:11Z,2026-03-04T14:05:00Z,2026-06-15T02:31:11Z,2792,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T03:15:24Z
D0-C7C0-H6LN,0,2026-04-03T10:01:42Z,2026-03-04T14:05:00Z,2026-04-17T10:01:42Z,0,1480,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-22T10:38:40Z
D8-1A3E-I37F,1,2026-03-04T14:05:00Z,2026-03-04T14:05:00Z,,0,0,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-28T23:55:20Z
DC-K5WH-R7F5,1,2026-05-21T09:48:48Z,2026-03-04T14:05:00Z,2026-06-04T09:48:48Z,0,2190,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-22T10:38:40Z
FB-6FW0-Z82Q,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,2790,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T06:04:22Z
GY-FO04-RDYL,1,2026-03-04T14:05:00Z,2026-03-04T14:05:00Z,,215,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_COMPETITIVE_TEST_LOCK_P1"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-09T17:19:15Z
H6-E7MP-EBPD,2,2026-05-26T08:40:52Z,2026-03-04T14:05:00Z,2026-06-09T08:40:52Z,0,224,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-28T21:48:53Z
HL-03ZR-QPHH,3,2026-03-17T00:14:57Z,2026-03-04T14:05:00Z,2026-03-31T00:14:57Z,794,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-04-01T06:15:50Z
HS-R5IP-7E1C,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,0,38,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T06:04:22Z
IJ-V0PQ-4CZ4,1,2026-03-04T14:05:00Z,2026-03-04T14:05:00Z,,0,125,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-26T15:21:20Z
JB-RGB6-LZOJ,3,2026-06-09T04:27:45Z,2026-03-04T14:05:00Z,2026-06-23T04:27:45Z,234,2859,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T06:04:22Z
LP-QMNJ-J49G,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T06:04:22Z
LR-7GM6-1RCH,3,2026-03-06T07:36:01Z,2026-03-04T14:05:00Z,2026-03-20T07:36:01Z,1,286,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-18T11:02:00Z
OV-LVEL-DQL6,3,2026-03-29T17:44:47Z,2026-03-04T14:05:00Z,2026-04-12T17:44:47Z,2679,0,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T13:41:35Z
R4-0AXZ-ZZ9D,3,2026-03-06T07:36:01Z,2026-03-04T14:05:00Z,2026-03-20T07:36:01Z,491,4,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-18T11:02:00Z
R7-98IN-2PW8,3,2026-05-20T02:48:35Z,2026-03-04T14:05:00Z,2026-06-03T02:48:35Z,2883,2883,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T17:47:49Z
RI-VSUS-0YTD,3,2026-05-21T05:13:28Z,2026-03-04T14:05:00Z,2026-06-04T05:13:28Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T17:24:40Z
RZ-6ZL9-CZ7J,4,2026-06-01T00:46:47Z,2026-03-04T14:05:00Z,2026-06-15T00:46:47Z,3205,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
TJ-6LOP-OPEU,4,2026-06-01T00:46:47Z,2026-03-04T14:05:00Z,2026-06-15T00:46:47Z,186,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
TK-E7QE-T40G,2,2026-05-29T23:25:10Z,2026-03-04T14:05:00Z,2026-06-12T23:25:10Z,0,46,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-02T07:07:34Z
UR-Q7TM-1F3I,3,2026-03-06T07:36:01Z,2026-03-04T14:05:00Z,2026-03-20T07:36:01Z,406,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-15T02:22:59Z
US-AK96-YFSB,3,2026-05-02T01:48:18Z,2026-03-04T14:05:00Z,2026-05-16T01:48:18Z,0,0,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T17:47:49Z
VF-3T0K-DR5O,3,2026-06-05T00:32:13Z,2026-03-04T14:05:00Z,2026-06-19T00:32:13Z,2646,2163,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:06:55Z
VO-A6AR-18YS,1,2026-03-02T12:51:13Z,2026-03-02T12:51:13Z,,0,0,"[""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-04T13:47:14Z
VU-8KRA-QP5M,0,2026-03-18T09:14:50Z,2026-03-04T14:05:00Z,2026-04-01T09:14:50Z,0,2008,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T17:24:40Z
W3-8FN7-FSP0,4,2026-06-03T10:12:15Z,2026-03-04T14:05:00Z,2026-06-17T10:12:15Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
WE-1Z7L-SA2I,4,2026-06-01T00:46:47Z,2026-03-04T14:05:00Z,2026-06-15T00:46:47Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
X7-MY4W-H2I4,4,2026-06-01T00:46:47Z,2026-03-04T14:05:00Z,2026-06-15T00:46:47Z,240,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
XE-27ZG-EZPZ,1,2026-03-02T12:51:13Z,2026-03-02T12:51:13Z,,0,35,"[""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-03T23:44:09Z
XE-YPAI-HX9F,0,2026-04-22T00:03:37Z,2026-03-04T14:05:00Z,2026-05-06T00:03:37Z,0,2540,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T16:52:16Z
XH-0LAE-FQO5,3,2026-05-12T03:30:54Z,2026-03-04T14:05:00Z,2026-05-26T03:30:54Z,2,1623,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-23T04:51:45Z
YC-3L3M-BV48,0,2026-03-18T09:14:50Z,2026-03-04T14:05:00Z,2026-04-01T09:14:50Z,0,205,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-18T11:02:00Z
YO-EKK2-FRCC,3,2026-04-21T05:06:16Z,2026-03-04T14:05:00Z,2026-05-05T05:06:16Z,1704,0,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T16:52:16Z
Z7-26PV-O9LR,0,2026-03-18T09:14:50Z,2026-03-04T14:05:00Z,2026-04-01T09:14:50Z,0,547,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-04-01T06:15:50Z
XY-UM2X-TPS3,4,2026-06-01T03:29:47Z,2026-03-04T14:05:00Z,2026-06-15T03:29:47Z,2798,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
WJ-YHKC-EES5,0,2026-03-25T17:38:24Z,2026-03-04T14:05:00Z,2026-04-08T17:38:24Z,0,530,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
FA-LRV6-YRFW,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,2378,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T03:15:24Z
Q1-00D7-5IQF,1,2026-03-05T13:41:40Z,2026-03-04T14:05:00Z,,0,124,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-18T11:02:00Z
L5-PF3B-WHU4,0,2026-04-20T09:20:22Z,2026-03-04T14:05:00Z,2026-05-04T09:20:22Z,380,240,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-04-23T19:13:49Z
2T-07RT-8IMX,3,2026-05-05T05:05:02Z,2026-03-04T14:05:00Z,2026-05-19T05:05:02Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-14T05:03:12Z
49-4UKW-G81R,0,2026-03-26T00:29:16Z,2026-03-04T14:05:00Z,2026-04-09T00:29:16Z,0,225,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-26T15:21:20Z
4F-HT42-FD26,0,2026-04-04T09:28:48Z,2026-03-04T14:05:00Z,2026-04-18T09:28:48Z,0,1886,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T16:52:16Z
BB-ZT14-1QQA,0,2026-03-26T00:29:16Z,2026-03-04T14:05:00Z,2026-04-09T00:29:16Z,0,124,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-28T23:55:20Z
CN-NR50-TSFE,0,2026-05-05T05:38:47Z,2026-03-04T14:05:00Z,2026-05-19T05:38:47Z,0,0,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-22T10:38:40Z
EV-CHU5-XU3G,0,2026-03-26T00:29:16Z,2026-03-04T14:05:00Z,2026-04-09T00:29:16Z,0,2494,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T03:15:24Z
JE-D4LO-O2JD,0,2026-05-17T00:40:53Z,2026-03-04T14:05:00Z,2026-05-31T00:40:53Z,0,539,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-30T04:39:37Z
LV-425G-BY4X,0,2026-04-03T10:01:42Z,2026-03-04T14:05:00Z,2026-04-17T10:01:42Z,0,2148,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-03T04:53:05Z
SZ-UL4K-SE7W,0,2026-03-28T00:01:23Z,2026-03-04T14:05:00Z,2026-04-11T00:01:23Z,0,1714,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T17:24:40Z
714776,4,2026-06-03T05:17:32Z,2026-03-04T14:05:00Z,2026-06-17T05:17:32Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
7L-OT45-7LYB,0,2026-04-11T00:21:15Z,2026-03-04T14:05:00Z,2026-04-25T00:21:15Z,1,2016,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T16:52:16Z
8L-INBX-OUTU,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
8M-LM6B-F2Q5,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,2771,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
GK-YI4S-C158,2,2026-05-31T16:21:34Z,2026-03-04T14:05:00Z,2026-06-14T16:21:34Z,0,169,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T06:04:22Z
L1-54EX-56YC,0,2026-04-22T13:36:28Z,2026-03-04T14:05:00Z,2026-05-06T13:36:28Z,59,94,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-23T12:42:52Z
VL-48KZ-J3F2,4,2026-06-01T00:46:47Z,2026-03-04T14:05:00Z,2026-06-15T00:46:47Z,2424,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
AK-OB6V-HIYD,1,2026-05-30T00:56:48Z,2026-03-04T14:05:00Z,2026-06-13T00:56:48Z,0,331,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-05T20:47:32Z
GH-XAAE-HRU7,3,2026-05-30T02:52:55Z,2026-03-04T14:05:00Z,2026-06-13T02:52:55Z,2073,125,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-04T19:14:22Z
RB-1O77-8969,4,2026-06-01T00:46:47Z,2026-03-04T14:05:00Z,2026-06-15T00:46:47Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
SE-UITZ-7CPY,3,2026-05-02T05:26:04Z,2026-03-04T14:05:00Z,2026-05-16T05:26:04Z,0,0,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-05T11:34:38Z
2X-8XI7-C9T5,2,2026-04-17T20:06:23Z,2026-03-04T14:05:00Z,2026-05-01T20:06:23Z,0,271,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-04-30T15:51:03Z
8R-E0Y9-0LAU,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,2661,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
8W-I703-VOFQ,4,2026-06-03T00:53:25Z,2026-03-04T14:05:00Z,2026-06-17T00:53:25Z,1181,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
C6-XGZB-J6QA,3,2026-05-29T05:59:54Z,2026-03-04T14:05:00Z,2026-06-12T05:59:54Z,0,2104,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-09T22:27:35Z
GJ-2OZK-0GCA,0,2026-04-23T01:00:12Z,2026-03-04T14:05:00Z,2026-05-07T01:00:12Z,0,215,"[""PHASE_ESCALATION_DISABLED_GRACE_PERIOD"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-04-28T03:34:36Z
