offer_variant_id,sku,seller_id_canonical,fulfilment_channel,condition,shipping_template,variant_first_seen_utc,variant_last_seen_utc,variant_active_flag
ov_7f728ce30c5f0ca58bf2,49-4UKW-G81R,a3dyp3quli3b28,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_de114f77599448c1c990,49-4UKW-G81R,a2kvf7qxnclv8h,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_f1ffb51005e853bfebe6,4F-HT42-FD26,a2n1aoxoq5zjei,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_ad6edb6189d2858d4c58,4F-HT42-FD26,ajdnvsiiutkcm,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_4a0bc5a049158032a65c,4F-HT42-FD26,a1r64iunvwpsmr,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_bcdbe55f8c25c706f08d,4F-HT42-FD26,a3q9yky9layx89,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_380e2368b1648859c91e,4F-HT42-FD26,a88xi38rab5gb,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_50962afd0d10e8849ed0,4F-HT42-FD26,a230gmkicfk3z4,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_53fe8d400cfafc95189d,4F-HT42-FD26,a2kvf7qxnclv8h,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_ba506e819e8f2ea149c5,4F-HT42-FD26,a3kxs2zfsiwbkg,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_d0b11fef9f1787aaecd1,8U-QPFH-3EKQ,avdjaitqbv9my,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_8f97781805299d8d0469,6V-EEC1-2S9Z,a1uhi79wf0s8p4,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_3117e8d7edd031afc990,6V-EEC1-2S9Z,ac1zdja0emkx7,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_b9e53f0fae3bc76927bd,6V-EEC1-2S9Z,ah9cerpvaqvpq,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_485136088231767dbc1c,A2-T2AC-TW3L,a1vmd3oyb995g8,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_3ef3be5919b2de14e578,BB-ZT14-1QQA,a1vnis8728tmoq,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_983a76c461c44491a452,BB-ZT14-1QQA,ag6tfkidqz5hc,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_4342245d0e591e321edd,BB-ZT14-1QQA,a1robkg8kdmxej,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_97dcc8aad33352477372,BB-ZT14-1QQA,a33sxg4hfqulnn,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_fa0136f732cd979d48ca,BB-ZT14-1QQA,amk6alalrqjza,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
