event_ts_utc,sku,our_delivery_penalty_gbp,compliance_ceiling_landed_gbp,eligibility_ceiling_landed_gbp,demand_ceiling_landed_gbp,final_ceiling_landed_gbp,binding_ceiling_type,ceiling_reason_codes_json
2026-02-14T03:46:44Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T04:01:48Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T04:16:52Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T04:31:56Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T04:47:00Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T05:02:04Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T05:17:10Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T05:32:15Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T05:47:20Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T06:02:23Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T06:17:27Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T06:32:31Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T06:47:35Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T07:02:39Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T07:17:43Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T07:32:47Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
