seller_sku,allocated,available,returned_pending,unsellable,warehouse,order_qty,allocated_qty,unallocated_qty,asin,fnsku,condition,inventory_status,inventory_total_quantity,in_stock_supply_quantity,inbound_working,inventory_inbound_shipped,inventory_inbound_receiving,inventory_available,inventory_unsellable,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,inventory_inbound,refund_events,stock_adjustment_events,token_total,available_tokens,warehouse_tokens,unsellable_tokens,returned_pending_tokens,ready_to_allocate,delta_inbound_vs_tokens,report_ts
8M-LM6B-F2Q5,5,2,0,0,0,5,0,5,B00D1V5FPU,X002471RE3,NewItem,,2.0,2,0,0.0,0.0,2,0,0,0,0,2026-01-11T18:21:54Z,0,0,62,7,2,0,0,0,False,0,2026-01-20T13:24:57Z
8M-NHB7-T8TR,22,7,0,0,0,22,0,22,B0B2RBG672,X002BPWC29,NewItem,,7.0,7,0,0.0,0.0,7,0,0,0,0,2026-01-13T03:40:00Z,0,0,62,29,7,0,0,0,False,0,2026-01-20T13:24:57Z
8R-E0Y9-0LAU,22,6,0,0,4,22,0,22,B0BBHBX72C,X0029PQVV9,NewItem,,10.0,6,0,0.0,0.0,6,0,4,0,0,2026-01-20T05:38:22Z,0,0,7,32,6,4,0,0,False,4,2026-01-20T13:24:57Z
8U-QPFH-3EKQ,11,0,0,0,0,11,0,11,B07T9WVBZ2,X0028TKVZ3,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-14T01:36:56Z,0,0,2,11,0,0,0,0,False,0,2026-01-20T13:24:57Z
9X-7TBD-NA16,28,0,0,0,0,28,0,28,B01N49MD2S,X002C8LLR7,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-29T05:36:15Z,0,0,3,28,0,0,0,0,False,0,2026-01-20T13:24:57Z
9X-HL62-83C7,0,6,0,0,0,0,0,0,B00BEUFYE2,X00298I7JF,NewItem,,6.0,6,0,0.0,0.0,6,0,0,0,0,2026-01-15T17:49:11Z,0,0,0,6,6,0,0,0,True,0,2026-01-20T13:24:57Z
A1-KSU1-GZMS,0,17,0,0,0,0,0,0,B07BC1CMDK,X00218D0YF,NewItem,,17.0,17,0,0.0,0.0,17,0,0,0,0,2026-01-18T19:14:27Z,0,0,0,17,17,0,0,0,True,0,2026-01-20T13:24:57Z
A2-T2AC-TW3L,458,100,0,0,2,458,0,458,B006PFN3BW,X001XQKWXX,NewItem,,103.0,100,0,0.0,0.0,100,0,0,2,1,2026-01-20T11:15:49Z,0,0,6,560,100,2,0,0,False,2,2026-01-20T13:24:57Z
A9-2Y9G-M2K7,1,0,0,0,0,1,0,1,B00KB225MS,X002B82E3X,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-02T12:03:40Z,0,0,0,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
AF-KIHX-ANYY,26,59,0,0,0,26,0,26,B0001P15T4,X0025FSMDX,NewItem,,59.0,59,0,0.0,0.0,59,0,0,0,0,2026-01-10T23:19:41Z,0,0,1,85,59,0,0,0,True,0,2026-01-20T13:24:57Z
AX-NKNU-29C1,47,136,0,0,0,47,0,47,B08M52B4M5,X002595YRB,NewItem,,136.0,136,0,0.0,0.0,136,0,0,0,0,2026-01-19T05:55:55Z,0,0,0,183,136,0,0,0,True,0,2026-01-20T13:24:57Z
