order_id_raw,Order date,Product,ASIN,sku,Units,Refunds,Sales,Promo,Sellable Quota,Refund сost,Amazon fees,sb_cogs,Shipping,Gross profit,Expenses,Net profit,Margin,ROI,Coupon,Comment,order_id,sys_cogs,diff,abs_diff
206-7670755-7033965 / Unshipped / COG: 3.7 / FBA,25.01.2026,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99,B004I2N5AS,L3-ZQ8U-A7LQ,1.0,,9.99,,,,-3.02,-3.7,,1.61,,1.61,16.07,43.38,,,206-7670755-7033965,-3.7,0.0,0.0
202-9969160-4806717 / Shipped / COG: 1.72 / FBA,25.01.2026,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59",B007R2ICTK,WX-L5UA-UB1Q,1.0,,5.59,,,,-2.29,-1.72,,0.65,,0.65,11.6,37.69,,,202-9969160-4806717,-1.72,0.0,0.0
206-6373934-4168342 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 7.01",B0CP69JJGG,3B-3H3V-Z93T,1.0,,7.01,,,,-3.79,-1.6,,0.45,,0.45,6.44,28.23,,,206-6373934-4168342,-1.6,0.0,0.0
203-6326571-6298711 / Unshipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.97",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.97,,,,-3.79,-1.6,,0.42,,0.42,6.0,26.14,,,203-6326571-6298711,-1.6,0.0,0.0
204-0052150-9187517 / Unshipped / COG: 1.72 / FBA,25.01.2026,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59",B007R2ICTK,WX-L5UA-UB1Q,1.0,,5.59,,,,-2.29,-1.72,,0.65,,0.65,11.6,37.69,,,204-0052150-9187517,-1.72,0.0,0.0
203-9845897-1237134 / Shipped / COG: 1.72 / FBA,25.01.2026,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59",B007R2ICTK,WX-L5UA-UB1Q,1.0,,5.59,,,,-2.29,-1.72,,0.65,,0.65,11.6,37.69,,,203-9845897-1237134,-1.72,0.0,0.0
202-6685261-8246721 / Unshipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.76,-0.68,,0.06,,0.06,2.0,8.82,,,202-6685261-8246721,-0.68,0.0,0.0
202-8743360-7342712 / Unshipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.95",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.95,,,,-3.78,-1.6,,0.41,,0.41,5.92,25.73,,,202-8743360-7342712,-1.6,0.0,0.0
203-0571233-1503568 / Shipped / COG: 5.35 / FBA,25.01.2026,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions / Price: 15.74",B09445GL1C,L1-54EX-56YC,1.0,,15.74,,,,-4.4,-5.35,,3.37,,3.37,21.39,62.93,,,203-0571233-1503568,-5.35,0.0,0.0
204-0487628-2023529 / Unshipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.95",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.95,,,,-3.78,-1.6,,0.41,,0.41,5.92,25.73,,,204-0487628-2023529,-1.6,0.0,0.0
026-2689098-1215541 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.95",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.95,,,,-3.78,-1.6,,0.41,,0.41,5.92,25.73,,,026-2689098-1215541,-1.6,0.0,0.0
203-8610504-0562703 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.95",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.95,,,,-3.78,-1.6,,0.41,,0.41,5.92,25.73,,,203-8610504-0562703,-1.6,0.0,0.0
203-8190248-9265158 / Unshipped / COG: 38.1 / FBA,25.01.2026,"OtterBox Defender Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Rugged Protective Case with built in Screen Protector, 2x Tested to Military Standard, Black, No Retail Packaging / Price: 79.99",B0BBHBX72C,8R-E0Y9-0LAU,1.0,,79.99,,,,-15.01,-38.1,,13.55,,13.55,16.94,35.56,,,203-8190248-9265158,-38.1,0.0,0.0
202-6735443-5295524 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.95",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.95,,,,-3.78,-1.6,,0.41,,0.41,5.92,25.73,,,202-6735443-5295524,-1.6,0.0,0.0
026-9695928-3681113 / Unshipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.99",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.99,,,,-3.79,-1.6,,0.44,,0.44,6.22,27.19,,,026-9695928-3681113,-1.6,0.0,0.0
203-7139957-2910720 / Unshipped / COG: 3.7 / FBA,25.01.2026,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99,B004I2N5AS,L3-ZQ8U-A7LQ,1.0,,9.99,,,,-3.02,-3.7,,1.61,,1.61,16.07,43.38,,,203-7139957-2910720,-3.7,0.0,0.0
204-7030706-9168343 / Unshipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.99",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.99,,,,-3.79,-1.6,,0.44,,0.44,6.22,27.19,,,204-7030706-9168343,-1.6,0.0,0.0
202-8358178-3680330 / Shipped / COG: 12.67 / FBA,25.01.2026,Yu-Gi-Oh Legendary Decks 2 2024 Unlimited Reprint / Price: 27.55,B0CN5KRVXB,TU-8I14-25ZR,1.0,,27.55,,,,-7.31,-12.67,,2.98,,2.98,10.81,23.51,,,202-8358178-3680330,-12.67,0.0,0.0
203-4827423-1515524 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.97",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.97,,,,-3.79,-1.6,,0.42,,0.42,6.0,26.14,,,203-4827423-1515524,-1.6,0.0,0.0
202-5995819-8189960 / Unshipped / COG: 2.5 / FBA,25.01.2026,"Max Factor Facefinity Matte Bronzer, 001 Light Bronze / Price: 5.83",B08CHKHTWX,R7-98IN-2PW8,1.0,,5.83,,,,-2.01,-2.5,,0.35,,0.35,5.97,13.93,,,202-5995819-8189960,-2.5,0.0,0.0
206-7252664-7906707 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.95",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.95,,,,-3.78,-1.6,,0.41,,0.41,5.92,25.73,,,206-7252664-7906707,-1.6,0.0,0.0
204-3193644-4101960 / Unshipped / COG: 17.5 / FBA,25.01.2026,Promixx PRO Electric Protein Shaker Bottle / Price: 39.99,B0CS3VF4GK,GJ-2OZK-0GCA,1.0,,39.99,,,,-9.14,-17.5,,6.69,,6.69,16.72,38.2,,,204-3193644-4101960,-17.5,0.0,0.0
206-0241010-3644358 / Unshipped / COG: 4.51 / FBA,25.01.2026,Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.89,B006PFN3BW,A2-T2AC-TW3L,1.0,,11.89,,,,-4.15,-4.51,,1.25,,1.25,10.5,27.68,,,206-0241010-3644358,-4.51,0.0,0.0
206-8616534-3411566 / Shipped / COG: 3.7 / FBA,25.01.2026,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99,B004I2N5AS,L3-ZQ8U-A7LQ,1.0,,9.99,,,,-3.02,-3.7,,1.61,,1.61,16.07,43.38,,,206-8616534-3411566,-3.7,0.0,0.0
205-8269798-1577923 / Unshipped / COG: 3.7 / FBA,25.01.2026,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99,B004I2N5AS,L3-ZQ8U-A7LQ,1.0,,9.99,,,,-3.02,-3.7,,1.61,,1.61,16.07,43.38,,,205-8269798-1577923,-3.7,0.0,0.0
205-1439132-5892323 / Shipped / COG: 1.72 / FBA,25.01.2026,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59",B007R2ICTK,WX-L5UA-UB1Q,1.0,,5.59,,,,-2.29,-1.72,,0.65,,0.65,11.6,37.69,,,205-1439132-5892323,-1.72,0.0,0.0
026-2983157-9678709 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.93",B0CP69JJGG,3B-3H3V-Z93T,2.0,,13.86,,,,-7.57,-3.2,,0.78,,0.78,5.63,24.38,,,026-2983157-9678709,-3.2,0.0,0.0
202-8984489-0714705 / Shipped / COG: 38.1 / FBA,25.01.2026,"OtterBox Defender Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Rugged Protective Case with built in Screen Protector, 2x Tested to Military Standard, Black, No Retail Packaging / Price: 79.99",B0BBHBX72C,8R-E0Y9-0LAU,1.0,,79.99,,,,-15.01,-38.1,,13.55,,13.55,16.94,35.56,,,202-8984489-0714705,-38.1,0.0,0.0
026-9764846-9857101 / Shipped / COG: 1.72 / FBA,25.01.2026,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59",B007R2ICTK,WX-L5UA-UB1Q,1.0,,5.59,,,,-2.29,-1.72,,0.65,,0.65,11.6,37.69,,,026-9764846-9857101,-1.72,0.0,0.0
202-1419261-2497921 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.93",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.93,,,,-3.78,-1.6,,0.4,,0.4,5.7,24.69,,,202-1419261-2497921,-1.6,0.0,0.0
202-2524440-1352349 / Shipped / COG: 17.4 / FBA,25.01.2026,"OtterBox React Folio Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Drop proof, Ultra-Slim Protective Folio Case, Tested to Military Standard, Black / Price: 34.99",B0BVZZDW1W,HO-LSOY-8R05,1.0,,34.99,,,,-7.56,-17.4,,4.2,,4.2,12.0,24.13,,,202-2524440-1352349,-17.4,0.0,0.0
204-8063121-2389134 / Shipped / COG: 4.51 / FBA,25.01.2026,Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.89,B006PFN3BW,A2-T2AC-TW3L,1.0,,11.89,,,,-4.15,-4.51,,1.25,,1.25,10.5,27.68,,,204-8063121-2389134,-4.51,0.0,0.0
206-5397524-3949935 / Unshipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,206-5397524-3949935,-0.68,0.0,0.0
026-1276872-5875543 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,026-1276872-5875543,-0.68,0.0,0.0
205-9601009-9285103 / Shipped / COG: 4.51 / FBA,25.01.2026,Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.89,B006PFN3BW,A2-T2AC-TW3L,1.0,,11.89,,,,-4.15,-4.51,,1.25,,1.25,10.5,27.68,,,205-9601009-9285103,-4.51,0.0,0.0
206-5045274-0194738 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.93",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.93,,,,-3.78,-1.6,,0.4,,0.4,5.7,24.69,,,206-5045274-0194738,-1.6,0.0,0.0
026-1865834-6853920 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,026-1865834-6853920,-0.68,0.0,0.0
203-1174333-1936356 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,203-1174333-1936356,-0.68,0.0,0.0
204-7521131-0062748 / Shipped / COG: 4.51 / FBA,25.01.2026,Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.89,B006PFN3BW,A2-T2AC-TW3L,1.0,,11.89,,,,-4.15,-4.51,,1.25,,1.25,10.5,27.68,,,204-7521131-0062748,-4.51,0.0,0.0
205-4907983-0460341 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,205-4907983-0460341,-0.68,0.0,0.0
204-4470608-6578766 / Shipped / COG: 3.7 / FBA,25.01.2026,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99,B004I2N5AS,L3-ZQ8U-A7LQ,1.0,,9.99,,,,-3.02,-3.7,,1.61,,1.61,16.07,43.38,,,204-4470608-6578766,-3.7,0.0,0.0
205-0071465-6013973 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,205-0071465-6013973,-0.68,0.0,0.0
205-7930875-9420322 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,205-7930875-9420322,-0.68,0.0,0.0
026-9470678-3820357 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,026-9470678-3820357,-0.68,0.0,0.0
206-8373033-1621927 / Shipped / COG: 0.61 / FBA,25.01.2026,Moo Free Dairy Free Chocolate Buttons (25g) / Price: 3.98,B08M52B4M5,AX-NKNU-29C1,1.0,,3.98,,,,-1.69,-0.61,,1.02,,1.02,25.55,166.67,,,206-8373033-1621927,-0.61,0.0,0.0
026-5490168-6212318 / Shipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 6.93",B0CP69JJGG,3B-3H3V-Z93T,1.0,,6.93,,,,-3.78,-1.6,,0.4,,0.4,5.7,24.69,,,026-5490168-6212318,-1.6,0.0,0.0
203-5719916-1761130 / Shipped / COG: 3.7 / FBA,25.01.2026,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99,B004I2N5AS,L3-ZQ8U-A7LQ,1.0,,12.48,,,,-3.06,-3.7,-2.07,1.57,,1.57,12.58,42.43,,,203-5719916-1761130,-3.7,0.0,0.0
203-8232337-2273112 / Shipped / COG: 12.67 / FBA,25.01.2026,Yu-Gi-Oh Legendary Decks 2 2024 Unlimited Reprint / Price: 27.55,B0CN5KRVXB,TU-8I14-25ZR,1.0,,27.55,,,,-7.31,-12.67,,2.98,,2.98,10.81,23.51,,,203-8232337-2273112,-12.67,0.0,0.0
026-9728602-7755500 / Unshipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.76,-0.68,,0.06,,0.06,2.0,8.82,,,026-9728602-7755500,-0.68,0.0,0.0
206-0671106-9102738 / Shipped / COG: 2.74 / FBA,25.01.2026,"Skinny Food Co Salted Caramel Zero Calorie Syrup 425ml - Sugar Free Salted Caramel Syrup For Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Caramel Syrup - Salted Caramel Syrup / Price: 9.85",B07F1MFWV1,D0-C7C0-H6LN,1.0,,9.85,,,,-3.2,-2.74,,3.91,,3.91,39.7,142.7,,,206-0671106-9102738,-2.74,0.0,0.0
203-1763941-3872345 / Return / COG: 2.25 / FBA,16.01.2026,3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 0,B06WW79DX5,6V-EEC1-2S9Z,,1.0,,,-,-7.89,,0.0,,-5.73,,-5.73,,,,,203-1763941-3872345,0.0,0.0,0.0
