Timestamp,ASIN,SKU,FBA/FBM Stock,Reserved,Sent  to FBA
10/26/2024 10:49:59,B00CUB7726,T7-NZWY-R44R,30,0,0
10/26/2024 10:49:59,B00D1V5FPU,8M-LM6B-F2Q5,2,0,0
10/26/2024 10:49:59,B00D1V5NWK,EA-FZ2V-D7II,8,0,0
10/26/2024 10:49:59,B00FAQCE08,XB-PLFM-VNLX,15,0,0
10/26/2024 10:49:59,B00O3XUG5E,1D-E3I8-TUK8,30,0,0
10/26/2024 10:49:59,B00TQ5KPNC,9C-ZLCN-WWGK,10,0,0
10/26/2024 10:49:59,B00YPA854Y,1C-WYGV-IW8O,25,0,0
10/26/2024 10:49:59,B015ALFA12,EI-2WXL-O395,9,0,0
10/26/2024 10:49:59,B0194LKIR0,RZ-QO7D-HPGQ,5,3,0
10/26/2024 10:49:59,B01H10I0P8,YF-KP66-IJY6,139,0,0
10/26/2024 10:49:59,B01H8QP2II,RF-3X39-FYXB,8,0,0
10/26/2024 10:49:59,B01N31JDVX,02-7AZG-O0CV,11,0,0
10/26/2024 10:49:59,B076RY52XG,R0-ODDX-WROO,8,0,0
10/26/2024 10:49:59,B07BC1CMDK,A1-KSU1-GZMS,30,0,0
10/26/2024 10:49:59,B07BC5J1WW,OI-0483-CBVX,9,1,0
10/26/2024 10:49:59,B07QNL4BNM,94-7TOA-9ZBH,11,0,0
10/26/2024 10:49:59,B07QNL62Z2,XL-BFPF-CBW4,9,0,0
10/26/2024 10:49:59,B07QQTBK5K,YB-8YQ7-X1X8,12,0,0
10/26/2024 10:49:59,B07QRP7V6V,55-5RSU-1KG1,6,0,0
10/26/2024 10:49:59,B081SWVG5H,UE-IIJJ-P6EL,43,0,0
10/26/2024 10:49:59,B086763VT8,GA-9DTN-9O1E,10,0,0
10/26/2024 10:49:59,B089B7YDRN,46-MOBK-YBS1,11,1,0
10/26/2024 10:49:59,B08CVTBP81,UT-WXOQ-6CZL,27,0,0
10/26/2024 10:49:59,B08F8MQT1G,7R-DKJR-F0UF,11,0,0
10/26/2024 10:49:59,B08G4Q5KK8,D3-R4XE-XV0R,4,0,0
10/26/2024 10:49:59,B08T5WCLF2,SH-RGTH-QQM2,5,0,0
10/26/2024 10:49:59,B09LHXLGKD,OO-KLJU-ZBO9,7,0,0
10/26/2024 10:49:59,B09QFWDJHP,BB-JN90-IUUP,11,1,0
10/26/2024 10:49:59,B09YRX2HGZ,JE-NHAA-HEYR,51,0,0
10/26/2024 10:49:59,B0BWFT5RGN,0X-VJWI-4OT8,12,0,0
10/26/2024 10:49:59,B0C4S2Y186,EO-RQ6J-PAPY,6,0,0
10/26/2024 10:49:59,B0C6YDPSJ7,WO-75W6-980Q,10,0,0
10/26/2024 10:49:59,B0CBNNKLYJ,0T-LQK2-KFCY,2,0,0
10/26/2024 10:49:59,B0CG4TDDKM,F9-ETRB-6FVQ,6,0,0
10/26/2024 10:49:59,B0CJMMYYCJ,0N-VZG5-JH06,50,0,0
10/26/2024 10:49:59,B0CT2BZ864,S8-7VIK-3VEL,12,1,0
10/27/2024 3:02:06,B08KFFY86W,VF-3T0K-DR5O,394,454,1
10/27/2024 3:02:06,B006PFN3BW,A2-T2AC-TW3L,327,28,0
10/27/2024 3:02:06,B07C8QSSR2,4U-9ZL6-9G0Y,537,418,3
10/27/2024 3:02:06,B06WW79DX5,6V-EEC1-2S9Z,176,17,0
10/27/2024 3:02:06,B00WOFBCHO,BJ-1TEF-1BUZ,117,7,0
10/27/2024 3:02:06,B0001P15T4,AF-KIHX-ANYY,3,3,0
10/27/2024 3:02:06,B00AOES9GE,XH-0LAE-FQO5,268,2,1
10/27/2024 3:02:06,B007R2ICTK,WX-L5UA-UB1Q,526,7,0
10/27/2024 3:02:06,B07TRJPM5R,TE-PYY9-E5X8,3,61,0
10/27/2024 3:02:06,B08M52B4M5,AX-NKNU-29C1,7,144,0
10/27/2024 3:02:06,B01G263L1K,1Q-OTO8-JG8E,180,5,0
10/27/2024 3:02:06,B0049A27FS,OZ-3NKR-VLYG,61,1,0
10/27/2024 3:02:06,B07SLLYRSP,SU-5LQH-2DVN,142,1,0
10/27/2024 3:02:06,B08FSDMVNP,EE-KTDC-KCFY,31,2,1
10/27/2024 3:02:06,B07QQDMJ6M,EV-CHU5-XU3G,106,0,0
10/27/2024 3:02:06,B078K3B7R6,93-TB6X-UKTU,131,2,2
10/27/2024 3:02:06,B082L15JYR,V5-VWRV-4S7K,18,26,0
10/27/2024 3:02:06,B07J9JGZZV,Z7-26PV-O9LR,194,2,0
10/27/2024 3:02:06,B07RBWJ6W8,M5-EOFN-2WPJ,79,0,0
10/27/2024 3:02:06,B08BTN21C4,QD-2EAL-Z4J5,22,2,0
10/27/2024 3:02:06,B0C3WPYJHL,LW-0BSW-ZD88,37,0,0
10/27/2024 3:02:06,B087V742Y5,TH-JWYZ-LM0D,4,1,0
10/27/2024 3:02:06,B0001P0DLU,JB-RGB6-LZOJ,101,1,3
10/27/2024 3:02:06,B0B18N781Q,M4-MV10-9TX7,4,0,0
10/27/2024 3:02:06,B01H8QOWA2,TK-2H97-E7UH,82,0,0
10/27/2024 3:02:06,B01CWYES90,HI-4CXM-9WVU,14,10,0
10/27/2024 3:02:06,B00BUY54DI,FA-LRV6-YRFW,15,0,0
10/27/2024 3:02:06,B004GFPFBO,C0-RG54-30FA,1,2,0
10/27/2024 3:02:06,B002HY4YSQ,JV-D1TI-6UF6,12,0,0
10/27/2024 3:02:06,B011SEA38A,PE-G94Y-4PYO,58,0,0
10/27/2024 3:02:06,B07B8RJDXT,6P-IWYA-X18B,41,2,0
10/27/2024 3:02:06,B07BBZZ8RC,WR-3V7D-BB7Z,21,2,0
10/27/2024 3:02:06,B07DFB8DKB,MN-LXY0-1MMT,4,0,0
10/27/2024 3:02:06,B000PSB13C,6Q-9G2A-IKVV,51,0,0
10/27/2024 3:02:06,B07QPB3T1J,3Z-45IC-N1H4,21,1,6
10/27/2024 3:02:06,B0CND68C7W,6E-GK4T-QBFF,38,30,0
10/27/2024 3:02:06,B0D3JCMSF5,PH-M7S4-05R5,22,1,0
10/27/2024 3:02:06,B00605WJ9O,6L-SDA9-P13J,70,2,0
10/27/2024 3:02:06,B07DPPBBZP,PI-JTWZ-8YNT,9,0,0
10/27/2024 3:02:06,B09ST7SSLW,SU-JM8R-2U82,33,0,0
10/27/2024 3:02:06,B0D3J9C8NN,MF-TPXM-F8AF,6,0,0
10/27/2024 3:02:06,B08W25WKTN,OV-LVEL-DQL6,10,7,0
10/27/2024 3:02:06,B09Z35W2SZ,26-E5TZ-WU0I,3,0,0
10/27/2024 3:02:06,B007C3KBIY,JH-97NP-GJDG,16,0,0
10/27/2024 3:02:06,B07QXSDZJM,SC-LYFM-ORXK,38,0,0
10/27/2024 3:02:06,B003SYNGE2,D1-LSS7-93U8,6,4,0
10/27/2024 3:02:06,B0194LKIR0,RZ-QO7D-HPGQ,7,0,0
10/27/2024 3:02:06,B072HKRVGB,4Y-2V2S-KSTO,52,0,0
10/27/2024 3:02:06,B08TLHVHLD,SY-KXX7-PDAL,3,1,0
10/27/2024 3:02:06,B005WH4C2S,TL-AUNR-5YK0,11,0,0
10/27/2024 3:02:06,B06XGSJS7N,3T-6QPR-E2MV,19,11,0
10/27/2024 3:02:06,B09QFWDJHP,BB-JN90-IUUP,11,0,0
10/27/2024 3:02:06,B01FJOSX3W,FR-41MF-KWKU,10,1,0
10/27/2024 3:02:06,B07VBB218V,J2-N9NA-57NA,36,6,0
10/27/2024 3:02:06,B0CJMRL1WT,7I-1717-OHRW,48,0,0
10/27/2024 3:02:06,B08M8CQHHV,ZI-1MA2-8QGC,5,0,0
10/27/2024 3:02:06,B00D2O8936,4V-19KJ-15J4,47,0,0
10/27/2024 3:02:06,B0054RRCQY,90-0G83-3P0X,10,1,0
10/27/2024 3:02:06,B0D3JC45CK,IB-U5FA-BO2Y,15,1,1
10/27/2024 3:02:06,B0024I0DBW,CN-NR50-TSFE,8,0,0
10/27/2024 3:02:06,B003VABZDM,JA-LKQX-7YEN,17,0,0
10/27/2024 3:02:06,B00OI6HZ0U,T8-R745-DYOV,11,0,0
10/27/2024 3:02:06,B07JXBDGJB,JE-D4LO-O2JD,29,0,0
10/27/2024 3:02:06,B071ZFGRQB,JC-NYJZ-DIWR,13,0,0
