check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours
h_market_report_seller_mix_charts_count,ok,10,expected_at_least=10,,,,
h_schema_inventory_history,ok,ok,,,,,
h_schema_inbound_history,ok,ok,,,,,
h_schema_refund_adjustment_history,ok,ok,,,,,
h_schema_inventory_snapshot,ok,ok,,,,,
h_schema_inbound_snapshot,ok,ok,,,,,
h_schema_refund_adjustment_snapshot,ok,ok,,,,,
h_listing_offer_history_idempotent_today,warn,0,no rows for 2026-02-20,2026-02-20T06:16:44.619776+00:00,2026-02-20T06:16:44.619776+00:00,1,0.00
h_listing_offer_seller_history_idempotent_today,warn,0,no rows for 2026-02-20,2026-02-20T06:16:44.619776+00:00,2026-02-20T06:16:44.619776+00:00,1,0.00
h_inventory_history_idempotent_today,ok,0,asof_date=2026-02-20,,,,
h_inbound_history_idempotent_today,ok,0,asof_date=2026-02-20,,,,
h_refund_adjustment_history_idempotent_today,warn,0,no rows for 2026-02-20,2026-02-20T06:16:44.619776+00:00,2026-02-20T06:16:44.619776+00:00,1,0.00
a_daily_intel_coverage_non_parked,ok,0,date=2026-02-20; non_parked=1; covered=1; missing_sample=,,,,
a_daily_intel_compliance_nonempty_non_parked,ok,0,date=2026-02-20; non_parked=1; missing_rows=0; blank_compliance=0,,,,
h_ceiling_rule_bbp_missing_trial,ok,0,sku=L1-54EX-56YC;date=2026-02-20;source=MIN_BBP_CPTX1_2,,,,
h_ceiling_rule_cpt_missing_trial,ok,0,sku=L1-54EX-56YC;date=2026-02-20;source=MIN_BBP_CPTX1_2,,,,
h_ceiling_rule_inputs_missing_trial,ok,0,sku=L1-54EX-56YC;date=2026-02-20;source=MIN_BBP_CPTX1_2,,,,
h_scope_non_parked_matches_targets,ok,0,processed=0; non_parked_scope=1; skipped_parked=0; invalid_processed_sample=; state_path=out/systems/H/live/h_pricing_cycle_state.json,,,,
h_parked_sku_write_attempts,ok,0,date=2026-02-20; parked_skus=605; parked_rows_today=0; attempt_statuses=,,,,
h_no_cpt_calls_in_h_cycle,ok,0,date=2026-02-20; endpoint=products_pricing_post_competitive_summary_batch; sample=,,,,
h_floor_vat_policy_config,ok,ok,vat_registered=1;recover_input_vat_on_cogs=1;recover_input_vat_on_fees=1;formula_version=vat_registered_exvat_basis_v1;note=Official H floor policy: remove output VAT from sale first; use ex-VAT COGS and fees for floor math.,,,,
h_floor_phase1_cogs_basis_drift,ok,0,date=2026-02-20;latest_asof=2026-02-20T06:15:59Z;rows_in_run=606;compared=147;missing_expected=459;sample=,,,,
h_floor_legacy_cogs_basis_drift,ok,0,date=2026-02-20;rows_today=0;compared=0;sample=,,,,
h_floor_no_order_inputs,ok,0,date=2026-02-20;rows_today=420564;sample=,,,,
h_floor_referral_band_integrity,ok,0,date=2026-02-20;rows_today=420564;sample=,,,,
h_floor_referral_source_coverage,ok,0,date=2026-02-20;rows_today=420564;rows_non_parked=694;rows_parked=419870;sample=,,,,
h_floor_referral_source_coverage_parked_observability,warn,124920,"date=2026-02-20;rows_parked=419870;sample=UC-D1G4-MTYN,RJ-OVDC-R9JF,9G-57PS-EN16,S2-RZ4R-15M6,UE-BZE5-I0WM",2026-02-19T13:49:38.652718+00:00,2026-02-20T06:16:44.619776+00:00,4,16.45
h_floor_formula_consistency,ok,0,date=2026-02-20;rows_today=420564;comparable=420564;sample=,,,,
