timestamp_utc,step,status,severity,mode,local_rows,sheet_rows,note
2026-02-18T17:20:21Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:23:38Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:23:40Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:27:03Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:27:05Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:30:53Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:30:55Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:34:07Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:34:09Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:37:19Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:37:21Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:40:45Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:40:47Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:44:07Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:44:09Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:47:30Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:47:32Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:51:00Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:51:02Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:54:30Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
2026-02-18T17:54:33Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,allocation_complete
2026-02-18T17:58:05Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T17:58:07Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:01:23Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:01:25Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:04:40Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:04:42Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:08:51Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
