report_utc,supplier_name,supplier_code,rows_total,rows_action_candidate,rows_action_ready,rows_blocked,rows_missing_cost_truth,rows_missing_market_truth,rows_missing_demand_truth,rows_wait_suggested,rows_snoozed,rows_missing_qty_prefill,rows_missing_cost_prefill,rows_missing_image
2026-05-19T12:39:03Z,CLF,OSP51,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,OSP54,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,OSP56,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,PE4,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,PUR6,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,RO-0717,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,RSC31,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,SE66,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,SPC16,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,SPLT28,1,1,1,0,0,0,0,0,0,0,0,0
2026-05-19T12:39:03Z,CLF,TIP-05011,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,TP-03,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,TP77,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,TSD84,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,WID1,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,Clearance King,,4,0,0,4,4,4,4,4,0,4,4,0
2026-05-19T12:39:03Z,Culpitt,,3,0,0,3,3,2,3,3,0,3,3,0
2026-05-19T12:39:03Z,Culpitt,552760,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Culpitt,825001,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,,15,0,0,15,11,14,15,15,0,15,11,0
2026-05-19T12:39:03Z,DHB,BRU020,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR005,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR035X,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR120,1,1,1,0,0,0,0,0,0,0,0,0
2026-05-19T12:39:03Z,DHB,CUR141,1,0,0,1,0,0,0,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR142,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR143,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR144,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR164,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,CUR204,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,EN025X,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,HUM028,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,MIR018,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DHB,OB279,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,OB292,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,ORT012,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,PIK021,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,PIK054,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DHB,PIK065,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,PIK077,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,PIK200,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,PRO035,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,PRO048,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,TEP068SP,1,1,1,0,0,0,0,0,0,0,0,0
2026-05-19T12:39:03Z,DHB,TEP084,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,TEP418SP,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DHB,TEP484,1,0,0,1,1,0,0,1,0,1,1,0
2026-05-19T12:39:03Z,DHB,WIS105,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DHB,WIS112,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,DK Tools,,3,0,0,3,3,3,3,3,0,3,3,0
2026-05-19T12:39:03Z,DK Tools,C3185,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,F4010,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,F4023,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,G4480,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,N2352,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,N2377,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,N2380,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,N2381,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,N2382,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,P240,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,V4045,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,DK Tools,V4055,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,Darlac,,3,0,0,3,2,3,3,3,0,3,2,0
2026-05-19T12:39:03Z,EE Distribution,,2,0,0,2,2,2,2,2,0,2,2,0
2026-05-19T12:39:03Z,Entertainment Trading,,2,0,0,2,2,2,2,2,0,2,2,0
2026-05-19T12:39:03Z,Heo,A35790000,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,BOTI38687,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,EXGMER-2927,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK3143,1,0,0,1,1,0,0,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK32837,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK33248,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK45540,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK49154,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK51965,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK55621,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK63981,1,0,0,1,0,1,1,1,0,1,0,0
