Data,,,,,,,,DC,X,,,,,,,,,,,
SKU,Name,Asin,Supplier,Qtys,Barcode,Supply Code,CPU,Discontinued,Drop,ROI,Sales VElocity,Ordered,At Unit,Sent,Delviery Recognised,Processing,In Stock,Restock,Snze,Advice
A9-31T9-JF3W,"Squishville by Original Squishmallows Pep Squad Plush - Four 2-Inch Squishmallows Plush Including Prim, Harley, Mellie, and Zaylee - Toys for Kids",B0BXSY46TV,ABGee,1,,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
TT-1DQK-CJFF,"Squishville by Original Squishmallows Cow Squad Plush - Four 2-Inch Squishmallows Plush Including Reshma, Candess, Calton, and 1 Surprise - Toys for Kids",B0BZ5NYPPD,ABGee,1,191726467366,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
EO-RQ6J-PAPY,Funko POP! Disney: Robin Hood - Maid Marian - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,B0C4S2Y186,ABGee,,889698759120,,£7.59,FALSE,TRUE,-5.00%,0.43,0,0,0,0,0,0,0,,Drop
F9-ETRB-6FVQ,DOCTOR WHO 14th Doctor sonic screwdriver,B0CG4TDDKM,ABGee,,5029736080723,,,FALSE,TRUE,-11.00%,0.86,0,0,0,0,0,0,0,,Drop
10-PGVO-YV15,"Organic Shop Repairing Body Scrub Mango & Sugar, 250 ml",B01H8QOUTA,CLF,1,4744183012622,OSP54,£2.25,FALSE,TRUE,13.00%,0.01,0,0,0,0,0,0,0,,Restock
WF-JLK1-5PKN,Yale - YE3B/32/116/1/P Standard Security 32mm Aluminium Padlock - Pink - Open Hardened Steel Shackle - 3 Keys,B08563KQKG,Aldridge Security,,5052847107324,L32299,£3.22,FALSE,FALSE,58.00%,0.22,31,0,0,0,0,0,0,2025-09-14,Restock
LL-NBBZ-I90A,Funko POP! Movies - Lord Of the Rings - Hobbit - Samwise Gamgee - Lord Of the Rings - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans,B06XGTSWXG,BEM,,889698135535,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
HJ-6HB4-VVF2,Pyramid International HARRY POTTER A5 Lined Wiro Notebook The Marauders Map - Official Merchandise,B06XXLK96G,BEM,,5051265723253,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
R7-RF9Q-9AMN,"Paladone Super Mario Bros. Mushroom 3D Night Light, Decorative Lamp Collectible, Multi-Colour",B07B35PCF6,BEM,,5055964717858,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
9I-QC5D-QDT2,Funko Pop! Games: OverWatch2- Kiriko - Kuriko - Overwatch - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans - Model Figure for Collectors,B0BG3LJKT9,BEM,,889698615501,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
