SKU,Finished?,Done
FB-6FW0-Z82Q,,FALSE
YC-3L3M-BV48,Delete,FALSE
GZ-0NY2-BOHL,Delete,TRUE
Z9-FBUQ-EZN3,,FALSE
K0-71JR-UNLF,,FALSE
D8-1A3E-I37F,,FALSE
IR-BP1X-M8DG,Delete,FALSE
3E-KHO2-YIAU,Delete,FALSE
S2-RZ4R-15M6,Delete,FALSE
BL-WX51-KQOK,,FALSE
X1-APP3-4HQ6,Delete,FALSE
77-GYTL-JFN4,,FALSE
XG-Z9LW-Z27Q,,FALSE
0R-GRRH-W0Z9,,FALSE
VO-A6AR-18YS,,FALSE
IJ-V0PQ-4CZ4,,FALSE
3Z-03PB-Q1A8,Delete,FALSE
0Z-Y60V-499R,,FALSE
BB-ZT14-1QQA,,FALSE
SR-6OBB-WC03,Delete,FALSE
0H-5V53-GPG4,Delete,FALSE
CJ-X0SS-QOUW,,
B1-4B2R-MBRP,,
UE-BZE5-I0WM,,
A9-2Y9G-M2K7,,
RY-U14K-5XDR,,
52-BC73-O7B2,,
3B-3H3V-Z93T,,
L5-PF3B-WHU4,,
D0-C7C0-H6LN,,
VU-UQNN-35C8,,
E4-HG4R-5022,,
2X-8XI7-C9T5,,
2L-M26G-560I,,
FM-7COC-V8U2,,
ZU-PFDN-JSYV,,
51-79LN-GGLK,,
L1-54EX-56YC,,
L2-WL35-LG0D,,
98-MF34-BSCF,,
YD-NO15-VYZL,,
K7-1K9P-TTAZ,,
8M-NHB7-T8TR,,
4F-I024-EY2R,,
Apply2,,
FH-DOIH-J7JE,,
SQ-7QYT-5D5B,,
H8-MI8Q-WG5C,,
88-PT9Z-DP6C,,
BD-TLOK-BCEE,,
HO-LSOY-8R05,,
NX-0Q7A-XR6H,,
0G-JB6S-PN34,,
GJ-2OZK-0GCA,,
9X-7TBD-NA16,,
VU-8KRA-QP5M,,
B7-JEPF-6CU7,,
U4-61J7-ERHI,,
OW-ONY2-KNM7,,
MU-A667-UQ3J,,
MV-UNOG-CTUU,,
ApplyB07KXXS57R,,
714776,,
714810,,
R5-Y2AA-V5FS,,
IM-AYXV-79NJ,,
J1-6I0O-YXCL,,
0B-IC3D-6S96,,
FD-R7YW-X0GH,,
PY-XV78-3OG5,,
18-WD7G-J8U4,,
6E-U01F-GUCT,,
ZV-RLOD-Q0JI,,
M8-LMW1-Z8AS,,
MW-RSG9-3S2C,,
1U-1W76-M840,,
OT-3LZR-3R6K,,
HY-T1P7-038S,,
UL-D0Y8-ZNI5,,
LF-X542-9TDZ,,
WE-1Z7L-SA2I,,
RI-VSUS-0YTD,,
CH-RLZA-2OYU,,
I2-6YKQ-CIBP,,
R7-98IN-2PW8,,
TU-8I14-25ZR,,
GH-PONH-K4WQ,,
KQ-XRZK-09KK,,
F7-PMJ2-SG6A,,
N7-A24N-WJA7,,
R4-0AXZ-ZZ9D,,
Apply-B0CSGSCWTP,,
Apply-B0CSH9HXQ5,,
H4-86XG-NLX6,,
GH-XAAE-HRU7,,
DX-1NE9-39YS,,
G8-L8EI-INMK,,
CY-5VNG-I5M8,,
4U-XT39-AMUJ,,
8W-I703-VOFQ,,
FZ-YQYO-ICX5,,
HJ-DHEU-9WG8,,
WR-MNST-TKW6,,
3Q-8PJ1-BLBC,,
5Q-LUQ1-L14K,,
UN-2721-RX94,,
06-6WC0-UGFH,,
8D-Y151-NFFF,,
REJECT,,
QV-8RC1-EYAM,,
LP-QMNJ-J49G,,
W3-8FN7-FSP0,,
C6-XGZB-J6QA,,
3N-WGU4-MT5X,,
SE-UITZ-7CPY,,
RB-1O77-8969,,
