Order ID,SKU,Date,l3_date,amazon_order_id,purchase_date,marketplace_id,order_status,order_date
205-0995787-1310705,GA-9DTN-9O1E,2025-11-01T23:54:54Z,2025-11-01 23:54:54+00:00,,,,,
202-6677945-7616329,6V-EEC1-2S9Z,2025-11-02T00:01:57Z,2025-11-02 00:01:57+00:00,,,,,
205-6019717-6339547,NX-0Q7A-XR6H,2025-11-02T00:02:38Z,2025-11-02 00:02:38+00:00,,,,,
203-8530830-9326723,NN-TSZ1-X2RD,2025-11-02T00:06:44Z,2025-11-02 00:06:44+00:00,,,,,
202-1224561-9861964,2L-M26G-560I,2025-11-02T00:12:35Z,2025-11-02 00:12:35+00:00,,,,,
203-7364030-1705919,6V-EEC1-2S9Z,2025-11-02T00:22:32Z,2025-11-02 00:22:32+00:00,,,,,
204-8827639-3253132,0H-5V53-GPG4,2025-11-02T00:28:27Z,2025-11-02 00:28:27+00:00,,,,,
406-0245433-9880317,LV-425G-BY4X,2025-11-02T01:45:57Z,2025-11-02 01:45:57+00:00,,,,,
204-8409203-2386717,2G-AYBQ-TUQG,2025-11-02T16:47:04Z,2025-11-02 16:47:04+00:00,,,,,
205-5142701-2910768,6P-IWYA-X18B,2025-11-02T16:53:00Z,2025-11-02 16:53:00+00:00,,,,,
204-2723286-5631567,BQ-O3OI-FTJU,2025-11-02T16:59:20Z,2025-11-02 16:59:20+00:00,,,,,
206-5178814-7292347,6V-EEC1-2S9Z,2025-11-02T17:08:59Z,2025-11-02 17:08:59+00:00,,,,,
205-0552183-0538737,0H-5V53-GPG4,2025-11-02T18:07:04Z,2025-11-02 18:07:04+00:00,,,,,
202-6006013-8071508,0H-5V53-GPG4,2025-11-02T18:13:50Z,2025-11-02 18:13:50+00:00,,,,,
203-6075049-7454751,NN-TSZ1-X2RD,2025-11-02T19:03:41Z,2025-11-02 19:03:41+00:00,,,,,
202-9194939-8106743,7L-OT45-7LYB,2025-11-02T19:19:03Z,2025-11-02 19:19:03+00:00,,,,,
205-2781510-9059536,0H-5V53-GPG4,2025-11-02T19:36:39Z,2025-11-02 19:36:39+00:00,,,,,
206-8735938-5085931,6V-EEC1-2S9Z,2025-11-02T19:44:51Z,2025-11-02 19:44:51+00:00,,,,,
202-8380544-1149165,U1-M5BM-8F5W,2025-11-02T20:06:04Z,2025-11-02 20:06:04+00:00,,,,,
204-1768280-2001950,A2-T2AC-TW3L,2025-11-02T20:07:48Z,2025-11-02 20:07:48+00:00,,,,,
202-9954939-5149961,6V-EEC1-2S9Z,2025-11-02T20:21:56Z,2025-11-02 20:21:56+00:00,,,,,
026-6297052-3409154,49-4UKW-G81R,2025-11-02T20:30:51Z,2025-11-02 20:30:51+00:00,,,,,
206-2015210-6721901,ZT-QPY3-P24I,2025-11-02T20:31:38Z,2025-11-02 20:31:38+00:00,,,,,
203-8981612-3861126,0H-5V53-GPG4,2025-11-02T20:34:09Z,2025-11-02 20:34:09+00:00,,,,,
205-5734522-4774739,LF-X542-9TDZ,2025-11-02T20:35:09Z,2025-11-02 20:35:09+00:00,,,,,
203-9350599-6785924,6V-EEC1-2S9Z,2025-11-02T20:36:41Z,2025-11-02 20:36:41+00:00,,,,,
202-4963175-5756322,0H-5V53-GPG4,2025-11-02T20:39:46Z,2025-11-02 20:39:46+00:00,,,,,
206-8788817-6629906,JV-D1TI-6UF6,2025-11-02T20:47:14Z,2025-11-02 20:47:14+00:00,,,,,
203-2611328-4055560,BB-ZT14-1QQA,2025-11-02T20:56:30Z,2025-11-02 20:56:30+00:00,,,,,
206-5439697-7785922,A2-T2AC-TW3L,2025-11-02T21:02:01Z,2025-11-02 21:02:01+00:00,,,,,
203-5663211-1261909,A2-T2AC-TW3L,2025-11-02T21:02:47Z,2025-11-02 21:02:47+00:00,,,,,
026-0478929-0071512,AK-OB6V-HIYD,2025-11-02T21:18:21Z,2025-11-02 21:18:21+00:00,,,,,
205-0373485-0572304,6V-EEC1-2S9Z,2025-11-02T21:18:38Z,2025-11-02 21:18:38+00:00,,,,,
204-9562212-3533907,GD-B8SW-1PCP,2025-11-02T21:18:52Z,2025-11-02 21:18:52+00:00,,,,,
206-8260433-1368348,6V-EEC1-2S9Z,2025-11-02T21:26:06Z,2025-11-02 21:26:06+00:00,,,,,
205-5782964-8161961,6V-EEC1-2S9Z,2025-11-02T21:32:23Z,2025-11-02 21:32:23+00:00,,,,,
202-0271126-7285907,AK-OB6V-HIYD,2025-11-02T21:40:24Z,2025-11-02 21:40:24+00:00,,,,,
204-5197186-4003514,6V-EEC1-2S9Z,2025-11-02T21:40:42Z,2025-11-02 21:40:42+00:00,,,,,
203-3664720-0388366,A2-T2AC-TW3L,2025-11-02T21:41:02Z,2025-11-02 21:41:02+00:00,,,,,
