Order ID,SKU,manual_currency,fx_rate_to_gbp,manual_price_total,manual_price_vat,manual_price_exvat,manual_shipping_total,manual_shipping_vat,manual_shipping_exvat,manual_promotion_total,manual_promotion_vat,manual_promotion_exvat,manual_fba_fee_total,manual_fba_fee_vat,manual_fba_fee_exvat,manual_commission_total,manual_commission_vat,manual_commission_exvat,manual_digital_fee_total,manual_digital_fee_vat,manual_digital_fee_exvat,sys_price_total,sys_price_vat,sys_price_exvat,sys_shipping_total,sys_shipping_vat,sys_shipping_exvat,sys_promo_total,sys_promo_vat,sys_promo_exvat,sys_fba_total,sys_fba_vat,sys_fba_exvat,sys_comm_total,sys_comm_vat,sys_comm_exvat,sys_dsf_total,sys_dsf_vat,sys_dsf_exvat,delta_manual_price_total,delta_manual_price_vat,delta_manual_price_exvat,delta_manual_shipping_total,delta_manual_shipping_vat,delta_manual_shipping_exvat
026-5313246-8599533,6V-EEC1-2S9Z,0.0,1.0,8.05,1.34,6.71,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-0.33,-1.62,-1.26,-0.21,-1.05,-0.07,-0.02,-0.05,8.05,1.34,6.71,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-0.33,-1.62,-1.26,-0.21,-1.05,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
203-2356632-3105919,SU-5LQH-2DVN,0.0,1.0,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.28,-0.22,-1.06,-0.09,-0.02,-0.07,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.28,-0.21,-1.07,-0.09,-0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0
026-9762495-0064333,6V-EEC1-2S9Z,0.0,1.0,8.07,1.35,6.72,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,0.0,-0.05,8.07,1.35,6.72,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
206-0647215-7566760,4F-HT42-FD26,0.0,1.0,8.98,1.5,7.48,0.0,0.0,0.0,0.0,0.0,0.0,-2.07,-0.34,-1.73,-1.62,-0.27,-1.35,-0.07,-0.01,-0.06,8.98,1.5,7.48,0.0,0.0,0.0,0.0,0.0,0.0,-2.07,-0.35,-1.72,-1.62,-0.27,-1.35,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
202-0163562-6882721,Z7-26PV-O9LR,0.0,1.0,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.86,-0.14,-0.72,-0.04,0.0,-0.04,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.86,-0.14,-0.72,-0.04,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0
205-0291358-9417951,49-4UKW-G81R,0.0,1.0,16.44,2.74,13.7,0.0,0.0,0.0,0.0,0.0,0.0,-4.12,-0.68,-3.44,-2.96,-0.5,-2.46,-0.14,-0.02,-0.12,16.44,2.74,13.7,0.0,0.0,0.0,0.0,0.0,0.0,-4.12,-0.69,-3.43,-2.96,-0.49,-2.47,-0.14,-0.02,-0.12,0.0,0.0,0.0,0.0,0.0,0.0
205-9979731-9513929,EV-CHU5-XU3G,0.0,1.0,6.73,1.12,5.61,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-1.04,-0.17,-0.87,-0.05,0.0,-0.05,6.73,1.12,5.61,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-1.04,-0.17,-0.87,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
204-9658283-5620365,6V-EEC1-2S9Z,0.0,1.0,15.16,2.66,13.3,0.0,0.0,0.0,-0.66,-0.14,-0.52,-3.88,-0.64,-3.24,-2.38,-0.4,-1.98,-0.12,-0.02,-0.1,15.82,2.52,13.3,0.0,0.0,0.0,0.66,0.11,0.55,-3.89,-0.65,-3.24,-2.47,-0.41,-2.06,-0.12,-0.02,-0.1,-0.66,0.14,0.0,0.0,0.0,0.0
202-8895078-2724346,6V-EEC1-2S9Z,0.0,1.0,8.09,1.35,6.74,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,0.0,-0.05,8.09,1.35,6.74,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
203-5551125-1557926,WX-L5UA-UB1Q,0.0,1.0,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
