amazon_order_id,seller_sku,asin,quantity_ordered,quantity_shipped,item_price_amount
205-8733862-0843521,YC-3L3M-BV48,B0CTD6Q6KY,0,0,
206-0265397-6980346,VF-3T0K-DR5O,B08KFFY86W,0,0,
206-2210937-1397108,DC-K5WH-R7F5,B0073FT7FY,0,0,
206-2638702-1494700,UL-D0Y8-ZNI5,B08DR97BX2,0,0,
206-3566832-6789969,79-CPJ6-DSG6,9189143051,0,0,
206-3929240-2502729,WX-L5UA-UB1Q,B007R2ICTK,0,0,
206-4271740-7194746,6V-EEC1-2S9Z,B06WW79DX5,0,0,
206-4540515-0895568,6V-EEC1-2S9Z,B06WW79DX5,0,0,
206-4716355-7857106,VF-3T0K-DR5O,B08KFFY86W,0,0,
206-4763925-0926766,Z7-26PV-O9LR,B07J9JGZZV,0,0,
206-5076774-5109112,6V-EEC1-2S9Z,B06WW79DX5,0,0,
206-5285246-8063562,VF-3T0K-DR5O,B08KFFY86W,0,0,
206-5472822-4376310,NN-TSZ1-X2RD,B093FQYQJH,0,0,
206-5918352-9472352,6V-EEC1-2S9Z,B06WW79DX5,0,0,
206-5955350-9124348,6V-EEC1-2S9Z,B06WW79DX5,0,0,
206-6024686-5471519,6V-EEC1-2S9Z,B06WW79DX5,0,0,
206-6230562-7445160,RB-82FL-T88J,B0CJ8TNZ67,0,0,
206-7320479-7629937,LV-425G-BY4X,9188805646,0,0,
206-7741683-7645123,JV-D1TI-6UF6,B002HY4YSQ,0,0,
206-7868612-7621913,Z7-26PV-O9LR,B07J9JGZZV,0,0,
206-7983957-9601965,Z7-26PV-O9LR,B07J9JGZZV,0,0,
206-8163752-5528353,VF-3T0K-DR5O,B08KFFY86W,0,0,
206-8639622-3252369,VF-3T0K-DR5O,B08KFFY86W,0,0,
206-9222099-0233134,CX-SMCH-4DYA,B0012B80HG,0,0,
206-9560684-1487548,6V-EEC1-2S9Z,B06WW79DX5,0,0,
206-9766204-8216354,7L-OT45-7LYB,B01NBDFDBC,0,0,
203-9342722-7815502,WX-L5UA-UB1Q,B007R2ICTK,0,0,
026-8389569-8082731,NN-TSZ1-X2RD,B093FQYQJH,1,0,
206-5561131-9016346,XH-0LAE-FQO5,B00AOES9GE,1,0,
204-6721836-4116363,49-4UKW-G81R,B00WI8O0RG,1,0,8.99
205-7837608-9963525,WX-L5UA-UB1Q,B007R2ICTK,1,0,
026-6201235-2476349,L3-ZQ8U-A7LQ,B004I2N5AS,0,0,
203-8008952-2593951,WX-L5UA-UB1Q,B007R2ICTK,0,0,
202-0870051-1412317,XH-0LAE-FQO5,B00AOES9GE,0,0,
202-3430778-0767507,3B-3H3V-Z93T,B0CP69JJGG,0,0,
202-3780584-8070750,L3-ZQ8U-A7LQ,B004I2N5AS,0,0,
205-5724355-9532322,TU-8I14-25ZR,B0CN5KRVXB,0,0,
205-7135137-3466732,3B-3H3V-Z93T,B0CP69JJGG,0,0,
171-5034605-9797904,SR-6OBB-WC03,B06XXDNH1P,0,0,
S02-1884425-2747759,RB-82FL-T88J,B0CJ8TNZ67,1,1,
S02-7627262-2851065,IB-U5FA-BO2Y,B0D3JC45CK,1,0,
S02-1904146-9043566,DC-K5WH-R7F5,B0073FT7FY,1,1,
S02-2580542-2256648,Z3-ORV9-K8XD,B000FGECAI,1,1,
S02-4918752-6300634,SE-IQQJ-EOU3,B004R1ZS64,1,1,
S02-5076825-8968703,SU-JM8R-2U82,B09ST7SSLW,1,1,
S02-7692407-2752619,XH-0LAE-FQO5,B00AOES9GE,1,1,
S02-8021764-4477330,Z3-ORV9-K8XD,B000FGECAI,1,1,
S02-9372918-5165068,XH-0LAE-FQO5,B00AOES9GE,1,1,
S02-9647055-0892309,0H-5V53-GPG4,B0CRRPCT5P,1,1,
