event_day,sku,event_type,status,note,events_count,quantity_sum,applied_sum
2025-12-01,X7-MY4W-H2I4,Receipts,partial,insufficient_returned_pending,1,17,0
2025-12-03,6V-EEC1-2S9Z,Adjustments,partial,insufficient_returned_pending,1,1,0
2025-12-03,A2-T2AC-TW3L,Receipts,partial,insufficient_returned_pending,1,120,0
2025-12-05,WX-L5UA-UB1Q,Adjustments,partial,insufficient_returned_pending,1,1,0
2025-12-10,0H-5V53-GPG4,Adjustments,partial,insufficient_returned_pending,1,1,0
2025-12-14,Z9-FBUQ-EZN3,Adjustments,partial,insufficient_tokens_to_remove,1,-1,0
2025-12-15,6V-EEC1-2S9Z,Receipts,partial,insufficient_returned_pending,1,250,0
2025-12-18,6V-EEC1-2S9Z,Receipts,partial,insufficient_returned_pending,1,250,0
2025-12-18,A2-T2AC-TW3L,Receipts,partial,insufficient_returned_pending,1,94,0
2025-12-19,YO-EKK2-FRCC,Adjustments,partial,insufficient_returned_pending,2,2,0
2025-12-19,YO-EKK2-FRCC,Adjustments,partial,insufficient_unsellable_to_remove,2,-2,0
2025-12-21,A2-T2AC-TW3L,Adjustments,partial,insufficient_returned_pending,1,1,0
2025-12-23,SU-5LQH-2DVN,Receipts,partial,insufficient_returned_pending,1,75,0
2025-12-29,9X-7TBD-NA16,Adjustments,partial,insufficient_tokens_to_remove,1,-1,0
2026-01-01,UR-Q7TM-1F3I,Adjustments,partial,insufficient_returned_pending,1,1,0
2026-01-05,6V-EEC1-2S9Z,Adjustments,partial,insufficient_returned_pending,1,1,0
2026-01-05,6V-EEC1-2S9Z,Adjustments,partial,insufficient_unsellable_to_remove,1,-1,0
2026-01-05,UR-Q7TM-1F3I,Adjustments,partial,insufficient_unsellable_to_remove,1,-1,0
2026-01-06,6V-EEC1-2S9Z,Adjustments,partial,insufficient_unsellable_to_remove,1,-1,0
2026-01-06,QM-QAGK-D2UQ,Adjustments,partial,insufficient_returned_pending,1,1,0
2026-01-14,6V-EEC1-2S9Z,Receipts,partial,insufficient_returned_pending,1,250,0
2026-01-18,3B-3H3V-Z93T,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-18,8R-E0Y9-0LAU,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-18,A2-T2AC-TW3L,Receipts,partial,insufficient_returned_pending,1,120,0
2026-01-18,GJ-2OZK-0GCA,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-18,L5-PF3B-WHU4,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-19,3B-3H3V-Z93T,Receipts,partial,insufficient_returned_pending,2,32,0
2026-01-19,3X-EXDD-TD2K,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-19,8R-E0Y9-0LAU,Receipts,partial,insufficient_returned_pending,2,32,0
2026-01-19,DV-USYD-8WR2,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-19,GA-9DTN-9O1E,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-19,GJ-2OZK-0GCA,Receipts,partial,insufficient_returned_pending,2,32,0
2026-01-19,H4-86XG-NLX6,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-19,HO-LSOY-8R05,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-19,L5-PF3B-WHU4,Receipts,partial,insufficient_returned_pending,2,32,0
2026-01-19,LV-425G-BY4X,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-19,ZT-QPY3-P24I,Receipts,partial,insufficient_returned_pending,1,16,0
2026-01-21,8M-LM6B-F2Q5,Adjustments,partial,insufficient_returned_pending,1,1,0
2026-01-26,6V-EEC1-2S9Z,Adjustments,partial,insufficient_returned_pending,1,1,0
2026-01-26,A2-T2AC-TW3L,Receipts,partial,insufficient_returned_pending,1,120,0
2026-01-27,8U-QPFH-3EKQ,Receipts,partial,insufficient_returned_pending,1,26,0
2026-01-27,C6-XGZB-J6QA,Receipts,partial,insufficient_returned_pending,1,26,0
2026-01-27,LP-QMNJ-J49G,Receipts,partial,insufficient_returned_pending,1,26,0
2026-01-27,NN-TSZ1-X2RD,Receipts,partial,insufficient_returned_pending,1,26,0
2026-01-27,W3-8FN7-FSP0,Receipts,partial,insufficient_returned_pending,1,26,0
2026-01-27,XE-YPAI-HX9F,Receipts,partial,insufficient_returned_pending,1,26,0
2026-01-27,Z7-26PV-O9LR,Receipts,partial,insufficient_returned_pending,1,26,0
2026-01-28,6V-EEC1-2S9Z,Adjustments,partial,insufficient_returned_pending,1,3,0
