study_rank,sku,asof_date,reorder_flag,days_of_stock_left,suggested_reorder_qty,velocity_30d,units_sold_30d,units_sold_truth_30d,units_sold_velocity_30d,units_sold_source,revenue_exvat_gbp_30d,profit_exvat_gbp_30d,roi_exvat_30d,profit_per_unit_gbp_30d,value_velocity_gbp_per_day,missing_cogs_units,fx_missing_units,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,latest_price_confidence,b_money_confidence_state,b_bridge_values_safe_for_live_roi,profit_confidence,sales_truth_state,stock_signal,restock_business_ready,restock_decision_state,restock_readiness_confidence,restock_missing_proof,restock_evidence_role,missing_reason,missing_roi_reason,missing_roi_reason_detail,latest_daily_truth_date,latest_daily_truth_state,latest_daily_truth_units,latest_daily_truth_profit_gbp
92,G8-L8EI-INMK,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.12,4.7595,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
93,GA-9DTN-9O1E,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,18.18,27.04125,0.0,20.812706,20.812706,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
94,GD-B8SW-1PCP,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,28.75,37.767143,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
95,GH-PONH-K4WQ,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.78,10.284545,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
96,GJ-2OZK-0GCA,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,17.5,26.850812,0.780345,3.709646,3.709646,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
97,GY-FO04-RDYL,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.6,6.77,0.0,13.564815,-45.231481,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
98,H4-86XG-NLX6,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.25,8.3009,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
99,HL-03ZR-QPHH,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.6,6.775,0.0,9.490741,-45.37037,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
100,HO-LSOY-8R05,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,17.4,24.263333,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
101,I2-6YKQ-CIBP,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.91125,7.080038,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
102,IB-U5FA-BO2Y,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,20.59,30.026364,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
103,IJ-V0PQ-4CZ4,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.97,4.478929,0.0,13.759971,15.87503,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
104,IM-AYXV-79NJ,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.25,4.04125,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
105,JH-97NP-GJDG,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,0.78,2.665,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
106,JL-VTP2-JF3Q,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,6.95,12.33375,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
107,JV-D1TI-6UF6,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.6,7.580021,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
108,K0-71JR-UNLF,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.44,5.74,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
109,KI-CR51-18J3,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,28.2,39.303667,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
110,L3-ZQ8U-A7LQ,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,7.852381,12.846241,0.51,-3.454255,20.742228,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
111,L5-PF3B-WHU4,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,17.5,26.086,0.0,8.08,4.937143,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
112,LF-X542-9TDZ,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,7.74,14.208333,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
113,LR-7GM6-1RCH,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,23.25,30.033333,0.0,4.910394,2.258065,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
114,M5-71MK-T0DL,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.32,9.15,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
115,MF-TPXM-F8AF,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,18.54,28.39,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
116,MY-KL21-NMV5,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,18.5,27.853636,0.0,16.37674,9.484848,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
117,N7-A24N-WJA7,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.01,7.435747,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
