order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
202-0499191-3056357,-3.7,3.7,202-0499191-3056357,3.4,-0.3
204-5473246-3082763,-3.7,3.7,204-5473246-3082763,3.4,-0.3
204-8844207-2161135,-3.7,3.7,204-8844207-2161135,3.4,-0.3
204-8300090-2553160,-3.7,3.7,204-8300090-2553160,3.4,-0.3
203-8439423-5553152,-4.5,4.5,203-8439423-5553152,4.2,-0.3
204-7618158-2660336,-3.7,3.7,204-7618158-2660336,3.4,-0.3
206-6328637-0029959,-3.7,3.7,206-6328637-0029959,3.4,-0.3
205-4218831-1963501,-3.7,3.7,205-4218831-1963501,3.4,-0.3
206-8963720-2271500,-4.44,4.44,206-8963720-2271500,4.16,-0.28
205-8106137-9761936,-8.6,8.6,205-8106137-9761936,8.88,0.28
204-7731019-1735542,-8.6,8.6,204-7731019-1735542,8.88,0.28
204-4336273-4899510,-4.44,4.44,204-4336273-4899510,4.16,-0.28
202-0452015-7002752,-8.6,8.6,202-0452015-7002752,8.88,0.28
204-9814813-0979533,-8.6,8.6,204-9814813-0979533,8.88,0.28
205-4516595-4298715,-8.6,8.6,205-4516595-4298715,8.88,0.28
205-2112739-4887530,-8.6,8.6,205-2112739-4887530,8.88,0.28
204-1082833-6927506,-4.44,4.44,204-1082833-6927506,4.16,-0.28
205-9120263-0717947,-4.44,4.44,205-9120263-0717947,4.16,-0.28
026-2068431-2910750,-8.6,8.6,026-2068431-2910750,8.88,0.28
405-9939444-4179553,-4.38,4.38,405-9939444-4179553,4.1,-0.28
206-1515976-1715551,-8.6,8.6,206-1515976-1715551,8.88,0.28
204-7621370-9535516,-41.02,41.02,204-7621370-9535516,40.74,-0.28
206-7230763-2581103,-8.6,8.6,206-7230763-2581103,8.88,0.28
026-4149782-3214746,-4.44,4.44,026-4149782-3214746,4.16,-0.28
205-7429081-3997150,-2.46,2.46,205-7429081-3997150,2.73,0.27
205-7329405-3085103,-2.46,2.46,205-7329405-3085103,2.73,0.27
026-2408510-6589956,-2.46,2.46,026-2408510-6589956,2.73,0.27
026-2482921-0521904,-2.46,2.46,026-2482921-0521904,2.73,0.27
206-8661619-7963541,-2.46,2.46,206-8661619-7963541,2.73,0.27
206-8774520-3586749,-2.46,2.46,206-8774520-3586749,2.73,0.27
206-8980424-8504327,-2.46,2.46,206-8980424-8504327,2.73,0.27
206-9260812-7122705,-2.46,2.46,206-9260812-7122705,2.73,0.27
206-7559564-5873946,-2.46,2.46,206-7559564-5873946,2.73,0.27
026-4442848-2089914,-2.46,2.46,026-4442848-2089914,2.73,0.27
206-8508247-7919517,-2.46,2.46,206-8508247-7919517,2.73,0.27
206-8523709-0829932,-2.46,2.46,206-8523709-0829932,2.73,0.27
202-5309366-0840348,-2.46,2.46,202-5309366-0840348,2.73,0.27
202-5038540-2893946,-2.46,2.46,202-5038540-2893946,2.73,0.27
