Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT
2025-11-18T18:28:36Z,203-5217562-5091555,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T18:44:46Z,026-4583627-7996300,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T19:14:06Z,202-4120545-2837940,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T19:16:17Z,206-6168243-1217114,WX-L5UA-UB1Q,1,5.98,1.00,4.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T19:35:55Z,202-9130347-3793957,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T19:54:21Z,203-9457048-4436367,0H-5V53-GPG4,1,11.95,1.99,9.96,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T20:09:48Z,204-9667032-6185969,Z3-ORV9-K8XD,2,27.98,4.66,23.32,2.49,0.00,2.49,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T20:12:12Z,206-3759998-2594739,4F-HT42-FD26,1,8.98,1.50,7.48,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T20:40:09Z,204-3583557-7929103,N7-A24N-WJA7,1,9.18,1.53,7.65,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T20:46:52Z,204-1608541-5131560,VF-3T0K-DR5O,1,5.25,0.88,4.37,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T20:50:42Z,205-3683691-6400306,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T21:13:05Z,206-9319150-9001166,XH-0LAE-FQO5,1,7.14,1.19,5.95,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T21:28:23Z,205-8921430-4259534,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T21:57:15Z,206-7416317-3202735,WX-L5UA-UB1Q,1,5.98,1.00,4.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T22:01:56Z,203-8275291-5209129,VU-8KRA-QP5M,1,11.60,1.93,9.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T22:05:04Z,205-4435671-6937920,XH-0LAE-FQO5,2,14.28,2.38,11.90,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T22:08:36Z,206-4758470-9006741,D7-MGBX-RX2P,1,9.94,1.66,8.28,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T22:09:02Z,205-6424282-1309902,XG-Z9LW-Z27Q,1,6.79,1.13,5.66,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T22:51:50Z,203-9740350-7405139,VU-8KRA-QP5M,1,11.60,1.93,9.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T23:26:23Z,204-8335644-2021957,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-18T23:30:59Z,202-8992194-5053919,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T00:16:42Z,204-7650947-9005146,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T05:46:11Z,205-6191860-8378728,A2-T2AC-TW3L,1,12.24,2.04,10.20,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T07:26:09Z,205-4703126-9301920,NN-TSZ1-X2RD,1,9.49,1.58,7.91,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T08:44:02Z,203-5887111-4684348,WX-L5UA-UB1Q,1,5.98,1.00,4.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T09:08:02Z,203-9593102-8553167,XG-Z9LW-Z27Q,1,6.79,1.13,5.66,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T09:39:09Z,026-6103590-9148324,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T09:40:29Z,203-6402502-4271559,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T09:43:50Z,026-6594571-2161929,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T09:57:23Z,202-8374447-2766752,NN-TSZ1-X2RD,1,9.49,1.58,7.91,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T10:54:59Z,204-1581988-6261911,NN-TSZ1-X2RD,1,9.73,1.82,7.91,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T11:11:43Z,205-7050922-4502744,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
