sku,window_days,units_sold,days_in_stock_est,velocity_units_per_day,v7,v30,v90,v_blended,available,total_quantity,first_order_date,last_order_date,asof_date,window_days_roi,units_sold_roi,revenue_exvat_gbp,cogs_exvat_gbp,profit_exvat_gbp,roi_exvat,missing_cogs_units,fx_missing_units,asof_date_roi,velocity_30d,available_restock,total_quantity_restock,days_of_stock_left,reorder_flag,suggested_reorder_qty,asof_date_restock,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,profit_per_unit_gbp_30d,value_velocity_gbp_per_day
LF-X542-9TDZ,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,7.74,13.756667,0.0,,,,
LR-7GM6-1RCH,30,0.0,0,0.0,,0.0,,,13,13,,,2026-02-17,,,,,,,,,,0.0,13,13,,no,0,2026-02-17,23.25,28.920833,0.0,12.02509,6.505376,,
LV-425G-BY4X,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,16.38,24.185111,0.0,,,,
M5-71MK-T0DL,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,4.32,9.15,0.0,,,,
MF-TPXM-F8AF,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,18.54,28.39,0.0,,,,
MW-9K5M-VKW8,30,4.0,22,0.181818,,0.181818,,,0,0,2026-01-19,2026-02-09,2026-02-17,30,4.0,0.0,-27.3,0.0,0.0,4,0,2026-02-17,0.181818,0,0,0.0,yes,5,2026-02-17,13.65,20.785421,0.0,,,0.0,0.0
MY-KL21-NMV5,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,18.5,27.888,0.0,,,,
N7-A24N-WJA7,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,3.01,7.508828,0.0,,,,
NN-TSZ1-X2RD,30,72.0,23,3.130435,,3.130435,,,0,1,2026-01-18,2026-02-09,2026-02-17,30,72.0,0.0,-265.18,0.0,0.0,72,0,2026-02-17,3.130435,0,1,0.0,yes,94,2026-02-17,3.679474,6.396869,0.0,,,0.0,0.0
NX-0Q7A-XR6H,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.74,11.722,0.0,,,,
OV-LVEL-DQL6,30,0.0,0,0.0,,0.0,,,9,9,,,2026-02-17,,,,,,,,,,0.0,9,9,,no,0,2026-02-17,6.95,11.83,0.0,22.589928,5.683453,,
PE-G94Y-4PYO,30,6.0,19,0.315789,,0.315789,,,0,0,2026-01-24,2026-02-11,2026-02-17,30,6.0,0.0,-17.16,0.0,0.0,6,0,2026-02-17,0.315789,0,0,0.0,yes,9,2026-02-17,2.86,7.367143,0.0,,,0.0,0.0
PY-XV78-3OG5,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,20.51,31.785,0.0,,,,
R4-0AXZ-ZZ9D,30,4.0,3,1.333333,,1.333333,,,3,4,2026-01-23,2026-01-25,2026-02-17,30,4.0,0.0,-19.4,0.0,0.0,4,0,2026-02-17,1.333333,3,4,2.25,yes,37,2026-02-17,4.85,38.54,0.0,-585.017182,-588.62543,0.0,0.0
R7-98IN-2PW8,30,11.0,14,0.785714,,0.785714,,,43,43,2026-01-20,2026-02-02,2026-02-17,30,11.0,0.0,-27.5,0.0,0.0,11,0,2026-02-17,0.785714,43,43,54.73,no,0,2026-02-17,2.5,5.502101,0.0,-25.750725,-38.417391,0.0,0.0
