sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
AX-NKNU-29C1,AX-NKNU-29C15,200,0,200,0.61,14/04/25
XH-OMMJ-C7MT,XH-OMMJ-C7MT3,8,0,8,2.45,14/04/25
SU-5LQH-2DVN,SU-5LQH-2DVN3,100,0,100,2.01,05/04/25
A2-T2AC-TW3L,A2-T2AC-TW3L12,240,0,240,4.29,05/04/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z9,500,0,500,2.07,05/04/25
5R-LL8J-AP4S,5R-LL8J-AP4S2,56,0,56,3.5,05/04/25
Z3-ORV9-K8XD,Z3-ORV9-K8XD6,100,0,100,6.56,05/04/25
TE-Y18U-S2O1,TE-Y18U-S2O11,12,5,7,4.44,05/04/25
2U-4KLP-68HB,2U-4KLP-68HB4,30,0,30,5.86,01/04/25
ZB-PV7O-TKUD,ZB-PV7O-TKUD1,8,0,8,19.82,27/03/25
PK-9T59-FNWW,PK-9T59-FNWW1,6,0,6,37.17,27/03/25
ZT-QPY3-P24I,ZT-QPY3-P24I1,5,2,3,33.54,27/03/25
3C-5W5L-CT0T,3C-5W5L-CT0T3,24,0,24,13.4,26/03/25
49-4UKW-G81R,49-4UKW-G81R4,35,0,35,3.17,25/03/25
D7-MGBX-RX2P,D7-MGBX-RX2P4,100,0,100,2.79,25/03/25
SZ-UL4K-SE7W,SZ-UL4K-SE7W4,45,0,45,3.17,25/03/25
0N-X5KF-213D,0N-X5KF-213D2,10,0,10,3.6,25/03/25
MR-727N-ZG8K,MR-727N-ZG8K2,10,0,10,1.9,25/03/25
93-TB6X-UKTU,93-TB6X-UKTU6,50,0,50,1.69,25/03/25
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y5,500,0,500,1.24,25/03/25
GW-1ECO-QZA7,GW-1ECO-QZA73,40,0,40,20.05,3/25/2025
MW-9K5M-VKW8,MW-9K5M-VKW87,40,19,21,13.65,3/25/2025
86-0EBH-JQX6,86-0EBH-JQX61,15,0,15,19.5,3/25/2025
TA-7DAZ-18PU,TA-7DAZ-18PU1,30,0,30,12.5,3/25/2025
JL-VTP2-JF3Q,JL-VTP2-JF3Q1,12,8,4,6.95,3/25/2025
MY-XMO2-EXY1,MY-XMO2-EXY11,10,0,10,9.8,3/25/2025
Q1-00D7-5IQF,Q1-00D7-5IQF1,10,0,10,9.8,3/25/2025
VA-V4J8-WHCT,VA-V4J8-WHCT1,6,0,6,15.25,3/25/2025
FBA15K3QTGNT_unexpected_item_01,FBA15K3QTGNT_unexpected_item_011,63,0,63,1.66,22/3/25
A2-T2AC-TW3L,A2-T2AC-TW3L11,240,0,240,4.29,18/03/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z8,500,0,500,2.07,18/03/25
WJ-YHKC-EES5,WJ-YHKC-EES52,10,3,7,2.09,17/03/25
7C-MBEY-QA37,7C-MBEY-QA372,10,0,10,2.62,17/03/25
3T-6QPR-E2MV,3T-6QPR-E2MV3,38,0,38,4.65,17/03/25
QW-9XV0-Q3EH,QW-9XV0-Q3EH2,45,0,45,6.05,17/03/25
QT-C0ZN-T4R7,QT-C0ZN-T4R71,5,0,5,17.06,17/03/25
1U-YF3T-TR74,1U-YF3T-TR741,5,0,5,7.67,17/03/25
12-3VTE-5T3Z,12-3VTE-5T3Z1,4,0,4,10.23,17/03/25
PN-0NVI-R2WQ,PN-0NVI-R2WQ1,15,0,15,4.92,17/03/25
7H-7G2P-ONWJ,7H-7G2P-ONWJ4,36,0,36,0.88,17/03/25
C7-D8C6-UWDV,C7-D8C6-UWDV1,10,0,10,2.5,17/03/25
TJ-6LOP-OPEU,TJ-6LOP-OPEU1,24,19,5,2.19,17/03/25
VI-ICHI-WPB5,VI-ICHI-WPB51,12,0,12,4.19,17/03/25
86-1VHQ-ABNK,86-1VHQ-ABNK1,40,39,1,0.57,17/03/25
MW-1ILH-TLS4,MW-1ILH-TLS41,30,0,30,4.62,17/03/25
4D-BI2L-5PZ8,4D-BI2L-5PZ81,6,5,1,6.9,17/03/25
CX-1R85-163Z,CX-1R85-163Z1,16,0,16,6.5,17/03/25
3C-HIAR-JEF0,3C-HIAR-JEF01,10,0,10,1.25,11/03/25
5R-LL8J-AP4S,5R-LL8J-AP4S1,30,0,30,3.5,11/03/25
XY-SHVR-W7PG,XY-SHVR-W7PG1,20,0,20,1.5,11/03/25
QV-VH06-EAV3,QV-VH06-EAV31,25,0,25,3.85,11/03/25
62-2H0B-RRR3,62-2H0B-RRR31,15,0,15,2.5,11/03/25
ZU-RET1-5CSU,ZU-RET1-5CSU1,20,0,20,3.95,11/03/25
DC-K5WH-R7F5,DC-K5WH-R7F56,60,0,60,0.64,10/03/25
XH-0LAE-FQO5,XH-0LAE-FQO55,80,0,80,2.96,10/03/25
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y4,20,0,20,1.24,10/03/25
6Q-9G2A-IKVV,6Q-9G2A-IKVV2,144,0,144,7.29,10/03/25
2G-AYBQ-TUQG,2G-AYBQ-TUQG2,30,9,21,8.27,10/03/25
QP-BCUW-E90M,QP-BCUW-E90M2,45,0,45,13.76,10/03/25
GA-9DTN-9O1E,GA-9DTN-9O1E3,15,0,15,18.18,10/03/25
3Q-JVVB-BIT7,3Q-JVVB-BIT75,14,0,14,20.64,10/03/25
Z3-ORV9-K8XD,Z3-ORV9-K8XD5,65,0,65,6.56,10/03/25
TA-HQMF-9SUB,TA-HQMF-9SUB3,12,0,12,2.79,10/03/25
G9-GAEI-FQI3,G9-GAEI-FQI32,24,0,24,3.13,10/03/25
N4-5C3G-RJS1,N4-5C3G-RJS13,9,0,9,2.93,10/03/25
JB-RGB6-LZOJ,JB-RGB6-LZOJ6,96,0,96,2.47,10/03/25
A7-868U-HTPI,A7-868U-HTPI1,6,0,6,9.32,10/3/25
VL-48KZ-J3F2,VL-48KZ-J3F21,30,0,30,1.04,10/3/25
9X-HL62-83C7,9X-HL62-83C71,10,6,4,1.99,10/3/25
UR-UAT8-4JSI,UR-UAT8-4JSI1,36,0,36,0.83,10/3/25
Y3-RYVT-A6Y8,Y3-RYVT-A6Y81,23,0,23,2.85,10/3/25
D8-VDSF-LENN,D8-VDSF-LENN1,3,0,3,2.78,10/3/25
SE-IQQJ-EOU3,SE-IQQJ-EOU31,5,0,5,10.31,10/3/25
HL-03ZR-QPHH,HL-03ZR-QPHH1,10,5,5,3.6,6/3/25
GY-FO04-RDYL,GY-FO04-RDYL1,15,1,14,3.6,6/3/25
0N-X5KF-213D,0N-X5KF-213D1,3,0,3,3.6,6/3/25
XJ-2FN3-M9FH,XJ-2FN3-M9FH1,10,0,10,6.99,6/3/25
DD-94AN-QL9L,DD-94AN-QL9L1,10,0,10,8.33,6/3/25
5H-EJ59-AZPA,5H-EJ59-AZPA1,10,0,10,2.03,6/3/25
DC-K5WH-R7F5,DC-K5WH-R7F55,140,0,140,0.64,04/03/25
XH-0LAE-FQO5,XH-0LAE-FQO54,200,0,200,2.96,04/03/25
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y3,60,0,60,1.24,04/03/25
Y0-Q6YF-SIEG,Y0-Q6YF-SIEG2,12,0,12,63.25,04/03/25
3C-5W5L-CT0T,3C-5W5L-CT0T2,6,0,6,13.5,04/03/25
MU-717K-DELS,MU-717K-DELS4,20,0,20,6.14,04/03/25
9D-PMDG-ALP4,9D-PMDG-ALP42,30,0,30,3.0,04/03/25
4F-HT42-FD26,4F-HT42-FD263,80,0,80,3.38,04/03/25
3Z-45IC-N1H4,3Z-45IC-N1H44,120,0,120,2.34,04/03/25
PH-M7S4-05R5,PH-M7S4-05R55,12,0,12,19.49,04/03/25
EE-KTDC-KCFY,EE-KTDC-KCFY6,48,0,48,3.46,04/03/25
OV-LVEL-DQL6,OV-LVEL-DQL64,12,0,12,6.95,3/4/2025
MW-9K5M-VKW8,MW-9K5M-VKW85,41,0,41,13.65,3/4/2025
HS-R5IP-7E1C,HS-R5IP-7E1C2,12,0,12,0.99,24/02/25
7C-7V6B-QQZL,7C-7V6B-QQZL2,25,0,25,4.99,24/02/25
NX-YY01-TLFO,NX-YY01-TLFO2,30,0,30,1.61,24/02/25
US-AK96-YFSB,US-AK96-YFSB3,15,0,15,1.25,24/02/25
AF-KIHX-ANYY,AF-KIHX-ANYY6,110,0,110,0.84,24/02/25
PE-G94Y-4PYO,PE-G94Y-4PYO3,24,0,24,2.86,24/02/25
A2-T2AC-TW3L,A2-T2AC-TW3L10,204,0,204,4.29,24/02/25
03-7TNF-U2A1,03-7TNF-U2A12,10,0,10,1.4,24/02/25
C5-V0VF-ZQAV,C5-V0VF-ZQAV2,10,0,10,1.08,24/02/25
DC-K5WH-R7F5,DC-K5WH-R7F54,80,68,12,0.63,24/02/25
Z7-26PV-O9LR,Z7-26PV-O9LR4,50,0,50,4.39,24/02/25
JY-781R-EYHZ,JY-781R-EYHZ2,100,0,100,1.29,24/02/25
ON-XPCR-TAZW,ON-XPCR-TAZW2,10,0,10,3.17,24/02/25
SZ-UL4K-SE7W,SZ-UL4K-SE7W3,30,0,30,3.17,24/02/25
8R-0UT9-SEOY,8R-0UT9-SEOY1,24,0,24,6.56,20/2/24
QP-BCUW-E90M,QP-BCUW-E90M1,21,0,21,13.76,20/2/24
XX-ISP6-LTOY,XX-ISP6-LTOY1,3,0,3,2.33,20/2/24
YJ-WD59-WWA2,YJ-WD59-WWA21,6,0,6,3.05,20/2/24
3E-62Y1-WPYU,3E-62Y1-WPYU1,4,1,3,2.96,20/2/24
IB-U5FA-BO2Y,IB-U5FA-BO2Y6,11,0,11,19.52,17/02/25
TA-HQMF-9SUB,TA-HQMF-9SUB2,5,0,5,2.79,17/02/25
N4-5C3G-RJS1,N4-5C3G-RJS12,10,0,10,2.93,17/02/25
EA-FZ2V-D7II,EA-FZ2V-D7II3,10,0,10,1.83,17/02/25
GK-YI4S-C158,GK-YI4S-C1583,10,0,10,2.58,17/02/25
TK-E7QE-T40G,TK-E7QE-T40G3,300,0,300,3.8,17/02/25
JB-RGB6-LZOJ,JB-RGB6-LZOJ5,24,0,24,2.47,17/02/25
WX-L5UA-UB1Q,WX-L5UA-UB1Q3,400,0,400,1.77,17/02/25
XN-OF53-7WRU,XN-OF53-7WRU1,12,0,12,2.41,17/2/25
P4-XF7W-GMJA,P4-XF7W-GMJA1,12,0,12,3.21,17/2/25
9H-K7TV-V6NU,9H-K7TV-V6NU1,12,0,12,2.97,17/2/25
IZ-8NZ9-VXR2,IZ-8NZ9-VXR21,8,0,8,3.8,15/02/25
CA-JM6T-ZXP6,CA-JM6T-ZXP61,8,0,8,14.58,15/02/25
UR-Q7TM-1F3I,UR-Q7TM-1F3I1,6,4,2,7.59,15/02/25
A2-T2AC-TW3L,A2-T2AC-TW3L9,120,0,120,4.14,11/02/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z7,500,0,500,2.07,11/02/25
D7-MGBX-RX2P,D7-MGBX-RX2P3,45,0,45,2.79,11/02/25
GD-B8SW-1PCP,GD-B8SW-1PCP3,15,0,15,28.75,3/4/2025
D1-LSS7-93U8,D1-LSS7-93U83,84,0,84,2.01,10/02/25
7H-7G2P-ONWJ,7H-7G2P-ONWJ3,52,0,52,0.88,10/02/25
PZ-X5VL-NVBR,PZ-X5VL-NVBR3,20,0,20,2.76,10/02/25
RS-NSGK-AN7M,RS-NSGK-AN7M1,14,0,14,2.5,10/2/25
D3-QTSY-BCV5,D3-QTSY-BCV51,18,0,18,2.5,10/2/25
LR-Q5V9-S4GK,LR-Q5V9-S4GK1,24,0,24,2.5,10/2/25
Y0-Q6YF-SIEG,Y0-Q6YF-SIEG1,6,0,6,61.9,10/2/25
3C-5W5L-CT0T,3C-5W5L-CT0T1,5,0,5,14.0,10/2/25
TA-HQMF-9SUB,TA-HQMF-9SUB1,1,0,1,2.79,03/02/25
MW-9K5M-VKW8,MW-9K5M-VKW84,30,0,30,13.65,2/7/2025
VF-3T0K-DR5O,VF-3T0K-DR5O4,400,0,400,2.05,6/2/25
E8-MXNZ-4UKU,E8-MXNZ-4UKU3,300,0,300,1.13,06/02/25
M5-71MK-T0DL,M5-71MK-T0DL3,100,0,100,4.32,5/2/25
RB-82FL-T88J,RB-82FL-T88J3,15,0,15,14.5,2/3/2025
M1-UFU0-V1X3,M1-UFU0-V1X31,50,0,50,4.31,03/02/25
9D-PMDG-ALP4,9D-PMDG-ALP41,12,0,12,2.8,03/02/25
XH-OMMJ-C7MT,XH-OMMJ-C7MT2,15,0,15,2.45,03/02/25
AF-KIHX-ANYY,AF-KIHX-ANYY5,70,0,70,0.84,03/02/25
HS-R5IP-7E1C,HS-R5IP-7E1C1,12,2,10,0.99,03/02/25
G9-GAEI-FQI3,G9-GAEI-FQI31,12,0,12,3.13,03/02/25
7C-7V6B-QQZL,7C-7V6B-QQZL1,20,0,20,4.94,03/02/25
NX-YY01-TLFO,NX-YY01-TLFO1,15,0,15,1.61,03/02/25
6Z-8POQ-K5XH,6Z-8POQ-K5XH1,5,0,5,2.85,03/02/25
5M-QO6K-LNH0,5M-QO6K-LNH01,12,3,9,2.36,03/02/25
LX-K206-ENZX,LX-K206-ENZX1,6,0,6,3.92,03/02/25
A2-T2AC-TW3L,A2-T2AC-TW3L8,240,0,240,4.14,03/02/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z6,500,0,500,2.07,03/02/25
QD-UWUI-6381,QD-UWUI-63812,15,0,15,16.5,2/3/2025
MW-9K5M-VKW8,MW-9K5M-VKW83,20,0,20,13.65,2/3/2025
93-TB6X-UKTU,93-TB6X-UKTU5,62,0,62,1.69,03/02/25
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y2,85,0,85,1.21,03/02/25
03-7TNF-U2A1,03-7TNF-U2A11,30,0,30,1.4,3/2/25
6Q-9G2A-IKVV,6Q-9G2A-IKVV1,72,61,11,7.29,03/02/25
E8-MXNZ-4UKU,E8-MXNZ-4UKU2,40,0,40,1.13,27/01/25
Z7-26PV-O9LR,Z7-26PV-O9LR3,120,0,120,4.39,27/01/25
93-TB6X-UKTU,93-TB6X-UKTU4,50,0,50,1.69,27/01/25
EH-ZRT0-U4YM,EH-ZRT0-U4YM3,35,0,35,3.17,27/01/25
TE-PYY9-E5X8,TE-PYY9-E5X85,141,0,141,1.66,21/01/25
AX-NKNU-29C1,AX-NKNU-29C14,150,0,150,0.61,21/01/25
90-0G83-3P0X,90-0G83-3P0X3,8,0,8,7.15,21/01/25
8M-LM6B-F2Q5,8M-LM6B-F2Q53,10,0,10,1.57,13/01/25
TK-E7QE-T40G,TK-E7QE-T40G2,45,0,45,3.96,13/01/25
JV-D1TI-6UF6,JV-D1TI-6UF63,45,10,35,3.96,13/01/25
JB-RGB6-LZOJ,JB-RGB6-LZOJ4,36,0,36,2.47,13/01/25
AF-KIHX-ANYY,AF-KIHX-ANYY4,77,0,77,0.84,13/01/25
A2-T2AC-TW3L,A2-T2AC-TW3L7,240,0,240,4.14,13/01/25
M5-EOFN-2WPJ,M5-EOFN-2WPJ6,85,0,85,1.54,13/01/25
DV-USYD-8WR2,DV-USYD-8WR24,5,0,5,19.36,07/01/25
PH-M7S4-05R5,PH-M7S4-05R54,14,0,14,19.36,07/01/25
SU-5LQH-2DVN,SU-5LQH-2DVN2,166,0,166,2.01,07/01/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z4,500,0,500,2.07,07/01/25
IO-9ZD2-3HDO,IO-9ZD2-3HDO3,36,0,36,5.05,07/01/25
OP-0TPO-SB3I,OP-0TPO-SB3I3,6,0,6,7.64,07/01/25
MU-717K-DELS,MU-717K-DELS3,50,0,50,6.14,07/01/25
4F-HT42-FD26,4F-HT42-FD262,30,0,30,3.07,07/01/25
49-4UKW-G81R,49-4UKW-G81R3,30,0,30,3.17,07/01/25
H0-BYHY-BTUT,H0-BYHY-BTUT1,12,0,12,4.83,07/01/25
3Q-JVVB-BIT7,3Q-JVVB-BIT74,10,0,10,20.64,07/01/25
1Q-OTO8-JG8E,1Q-OTO8-JG8E3,100,0,100,4.32,07/01/25
SZ-UL4K-SE7W,SZ-UL4K-SE7W2,30,0,30,3.17,07/01/25
Z3-ORV9-K8XD,Z3-ORV9-K8XD4,30,6,24,6.56,07/01/25
SC-LYFM-ORXK,SC-LYFM-ORXK5,30,0,30,4.2,07/01/25
WX-L5UA-UB1Q,WX-L5UA-UB1Q2,406,204,202,1.77,18/12/24
PE-G94Y-4PYO,PE-G94Y-4PYO2,21,0,21,2.76,11/12/24
A2-T2AC-TW3L,A2-T2AC-TW3L6,106,0,106,4.14,11/12/24
6V-EEC1-2S9Z,6V-EEC1-2S9Z3,250,0,250,2.07,11/12/24
U1-M5BM-8F5W,U1-M5BM-8F5W3,30,0,30,13.0,12/11/2024
SR-JF1N-II8S,SR-JF1N-II8S2,36,0,36,1.08,11/12/24
M5-EOFN-2WPJ,M5-EOFN-2WPJ5,66,0,66,1.54,11/12/24
5Z-6Z0P-9TQQ,5Z-6Z0P-9TQQ2,13,0,13,0.77,11/12/24
EH-ZRT0-U4YM,EH-ZRT0-U4YM2,30,0,30,3.18,11/12/24
3Q-JVVB-BIT7,3Q-JVVB-BIT73,14,0,14,19.36,11/12/24
6V-0L0T-OF72,6V-0L0T-OF722,19,0,19,10.0,10/12/24
SC-LYFM-ORXK,SC-LYFM-ORXK4,22,0,22,4.2,10/12/24
6V-EEC1-2S9Z,6V-EEC1-2S9Z2,500,269,231,2.07,6/12/24
D3-R4XE-XV0R,D3-R4XE-XV0R2,4,0,4,15.29,03/12/24
TK-E7QE-T40G,TK-E7QE-T40G1,90,24,66,3.96,03/12/24
AF-KIHX-ANYY,AF-KIHX-ANYY3,13,0,13,0.84,03/12/24
EE-KTDC-KCFY,EE-KTDC-KCFY5,100,0,100,3.44,02/12/24
0X-VJWI-4OT8,0X-VJWI-4OT82,18,0,18,4.29,02/12/24
FA-LRV6-YRFW,FA-LRV6-YRFW4,72,0,72,7.68,02/12/24
3T-6QPR-E2MV,3T-6QPR-E2MV2,24,0,24,4.4,02/12/24
TE-PYY9-E5X8,TE-PYY9-E5X84,66,0,66,1.66,02/12/24
2U-EUMC-7E5P,2U-EUMC-7E5P3,36,0,36,4.94,02/12/24
7H-7G2P-ONWJ,7H-7G2P-ONWJ2,16,0,16,0.88,02/12/24
3L-LSBT-PRST,3L-LSBT-PRST2,39,0,39,2.2,02/12/24
PZ-X5VL-NVBR,PZ-X5VL-NVBR2,15,0,15,2.76,02/12/24
SU-5LQH-2DVN,SU-5LQH-2DVN1,100,74,26,2.01,29/11/24
A2-T2AC-TW3L,A2-T2AC-TW3L5,240,0,240,4.14,29/11/24
GW-1ECO-QZA7,GW-1ECO-QZA72,32,0,32,20.05,11/26/2024
MN-LXY0-1MMT,MN-LXY0-1MMT3,18,0,18,7.68,26/11/24
IO-9ZD2-3HDO,IO-9ZD2-3HDO2,18,0,18,5.05,26/11/24
46-MOBK-YBS1,46-MOBK-YBS12,24,0,24,6.84,26/11/24
M5-EOFN-2WPJ,M5-EOFN-2WPJ4,20,0,20,1.54,26/11/24
5Z-6Z0P-9TQQ,5Z-6Z0P-9TQQ1,20,12,8,0.77,26/11/24
C5-V0VF-ZQAV,C5-V0VF-ZQAV1,15,0,15,1.08,26/11/24
MR-727N-ZG8K,MR-727N-ZG8K1,12,0,12,1.9,26/11/24
SR-JF1N-II8S,SR-JF1N-II8S1,10,0,10,1.08,26/11/24
E8-MXNZ-4UKU,E8-MXNZ-4UKU1,30,0,30,1.13,26/11/24
FR-41MF-KWKU,FR-41MF-KWKU2,48,0,48,4.67,26/11/24
6E-GK4T-QBFF,6E-GK4T-QBFF4,12,0,12,5.49,26/11/24
GA-9DTN-9O1E,GA-9DTN-9O1E2,9,0,9,18.18,26/11/24
MU-717K-DELS,MU-717K-DELS2,20,0,20,6.17,26/11/24
2T-07RT-8IMX,2T-07RT-8IMX3,12,0,12,8.32,26/11/24
3Q-JVVB-BIT7,3Q-JVVB-BIT72,8,0,8,19.36,26/11/24
QW-9XV0-Q3EH,QW-9XV0-Q3EH1,20,0,20,5.86,26/11/24
SC-LYFM-ORXK,SC-LYFM-ORXK3,30,0,30,4.2,26/11/24
12-749B-9EB5,12-749B-9EB52,1,0,1,7.59,26/11/24
OZ-3NKR-VLYG,OZ-3NKR-VLYG3,120,0,120,1.64,26/11/24
IB-U5FA-BO2Y,IB-U5FA-BO2Y5,14,0,14,18.73,26/11/24
EE-KTDC-KCFY,EE-KTDC-KCFY4,48,0,48,3.45,26/11/24
T0-4R2M-4BLV,T0-4R2M-4BLV1,12,0,12,4.68,04/11/24
OV-LVEL-DQL6,OV-LVEL-DQL63,24,0,24,6.95,11/19/2024
RB-82FL-T88J,RB-82FL-T88J2,30,15,15,14.5,11/19/2024
WF-JLK1-5PKN,WF-JLK1-5PKN1,5,0,5,3.22,11/11/24
JB-RGB6-LZOJ,JB-RGB6-LZOJ3,88,0,88,2.47,04/11/24
AF-KIHX-ANYY,AF-KIHX-ANYY2,85,45,40,0.84,04/11/24
7R-DKJR-F0UF,7R-DKJR-F0UF2,24,0,24,5.87,04/11/24
US-AK96-YFSB,US-AK96-YFSB2,27,3,24,1.24,04/11/24
08-3ABG-PL11,08-3ABG-PL112,8,0,8,2.98,04/11/24
TK-2H97-E7UH,TK-2H97-E7UH3,18,0,18,2.25,04/11/24
QM-QAGK-D2UQ,QM-QAGK-D2UQ3,6,0,6,2.6,04/11/24
AX-NKNU-29C1,AX-NKNU-29C13,150,0,150,0.61,04/11/24
6H-ZZN4-I77B,6H-ZZN4-I77B3,30,0,30,2.0,04/11/24
7H-7G2P-ONWJ,7H-7G2P-ONWJ1,32,15,17,0.88,04/11/24
3L-LSBT-PRST,3L-LSBT-PRST1,16,0,16,2.2,04/11/24
PZ-X5VL-NVBR,PZ-X5VL-NVBR1,12,0,12,2.76,04/11/24
EV-CHU5-XU3G,EV-CHU5-XU3G3,431,18,413,2.46,04/11/24
2T-07RT-8IMX,2T-07RT-8IMX2,12,0,12,8.32,04/11/24
49-4UKW-G81R,49-4UKW-G81R2,30,0,30,3.07,04/11/24
D7-MGBX-RX2P,D7-MGBX-RX2P2,45,38,7,2.79,04/11/24
Z3-HICR-CPBW,Z3-HICR-CPBW2,24,0,24,7.76,04/11/24
IQ-PR7Z-1RKG,IQ-PR7Z-1RKG1,2,0,2,7.0,15/7/24
6V-0L0T-OF72,6V-0L0T-OF721,10,0,10,10.0,1/11/24
FA-LRV6-YRFW,FA-LRV6-YRFW3,34,0,34,7.68,31/10/24
PH-M7S4-05R5,PH-M7S4-05R53,5,0,5,18.54,29/10/24
MF-TPXM-F8AF,MF-TPXM-F8AF2,8,0,8,18.54,29/10/24
EE-KTDC-KCFY,EE-KTDC-KCFY3,40,0,40,3.34,29/10/24
A2-T2AC-TW3L,A2-T2AC-TW3L4,360,0,360,4.14,29/10/24
MN-LXY0-1MMT,MN-LXY0-1MMT2,24,0,24,7.68,29/10/24
FA-LRV6-YRFW,FA-LRV6-YRFW2,20,0,20,7.68,29/10/24
V5-VWRV-4S7K,V5-VWRV-4S7K4,50,0,50,2.83,29/10/24
TE-PYY9-E5X8,TE-PYY9-E5X83,72,0,72,1.66,29/10/24
2U-EUMC-7E5P,2U-EUMC-7E5P2,50,0,50,3.95,29/10/24
90-0G83-3P0X,90-0G83-3P0X2,12,0,12,7.15,29/10/24
HI-4CXM-9WVU,HI-4CXM-9WVU3,12,0,12,2.97,29/10/24
10-PGVO-YV15,10-PGVO-YV154,15,0,15,2.25,29/10/24
3Z-45IC-N1H4,3Z-45IC-N1H43,180,0,180,2.47,29/10/24
X6-7E52-0VB3,X6-7E52-0VB31,30,0,30,5.26,26/10/24
IB-U5FA-BO2Y,IB-U5FA-BO2Y4,1,0,1,18.54,26/10/24
2U-4KLP-68HB,2U-4KLP-68HB3,1,0,1,5.86,26/10/24
GD-B8SW-1PCP,GD-B8SW-1PCP2,24,9,15,28.75,10/23/2024
ZI-1MA2-8QGC,ZI-1MA2-8QGC2,10,0,10,8.48,23/10/24
MY-KL21-NMV5,MY-KL21-NMV52,20,8,12,18.5,10/21/2024
PE-G94Y-4PYO,PE-G94Y-4PYO1,60,15,45,2.76,15/10/24
V5-VWRV-4S7K,V5-VWRV-4S7K3,30,0,30,2.83,18/10/24
TE-PYY9-E5X8,TE-PYY9-E5X82,60,0,60,1.66,18/10/24
QM-QAGK-D2UQ,QM-QAGK-D2UQ2,6,0,6,2.6,18/10/24
D1-LSS7-93U8,D1-LSS7-93U82,4,0,4,2.01,18/10/24
HL-B4VJ-L8FP,HL-B4VJ-L8FP1,36,0,36,3.36,18/10/24
AX-NKNU-29C1,AX-NKNU-29C12,150,133,17,0.61,18/10/24
HI-4CXM-9WVU,HI-4CXM-9WVU2,10,0,10,2.97,18/10/24
10-PGVO-YV15,10-PGVO-YV153,3,0,3,2.25,18/10/24
A2-T2AC-TW3L,A2-T2AC-TW3L3,300,0,300,4.14,15/10/24
OV-LVEL-DQL6,OV-LVEL-DQL62,18,11,7,6.95,10/15/2024
FR-41MF-KWKU,FR-41MF-KWKU1,20,0,20,4.67,15/10/24
6L-SDA9-P13J,6L-SDA9-P13J2,10,0,10,2.44,15/10/24
Z7-26PV-O9LR,Z7-26PV-O9LR2,180,112,68,4.39,15/10/24
XH-0LAE-FQO5,XH-0LAE-FQO53,100,0,100,3.11,15/10/24
VF-3T0K-DR5O,VF-3T0K-DR5O3,800,0,800,2.09,15/10/24
M5-EOFN-2WPJ,M5-EOFN-2WPJ3,50,0,50,1.54,15/10/24
93-TB6X-UKTU,93-TB6X-UKTU3,130,0,130,1.57,15/10/24
94-X6R7-SCOW,94-X6R7-SCOW2,6,0,6,2.82,15/10/24
NY-AI90-84GR,NY-AI90-84GR2,12,0,12,5.86,15/10/24
3Z-45IC-N1H4,3Z-45IC-N1H42,30,0,30,2.47,15/10/24
3Q-JVVB-BIT7,3Q-JVVB-BIT71,8,0,8,19.36,15/10/24
KR-H2ZK-DRS7,KR-H2ZK-DRS72,25,0,25,11.59,12/10/24
GD-B8SW-1PCP,GD-B8SW-1PCP1,10,0,10,28.75,10/11/2024
TH-JWYZ-LM0D,TH-JWYZ-LM0D1,12,0,12,15.5,10/11/2024
QD-UWUI-6381,QD-UWUI-63811,10,0,10,16.5,10/11/2024
GW-1ECO-QZA7,GW-1ECO-QZA71,20,0,20,20.05,10/11/2024
S8-7VIK-3VEL,S8-7VIK-3VEL1,12,0,12,9.95,10/11/2024
RB-82FL-T88J,RB-82FL-T88J1,15,0,15,14.5,10/11/2024
IB-U5FA-BO2Y,IB-U5FA-BO2Y3,5,0,5,18.54,10/10/24
PH-M7S4-05R5,PH-M7S4-05R52,20,0,20,18.72,10/10/24
MF-TPXM-F8AF,MF-TPXM-F8AF1,8,0,8,18.63,10/10/24
DT-SPI3-IK34,DT-SPI3-IK341,5,1,4,3.74,10/10/24
Y5-REMJ-CY7A,Y5-REMJ-CY7A1,4,0,4,58.87,10/10/24
YG-H850-FPEW,YG-H850-FPEW1,10,0,10,5.01,10/10/24
P5-KMQZ-JK8Y,P5-KMQZ-JK8Y1,10,0,10,10.0,10/10/24
2L-4Y1Q-E6OA,2L-4Y1Q-E6OA1,81,0,81,6.2,10/10/24
08-3ABG-PL11,08-3ABG-PL111,1,0,1,2.98,10/10/24
EA-FZ2V-D7II,EA-FZ2V-D7II2,8,1,7,1.78,10/10/24
8M-LM6B-F2Q5,8M-LM6B-F2Q52,2,0,2,1.57,10/10/24
7R-DKJR-F0UF,7R-DKJR-F0UF1,11,0,11,5.87,10/10/24
JB-RGB6-LZOJ,JB-RGB6-LZOJ2,108,68,40,2.47,10/10/24
UR-W905-8D8D,UR-W905-8D8D1,24,0,24,16.09,10/10/24
