sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
LR-7GM6-1RCH,LR-7GM6-1RCH-190625-row754,52,0,52,23.25,19/06/25
GW-1ECO-QZA7,GW-1ECO-QZA7-190625-row753,50,0,50,20.05,19/06/25
MW-9K5M-VKW8,MW-9K5M-VKW8-190625-row752,70,0,70,13.65,19/06/25
NO-N6RP-Y30Q,NO-N6RP-Y30Q-190625-row750,120,0,120,4.31,19/06/25
49-4UKW-G81R,49-4UKW-G81R-190625-row749,85,0,85,3.04,19/06/25
D7-MGBX-RX2P,D7-MGBX-RX2P-190625-row747,80,0,80,2.73,19/06/25
TE-Y18U-S2O1,TE-Y18U-S2O1-190625-row746,10,0,10,4.16,19/06/25
SC-LYFM-ORXK,SC-LYFM-ORXK-190625-row745,26,0,26,4.2,19/06/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z-100625-row744,500,0,500,2.1,10/06/25
88-PT9Z-DP6C,88-PT9Z-DP6C-020625-row743,50,0,50,0.5,02/06/25
H8-MI8Q-WG5C,H8-MI8Q-WG5C-020625-row742,153,0,153,3.25,02/06/25
SQ-7QYT-5D5B,SQ-7QYT-5D5B-020625-row741,50,0,50,1.5,02/06/25
XY-SHVR-W7PG,XY-SHVR-W7PG-020625-row740,100,0,100,1.5,02/06/25
7H-7G2P-ONWJ,7H-7G2P-ONWJ-020625-row738,24,0,24,0.88,02/06/25
4F-I024-EY2R,4F-I024-EY2R-020625-row737,10,0,10,1.67,02/06/25
8M-NHB7-T8TR,8M-NHB7-T8TR-020625-row736,10,0,10,11.57,02/06/25
ZT-QPY3-P24I,ZT-QPY3-P24I-300525-row735,6,0,6,33.11,30/05/25
IB-U5FA-BO2Y,IB-U5FA-BO2Y-300525-row734,8,0,8,20.07,30/05/25
MW-9K5M-VKW8,MW-9K5M-VKW8-300525-row733,60,0,60,13.65,30/05/25
B1-4B2R-MBRP,B1-4B2R-MBRP-300525-row732,6,0,6,1.82,30/05/25
7C-MBEY-QA37,7C-MBEY-QA37-300525-row731,80,0,80,2.62,30/05/25
94-X6R7-SCOW,94-X6R7-SCOW-300525-row730,6,0,6,2.82,30/05/25
3T-6QPR-E2MV,3T-6QPR-E2MV-300525-row729,24,0,24,4.65,30/05/25
DC-K5WH-R7F5,DC-K5WH-R7F5-300525-row728,440,0,440,0.63,30/05/25
Z7-26PV-O9LR,Z7-26PV-O9LR-300525-row727,150,0,150,4.37,30/05/25
VF-3T0K-DR5O,VF-3T0K-DR5O-300525-row726,750,0,750,2.05,30/05/25
