asin,status,item_name,brand_name,product_type,main_image,upc,ean,gtin,parent_asin,color,size,manufacturer,part_number,model_number,package_weight_value,package_weight_unit,package_length,package_width,package_height,package_dimension_unit,item_length,item_width,item_height,item_dimension_unit,bullet_points,keywords,error
B08MVG9QZW,200,"Cameleo - Permanent Hair Colour Cream - Dark Mahogany - Intensive Color & Protection - 5 Oils + Omega Plus Acids - Professional, Luxurious Hair Dye - Full Kit",,HAIR_COLORING_AGENT,https://m.media-amazon.com/images/I/81ZCXZrZiCL.jpg,,5060061200479,,,5.6 Dark Mahogany,50 g (Pack of 1),Delia Cosmetics,,,0.17,kilograms,5.2,8.4,17.4,centimeters,,,,,,,
B07CN7NRF7,200,Harry Potter - Tattoos (Temporary) - Set of 35 Styles - Official - Cinereplicas,,TEMPORARY_TATTOO,https://m.media-amazon.com/images/I/61BKecxuKLL.jpg,,4895205601659,04895205601659,,"black&white, color",,Cinereplicas,,,0.04,kilograms,0.04,14.8,24.7,centimeters,10.0,10.0,10.0,centimeters,,,
B00S9IXBVU,200,ProDec Combination Shavehook for Removing Paint and Varnish from Flat and Irregular Surfaces,,TOOLS,https://m.media-amazon.com/images/I/61Id210w6CL.jpg,,5019200008834,05019200008834,,Brown,Comination Shavehook,Rodo Ltd,,,0.15,kilograms,6.3,10.8,30.5,centimeters,6.0,5.0,24.0,centimeters,,,
B003VTZAM0,200,"Minky Metallic Reflector Ironing Board Cover, Extra Large",,IRONING_BOARD,https://m.media-amazon.com/images/I/71Ywj9fJFiS.jpg,789322451546,0789322451546,05010353050176,,Multicolor,125 x 45 cm,Minky,,,0.15,kilograms,4.1,19.3,29.3,centimeters,20.5,51.5,0.1,inches,,,
B01N31JDVX,200,Anniversary House Metallic Colourful Pink Glitter Number 7 Cake Candle for Birthday and Anniversary Decorations - Elegant Birthday Candle for Cake - Stylish Silver Number Candle Topper 7 cm,,CANDLE,https://m.media-amazon.com/images/I/61m1cxp3F5L.jpg,,5026281920528,,,Pink,7 centimeters,Anniversary House,,,0.019,kilograms,1.3,7.4,15.3,centimeters,15.5,7.5,1.5,centimeters,,,
B08C34199M,200,Wisdom Clean Between Pro Interdental Brushes Large Purple,,TOOTHBRUSH,https://m.media-amazon.com/images/I/713zswMXQEL.jpg,,5028763013148,,,Purple,30 count (Pack of 1),WISDOM TOOTHBRUSHES LIMITED,,,0.01,kilograms,1.2,7.3,14.6,centimeters,1.2,0.7,1.3,centimeters,,,
B004YJLV6K,200,"Brother TZe-242 - Standard adhesive - red on white - Roll (1.8 cm x 8 m) 1 cassette(s) laminated tape - for Brother PT-D600, P-Touch PT-1880, D450, D800, E550, E800, P900, P950, P-Touch EDGE PT-P750",,LABEL,https://m.media-amazon.com/images/I/51cr6GOpSsL.jpg,,4977766685351,04977766685351,,red,18 mm,BROTHER,,,0.06,kilograms,10.0,7.2,2.0,centimeters,29.15,4.24,9.27,centimeters,,,
B00ICS6JWK,200,"Idontix X-Floss Lite, Blue",,DENTAL_FLOSS,https://m.media-amazon.com/images/I/61E7TRHWsuL.jpg,781163972174,0781163972174,00781163972174,,,1 count (Pack of 30),IDONTIX,,,0.02,kilograms,1.0,11.0,15.3,centimeters,0.6,11.9,15.9,centimeters,,,
B07H2WXMDJ,404,,,,,,,,,,,,,,,,,,,,,,,,,,"{""errors"": [{""code"": ""NOT_FOUND"", ""message"": ""Requested item, B07H2WXMDJ, not found in marketplace(s) A1F83G8C2ARO7P.""}]}"
B0CRRPCT5P,200,Arcane Tinmen ApS ART15062 Dragon Shield: Matte - Dual Soul (Metallic Purple),,CARD_DOCUMENT_SLEEVE,https://m.media-amazon.com/images/I/61qOS4GChpL.jpg,,5706569150624,05706569150624,,Metallic Purple,,Arcane Tinmen ApS,,,0.141,kilograms,4.699,7.112,9.8044,centimeters,5.0,7.0,9.5,centimeters,,,
