asof_utc,sku,order_id,order_date_utc,candidate_price_gbp,vat_rate_market,cogs_total_gbp,fba_total_gbp,commission_total_gbp,digital_fee_total_gbp,fixed_total_gbp,break_even_total_gbp,temp_floor_10roi_gbp,source_script
2026-02-16T11:58:32Z,VF-3T0K-DR5O,205-9765439-0745140,2026-02-14T13:38:38Z,5.35,0.000000,2.46,1.50,0.52,0.05,0.00,4.53,4.78,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,VU-8KRA-QP5M,205-0025833-3273113,2026-02-12T20:15:00Z,12.88,0.200000,6.22,3.18,2.32,0.11,0.00,11.83,12.45,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,WX-L5UA-UB1Q,202-9337824-8445123,2026-02-15T22:06:47Z,5.55,0.200000,2.47,1.82,0.86,0.05,0.00,5.20,5.45,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,YO-EKK2-FRCC,205-0112456-6755516,2026-02-14T12:02:56Z,6.42,0.200000,3.43,2.90,0.61,0.07,0.00,7.01,7.35,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,Z7-26PV-O9LR,204-5619412-2478742,2026-02-13T22:24:28Z,8.79,0.000000,5.04,1.60,0.84,0.06,0.00,7.54,8.04,H110_run_phase1_h_pilot
2026-02-16T12:02:04Z,2G-AYBQ-TUQG,203-2042822-3609910,2026-02-07T22:49:41Z,17.80,0.200000,11.90,3.32,3.20,0.13,0.00,18.55,19.74,H110_run_phase1_h_pilot
2026-02-16T12:02:04Z,4U-9ZL6-9G0Y,204-7060285-7600304,2026-02-08T01:11:13Z,7.00,0.200686,1.81,3.29,1.13,0.08,0.00,6.31,6.49,H110_run_phase1_h_pilot
2026-02-16T12:02:04Z,6V-EEC1-2S9Z,205-2544929-8705952,2026-02-15T19:01:42Z,7.99,0.200000,3.24,1.94,1.25,0.06,0.00,6.49,6.81,H110_run_phase1_h_pilot
2026-02-16T12:02:04Z,714810,203-5888264-1984365,2026-02-15T19:31:23Z,9.99,0.200721,1.93,3.24,1.80,0.07,0.00,7.04,7.23,H110_run_phase1_h_pilot
2026-02-16T12:02:04Z,7M-48OU-23X3,202-0536081-2855504,2026-02-13T14:05:04Z,17.99,0.200133,10.93,3.24,3.24,0.06,0.00,17.47,18.56,H110_run_phase1_h_pilot
