Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
202-6365527-9257108,12.9,0.0,0.0,12.9,202-6365527-9257108,12.9,0.0,0.0,0.0,12.9,0.0
202-6401427-1464328,5.87,0.0,0.0,5.87,202-6401427-1464328,5.87,0.0,0.0,0.0,5.87,0.0
202-6402150-7440325,5.29,0.0,0.0,5.29,202-6402150-7440325,5.29,0.0,0.0,0.0,5.29,0.0
202-6404475-0325964,2.97,0.0,0.0,2.97,202-6404475-0325964,2.97,0.0,0.0,0.0,2.97,0.0
202-6418850-9320310,6.97,0.0,0.0,6.97,202-6418850-9320310,6.97,0.0,0.0,0.0,6.97,0.0
202-6420325-4712300,11.97,0.0,0.0,11.97,202-6420325-4712300,11.97,0.0,0.0,0.0,11.97,0.0
202-6424318-2432325,6.8,0.0,0.0,6.8,202-6424318-2432325,6.8,0.0,0.0,0.0,6.8,0.0
202-6434551-2193947,7.14,0.0,0.0,7.14,202-6434551-2193947,7.14,0.0,0.0,0.0,7.14,0.0
202-6440980-2345945,5.88,0.0,0.0,5.88,202-6440980-2345945,5.88,0.0,0.0,0.0,5.88,0.0
202-6442385-3008319,7.59,0.0,0.0,7.59,202-6442385-3008319,7.59,0.0,0.0,0.0,7.59,0.0
202-6451716-0739503,18.56,0.0,0.0,18.56,202-6451716-0739503,18.56,0.0,0.0,0.0,18.56,0.0
202-6459401-0978741,12.26,0.0,0.0,12.26,202-6459401-0978741,12.26,0.0,0.0,0.0,12.26,0.0
202-6464572-8395522,27.38,-1.39,0.0,25.99,202-6464572-8395522,25.72,1.66,0.0,0.0,27.38,1.39
202-6471909-6415534,6.8,0.0,0.0,6.8,202-6471909-6415534,6.8,0.0,0.0,0.0,6.8,0.0
202-6474092-8271519,6.8,0.0,0.0,6.8,202-6474092-8271519,6.8,0.0,0.0,0.0,6.8,0.0
