Date,Order ID,marketplace_id,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-03T18:13:38Z,026-5499496-1841952,A1F83G8C2ARO7P,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-03T19:01:25Z,202-0147802-7394730,A1F83G8C2ARO7P,714776,1,4.99,0.83,4.16,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.80,0.30,1.50,0.90,0.15,0.75,-0.06,-0.01,-0.05,,
2025-11-03T19:13:34Z,203-9852126-6106755,A1F83G8C2ARO7P,H4-86XG-NLX6,1,10.56,1.76,8.80,0.55,,0.55,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.71,0.62,3.09,1.90,0.32,1.58,-0.11,-0.02,-0.09,,
2025-11-03T19:41:19Z,203-9968599-0957119,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,0.99,,0.99,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-03T20:43:49Z,202-9593457-7551509,A1F83G8C2ARO7P,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-03T21:07:42Z,203-9676727-4847563,A1F83G8C2ARO7P,VU-8KRA-QP5M,1,11.60,1.93,9.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,2.09,0.35,1.74,-0.11,-0.02,-0.09,,
2025-11-03T21:07:55Z,205-1418393-4117959,A1F83G8C2ARO7P,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-03T21:16:00Z,204-2361115-2381121,A1F83G8C2ARO7P,U1-M5BM-8F5W,1,22.66,3.78,18.88,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.46,0.58,2.88,1.91,0.32,1.59,-0.11,-0.02,-0.09,,
2025-11-03T21:22:17Z,203-8461816-0998710,A1F83G8C2ARO7P,79-CPJ6-DSG6,1,39.99,6.67,33.32,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.32,0.55,2.77,7.20,1.20,6.00,-0.22,-0.04,-0.18,,
2025-11-03T21:23:04Z,206-9809525-8153116,A1F83G8C2ARO7P,8M-NHB7-T8TR,1,29.97,5.00,24.97,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.76,0.63,3.13,5.40,0.90,4.50,-0.18,-0.03,-0.15,,
2025-11-03T21:30:21Z,202-6610200-9847535,A1F83G8C2ARO7P,VU-8KRA-QP5M,1,11.60,1.93,9.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,2.09,0.35,1.74,-0.11,-0.02,-0.09,,
2025-11-03T21:31:53Z,026-3439976-5524369,A1F83G8C2ARO7P,6P-IWYA-X18B,1,11.98,2.00,9.98,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-03T21:35:59Z,205-8948318-7437945,A1F83G8C2ARO7P,9X-7TBD-NA16,1,6.94,1.16,5.78,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.00,0.33,1.67,1.25,0.21,1.04,-0.06,-0.01,-0.05,,
2025-11-03T22:08:46Z,204-2671399-0899556,A1F83G8C2ARO7P,F7-PMJ2-SG6A,1,7.90,1.32,6.58,2.50,0.42,2.08,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.00,0.33,1.67,1.43,0.24,1.19,-0.07,-0.01,-0.06,,
2025-11-03T22:38:34Z,206-5589314-9670706,A1F83G8C2ARO7P,GH-PONH-K4WQ,1,9.97,1.66,8.31,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.04,0.34,1.70,1.80,0.30,1.50,-0.07,-0.01,-0.06,,
2025-11-04T08:19:31Z,206-5549203-3629104,A1F83G8C2ARO7P,NN-TSZ1-X2RD,1,9.95,1.66,8.29,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.50,0.25,1.25,0.96,0.16,0.80,-0.05,-0.01,-0.04,,
2025-11-04T09:39:59Z,206-2120452-2689145,A1F83G8C2ARO7P,XH-0LAE-FQO5,1,7.48,1.40,6.08,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.46,0.00,1.46,0.72,0.12,0.60,0.00,0.00,0.00,,
2025-11-04T10:30:06Z,202-1046262-6319507,A1F83G8C2ARO7P,NN-TSZ1-X2RD,4,39.96,6.68,33.28,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,6.00,1.00,5.00,3.84,0.64,3.20,-0.19,-0.03,-0.16,,
2025-11-04T11:08:59Z,205-7880333-9178764,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,0.01,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-04T11:49:49Z,203-5842837-6520309,A1F83G8C2ARO7P,F7-PMJ2-SG6A,1,7.90,1.32,6.58,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.00,0.33,1.67,1.43,0.24,1.19,-0.07,-0.01,-0.06,,
2025-11-04T11:53:52Z,204-8290775-3711527,A1F83G8C2ARO7P,NN-TSZ1-X2RD,1,10.23,1.91,8.32,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.00,0.00,3.00,0.98,0.16,0.82,0.00,0.00,0.00,,
2025-11-04T12:17:03Z,204-5830893-3628350,A1F83G8C2ARO7P,MW-9K5M-VKW8,1,27.00,4.50,22.50,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.49,0.58,2.91,4.86,0.81,4.05,-0.17,-0.03,-0.14,,
2025-11-04T12:35:19Z,204-6747776-8805100,A1F83G8C2ARO7P,79-CPJ6-DSG6,1,39.99,6.67,33.32,3.74,,3.74,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.32,0.55,2.77,7.20,1.20,6.00,-0.22,-0.04,-0.18,,
2025-11-04T12:56:26Z,206-7073072-5845155,A1F83G8C2ARO7P,AF-KIHX-ANYY,1,3.96,0.66,3.30,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.61,0.10,0.51,-0.05,-0.01,-0.04,,
2025-11-04T13:49:30Z,204-3105850-9147560,A1F83G8C2ARO7P,NN-TSZ1-X2RD,1,9.99,1.67,8.32,0.42,,0.42,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.50,0.25,1.25,0.96,0.16,0.80,-0.05,-0.01,-0.04,,
2025-11-04T14:16:03Z,205-7844252-5813100,A1F83G8C2ARO7P,VU-8KRA-QP5M,1,11.60,1.93,9.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,2.09,0.35,1.74,-0.11,-0.02,-0.09,,
2025-11-04T15:42:14Z,204-0634626-1356301,A1F83G8C2ARO7P,U1-M5BM-8F5W,1,22.73,3.79,18.94,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.46,0.58,2.88,1.91,0.32,1.59,-0.11,-0.02,-0.09,,
2025-11-04T15:43:33Z,204-0533387-5701152,A1F83G8C2ARO7P,XH-0LAE-FQO5,1,7.30,1.22,6.08,0.23,,0.23,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.70,0.12,0.58,-0.05,-0.01,-0.04,,
2025-11-04T17:14:21Z,203-2152520-0356327,A1F83G8C2ARO7P,F7-PMJ2-SG6A,2,15.80,2.64,13.16,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,4.01,0.67,3.34,2.86,0.48,2.38,-0.13,-0.02,-0.11,,
