timestamp_utc,asof_date,marketplace,sku,asin,seller_id,seller_seen_flag,offer_price_gbp,offer_shipping_price_gbp,offer_landed_price_gbp,is_prime,fulfilment_channel,min_delivery_days,max_delivery_days,delivery_range_days,source,notes
2026-02-18T11:32:14Z,2026-02-18,UK,4W-VS57-BV6A,B0C9LJNJWZ,A2N6W6R4NFCNBX,1,39.69,0.0,39.69,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,4W-VS57-BV6A,B0C9LJNJWZ,A3KTB05DIFHO8V,1,44.99,0.0,44.99,0,FBM,1,2,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,5Z-6Z0P-9TQQ,B08MW8XMNQ,A1H3B251NW5F99,1,3.62,0.0,3.62,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,5Z-6Z0P-9TQQ,B08MW8XMNQ,A24YLAST4YP6L5,1,3.63,0.0,3.63,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,5Z-6Z0P-9TQQ,B08MW8XMNQ,AB5OM860MS57Z,1,3.64,0.0,3.64,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6Q-9G2A-IKVV,B000PSB13C,A15Y64US7VCJQP,1,9.99,0.0,9.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6Q-9G2A-IKVV,B000PSB13C,A3P5ROKL5A1OLE,1,11.0,0.0,11.0,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6Q-9G2A-IKVV,B000PSB13C,A3P5ROKL5A1OLE,1,11.0,0.0,11.0,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6Q-9G2A-IKVV,B000PSB13C,A3D5NDR72SCUR2,1,13.99,0.0,13.99,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6Q-9G2A-IKVV,B000PSB13C,A1WSSCF5OAUHH,1,15.48,0.0,15.48,0,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6Q-9G2A-IKVV,B000PSB13C,AB5OM860MS57Z,1,16.0,0.0,16.0,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6Q-9G2A-IKVV,B000PSB13C,A30DC7701CXIBH,1,18.08,4.49,22.57,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,AB5OM860MS57Z,1,7.49,0.0,7.49,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,A12MJ1FK852SYB,1,7.98,0.0,7.98,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,A11RGASXV3EWM4,1,8.4,0.0,8.4,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,AM6QF58KGUUM9,1,8.41,0.0,8.41,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,A11RGASXV3EWM4,1,8.99,0.0,8.99,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,A11RGASXV3EWM4,1,8.99,0.0,8.99,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,AM6QF58KGUUM9,1,9.17,0.0,9.17,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,AKQMAXFWUV730,1,9.99,0.0,9.99,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,ATUCW8T149Y55,1,10.99,0.0,10.99,0,FBM,1,2,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,A12MJ1FK852SYB,1,9.99,2.5,12.49,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,714810,B002BX8ZFG,AB5OM860MS57Z,1,9.99,0.0,9.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A3P5ROKL5A1OLE,1,13.0,0.0,13.0,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A3P5ROKL5A1OLE,1,13.0,0.0,13.0,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,AB5OM860MS57Z,1,16.99,0.0,16.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A1JTB2R3QULPAM,1,18.99,0.0,18.99,0,FBM,0,0,0,SPAPI,
