amazon_order_id,asin,seller_sku,order_item_id,title,quantity_ordered,quantity_shipped,item_price_amount,item_price_currency,item_tax_amount,item_tax_currency,shipping_price_amount,shipping_price_currency,shipping_tax_amount,shipping_tax_currency,giftwrap_price_amount,giftwrap_price_currency,giftwrap_tax_amount,giftwrap_tax_currency,promotion_discount_amount,promotion_discount_currency,promotion_discount_tax_amount,promotion_discount_tax_currency,is_gift,is_transparency,condition_id,condition_subtype_id,ProductInfo,BuyerInfo,ItemTax,QuantityShipped,ItemPrice,ASIN,SellerSKU,Title,IsGift,IsTransparency,QuantityOrdered,PromotionDiscountTax,PromotionDiscount,OrderItemId,AmazonOrderId,ShippingTax,ShippingPrice,ShippingDiscount,ShippingDiscountTax,AmazonPrograms,PromotionIds,TaxCollection,IossNumber,DeemedResellerCategory
403-4943585-0076354,B000FGECAI,Z3-ORV9-K8XD,57144643613722,"Learning Resources Kanoodle 3D Brain Teaser Puzzle, Travel Game for Adults and Kids Ages 7 8 9 10+, Gift for Boys and Girls, Featuring over 200 Challenges",1,1,15.19,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
403-9012836-4489111,B000FGECAI,Z3-ORV9-K8XD,57177751747282,"Learning Resources Kanoodle 3D Brain Teaser Puzzle, Travel Game for Adults and Kids Ages 7 8 9 10+, Gift for Boys and Girls, Featuring over 200 Challenges",1,1,15.19,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
404-3647835-2109116,B0CN5KRVXB,TU-8I14-25ZR,57573686041922,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.78,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
404-4880052-9365131,B0CN5KRVXB,TU-8I14-25ZR,58843397289602,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.89,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
404-7695152-6372339,B0073FT7FY,DC-K5WH-R7F5,59172793878762,TEPE INTERDENTAL Travel CASE,1,1,3.49,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2488290-5270742,B0CN5KRVXB,TU-8I14-25ZR,57614730109042,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.78,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-3113592-7240343,B00WI8O0RG,49-4UKW-G81R,57002943459202,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,1,1,10.81,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-3654800-4548357,B0CN5KRVXB,TU-8I14-25ZR,58835787919762,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.89,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-4040477-8964363,B000FGECAI,Z3-ORV9-K8XD,57169225867362,"Learning Resources Kanoodle 3D Brain Teaser Puzzle, Travel Game for Adults and Kids Ages 7 8 9 10+, Gift for Boys and Girls, Featuring over 200 Challenges",1,1,15.19,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-4892856-7471528,B0CN5KRVXB,TU-8I14-25ZR,58220691475202,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.80,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-5995316-6985131,B0CG234KW1,CJ-X0SS-QOUW,58042263786242,Snackles Small Sized 14 cm by ZURU Cuddly Squishy Comfort Plush with License Snack Brand Accessory (Random Assortment),1,1,16.36,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-6297277-6180358,B0CN5KRVXB,TU-8I14-25ZR,56691228717002,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.74,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-7505611-7276337,B0CN5KRVXB,TU-8I14-25ZR,58267988091522,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.80,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
405-9939444-4179553,B08KFFY86W,VF-3T0K-DR5O,57766636318682,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",2,2,12.34,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
406-1832773-0107521,B01CKK8CU2,BQ-O3OI-FTJU,57540278378922,5 Ultra Pro 130pt Magnetic One Touch Card Holders (5 Total) 81721 - Fits Cards Up To 130 Point in Thickness,1,1,28.71,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2544131-4125144,B09445GL1C,L1-54EX-56YC,58299226500442,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions",1,1,18.34,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
406-3052826-7267565,B0CRRPCT5P,0H-5V53-GPG4,57949029285082,Arcane Tinmen ApS Dragon Shield: Matte - Dual Soul (Metallic Purple),1,1,14.83,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
406-7125557-2967562,B0CN5KRVXB,TU-8I14-25ZR,58623003290402,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.90,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
407-3092404-5369142,B07RZBBG14,F7-PMJ2-SG6A,58090437445522,Dragon Shield Sealable: (100) Cream,1,1,9.68,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
407-3257099-5873968,B09445GL1C,L1-54EX-56YC,58429533732602,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions",0,0,,,,,,,,,,,,,,,,,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
407-4526770-4193914,B000FGECAI,Z3-ORV9-K8XD,57447371597842,"Learning Resources Kanoodle 3D Brain Teaser Puzzle, Travel Game for Adults and Kids Ages 7 8 9 10+, Gift for Boys and Girls, Featuring over 200 Challenges",1,1,15.26,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
407-6593457-2265135,B086763VT8,GA-9DTN-9O1E,56994678918682,"Leder Games Root: The Clockwork Expansion, LED01009",1,1,39.52,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
407-9094455-9382755,B0CN5KRVXB,TU-8I14-25ZR,57931608133882,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.85,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-0585826-9477104,B09445GL1C,L1-54EX-56YC,56848148735162,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions",1,1,20.37,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-0871798-9145933,B06XGSJS7N,3T-6QPR-E2MV,56855704998922,"Ultimate Guard UGD010696 Boulder Deck Case, 100 Plus, standard size, malachite",1,1,13.47,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-2364950-5532311,B0CN5KRVXB,TU-8I14-25ZR,57649397882442,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.68,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-3084223-5617952,B0CN5KRVXB,TU-8I14-25ZR,57222367324642,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.69,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-3936165-9749145,B07RZBBG14,F7-PMJ2-SG6A,57447926247002,Dragon Shield Sealable: (100) Cream,5,5,48.30,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-4381040-9024342,B093FQYQJH,NN-TSZ1-X2RD,58913677646682,Curaprox CS 12460 Velvet Toothbrush - Sensitive Teeth & Gum Care | Ultra-Soft Bristles for Gentle Cleaning | Single Pack (Random Color),1,1,9.80,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-4574038-2736338,B0CN5KRVXB,TU-8I14-25ZR,57219792518122,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,0,0,,,,,,,,,,,,,,,,,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-5228456-9609925,B086763VT8,GA-9DTN-9O1E,57219005162042,"Leder Games Root: The Clockwork Expansion, LED01009",1,1,39.91,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-6032581-8743553,B0073FT7FY,DC-K5WH-R7F5,58801938150642,TEPE INTERDENTAL Travel CASE,2,2,6.96,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-6072596-4884330,9188805646,LV-425G-BY4X,57821111792042,"Free League Publishing MÖRK Borg (Fantasy OSR RPG, Hardback, Full Color",1,1,34.12,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-7812233-5689168,B06XXDNH1P,SR-6OBB-WC03,59020646950922,Dragon Shield ART11105 White (60) Matte Japanese Size Sleeves 60pk,1,1,8.70,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
408-8288015-4522727,B07RZBBG14,F7-PMJ2-SG6A,57467875392802,Dragon Shield Sealable: (100) Cream,1,1,9.66,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
