token_id,seller_sku,asin,lot_id,purchase_order_id,order_confirmation_id,invoice_id,shipment_id,cost_per_unit,currency,status,received_date,allocated_order_id,allocated_date,return_order_id,return_date,notes
A2-T2AC-TW3L1-0042,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0043,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0044,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0045,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0046,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0047,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0048,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0049,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0050,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0051,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0052,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0053,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0054,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0055,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0056,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0057,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0058,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0059,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0060,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0061,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0062,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0063,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0064,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0065,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0066,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0067,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0068,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0069,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0070,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0071,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0072,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0073,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0074,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0075,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0076,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0077,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0078,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0079,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0080,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0081,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0082,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0083,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0084,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0085,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0086,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0087,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0088,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0089,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0090,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0091,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0092,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0093,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0094,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0095,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0096,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0097,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0098,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0099,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
