missing_in_order_ledger,extra_in_order_ledger
204-4006941-6260364,203-0949438-9477136
204-4274267-1246750,203-1066138-2044341
204-4286071-0857128,203-1090207-9038701
204-4964855-1861939,203-1160640-3130713
204-5066347-0805933,203-1166324-1301918
204-5088182-1366768,203-1211550-7852353
204-5161984-2581122,203-1491329-5189105
204-5162881-3547565,203-1492401-0244320
204-5411312-9614750,203-1575133-3909153
204-5554950-1169950,203-1675790-5920337
204-5673313-8035529,203-1824253-7746738
204-5769720-0173918,203-1839171-4789959
204-5830893-3628350,203-1859888-9164322
204-5834453-0024358,203-2013652-5728368
204-5871879-2041117,203-2035769-1242713
204-5888357-1216302,203-2193346-4327533
204-5912160-4297907,203-2201489-7950751
204-5998169-2363538,203-2216614-7869140
204-6274259-1125935,203-2380410-7657967
204-6330672-9442759,203-2430596-5774715
204-6431487-3244320,203-2430801-5192318
204-6666176-8400325,203-2462382-6843540
204-6696915-7620359,203-2469124-3232350
204-6747776-8805100,203-2589859-2454759
204-7239592-7502728,203-2624903-5059522
204-7339106-3324307,203-2661820-5365933
204-7564554-5021101,203-2682346-7943537
204-7621370-9535516,203-2997516-3846715
204-7653542-5381132,203-3041068-1727551
204-7801001-3313149,203-3157178-8905923
204-7905951-6265153,203-3198460-6204347
204-8184417-4994718,203-3256599-9393931
204-8290775-3711527,203-3357065-1546762
204-8368579-5249128,203-3401516-8789965
204-8469746-3375526,203-3488192-0776348
204-8621731-3229916,203-3503539-8811545
204-8811768-0865106,203-3635102-2467556
204-9211113-9959538,203-3658941-3801906
204-9250752-7279563,203-3896440-3780316
204-9274779-1953111,203-3962220-4148316
204-9425768-7921901,203-3973984-8662714
204-9606004-6416330,203-4168350-2017121
205-0057138-1895504,203-4322483-0865124
205-0435169-3971507,203-4528237-7006712
205-0539489-8746700,203-4551177-0121104
205-0712605-4983512,203-4633563-2415520
205-0866633-6288341,203-4830745-7401902
205-0878704-2634758,203-4874676-9621937
205-0930141-1812360,203-4905772-2118707
205-1418393-4117959,203-4989005-4907565
205-1886838-4641921,203-4989302-1039506
205-1896945-5289144,203-4998149-7997102
205-1996442-0765905,203-5048982-4125162
205-2151204-8213120,203-5217562-5091555
205-2218707-0655561,203-5267522-9659541
205-2237167-4454751,203-5282890-0005911
205-2299279-4845149,203-5284346-7004320
205-2476601-1409958,203-5403367-3706742
205-3015244-8205124,203-5695949-7122760
205-3402039-9967520,203-5731950-8468368
205-3679094-4515523,203-5739458-9232318
205-3931497-3361960,203-5769970-5491535
205-4012217-7658730,203-5887111-4684348
205-4066356-1685141,203-6004519-7674725
205-4170753-2655546,203-6177992-0093169
205-4175209-2117969,203-6219947-1403528
205-4228514-9019551,203-6304379-2339537
205-4239113-8606767,203-6386486-3829958
205-4298836-9670735,203-6402502-4271559
205-4400693-6218723,203-6478882-5327522
205-4587362-6331506,203-6508215-6541933
205-4780990-5393968,203-6654507-4133968
205-5082853-5597136,203-6660511-8651506
205-5276240-2036307,203-6788442-1396340
205-5376204-7175534,203-6808328-1606768
205-5421625-2314704,203-6999659-1366743
205-5491580-8757116,203-7081893-1805154
205-5548772-0951527,203-7093430-1356330
205-5902218-1373938,203-7129935-3759546
205-6227286-9993913,203-7147002-3525115
205-6429750-1010746,203-7260139-6045169
205-6786758-2337967,203-7410913-8175509
205-6906404-8700303,203-7582334-6785911
205-7168069-0265116,203-7647932-8043503
205-7244367-3352343,203-7661086-1918713
205-7273211-1049124,203-7699061-1536360
205-7386085-3179513,203-7752763-7703554
205-7440189-2886724,203-7802814-6819558
205-7671593-2317132,203-7825667-0234716
205-7762209-5024319,203-7862401-7254751
205-7794622-6161942,203-7877891-1765115
205-7844252-5813100,203-7888719-4636316
205-7880333-9178764,203-7986748-9966707
205-8038912-4906711,203-8007883-0876324
205-8293332-2358704,203-8013345-9800316
205-8503981-1059569,203-8023810-3805906
205-8644780-5133119,203-8078163-4113956
205-8841683-4249938,203-8155860-5518717
205-8939601-4519542,203-8156442-2929961
205-8948318-7437945,203-8275291-5209129
205-8953039-0725919,203-8296398-0009918
205-9034003-1624336,203-8396799-3957159
205-9090276-1223530,203-8415455-4253115
205-9122037-8149924,203-8439423-5553152
205-9191761-1528304,203-8475128-8737936
205-9230258-7231512,203-8547303-1533902
205-9255257-8373114,203-8584594-3970759
205-9336521-3485101,203-8670691-4125114
205-9406211-3877131,203-8690891-1674745
205-9518294-0063504,203-8747977-8408328
205-9747883-7502720,203-8770686-6485920
206-0098765-3010721,203-8882062-2847521
206-0099097-3935538,203-9125680-0211564
206-0516324-9404312,203-9161050-0563520
206-0610594-4555531,203-9239314-8214746
206-0793616-8898720,203-9277652-6003518
206-0895916-0031564,203-9290629-1723569
206-0907186-4651534,203-9313507-8390710
206-0978472-3873132,203-9406843-8530734
206-1095286-0501143,203-9416652-4164314
206-1129646-8979558,203-9449467-7027565
206-1166572-3943562,203-9457048-4436367
206-1212987-6031541,203-9458639-0352311
206-1221338-9073135,203-9512807-0348354
206-1452967-8868347,203-9552233-1913938
206-1823992-4435554,203-9592568-9665965
206-1830586-7325114,203-9593102-8553167
206-1841716-0406764,203-9608524-7860331
206-1941282-7232319,203-9740350-7405139
206-2120452-2689145,203-9755520-4975561
206-2293414-1543504,203-9982785-9206714
206-2431087-3615548,204-0003844-9519522
206-2481188-7905112,204-0051615-5276305
206-2786649-2850742,204-0066925-8203526
206-2928761-8719555,204-0180603-3801963
206-3096715-0987500,204-0230840-4136325
206-3439037-5206727,204-0284812-7070721
206-3479974-9319514,204-0292168-1081148
206-3621885-6816316,204-0320777-9298710
206-3774632-7852305,204-0483136-7186769
206-4019512-0600306,204-0520166-1246768
206-4143528-7248317,204-0588267-2837962
206-4207037-9678747,204-0648517-8725107
206-4441801-7901114,204-0720393-1038748
206-4475760-8244307,204-0781194-2087538
206-4787774-8149107,204-0811365-4506732
206-4982455-5618757,204-1032454-3955534
206-5356510-0661904,204-1082833-6927506
206-5390896-4237962,204-1103574-6232368
206-5549203-3629104,204-1263763-7449963
206-5589314-9670706,204-1422886-7670735
206-5600412-8153909,204-1449172-1043559
206-5815163-8555550,204-1498196-6051528
206-5855426-5544368,204-1514090-4817106
206-6102300-4761116,204-1581988-6261911
206-6131560-9321933,204-1593854-3158717
