seller_sku,lot_id,order_date,ordered,sent_to_fba,used_for_stock,used_for_orders,unused,cost_per_unit
D2-8SPY-Q095,D2-8SPY-Q095-2025-05-22-row713,2025-05-22,12,12,2,10,0,2.42
D2-8SPY-Q095,D2-8SPY-Q095-2025-02-03-row383,2025-02-03,12,12,0,2,10,2.42
D7-MGBX-RX2P,D7-MGBX-RX2P-2025-10-20-row923,2025-10-20,90,90,0,90,0,2.43
D7-MGBX-RX2P,D7-MGBX-RX2P-2025-06-19-row748,2025-06-19,80,80,0,1,79,2.73
D8-1A3E-I37F,D8-1A3E-I37F-2025-05-05-row651,2025-05-05,10,10,8,1,1,5.58
DC-K5WH-R7F5,DC-K5WH-R7F5-2025-11-10-row935,2025-11-10,520,520,162,358,0,0.68
DC-K5WH-R7F5,DC-K5WH-R7F5-2025-09-09-row851,2025-09-09,560,560,0,7,553,0.63
DO-QDI1-K7R9,DO-QDI1-K7R9-2025-04-22-row602,2025-04-22,8,8,0,2,6,20.07
DT-SPI3-IK34,DT-SPI3-IK34-2024-10-10-row180,2024-10-10,5,5,0,1,4,3.74
DV-USYD-8WR2,DV-USYD-8WR2-2025-10-06-row909,2025-10-06,6,2,0,3,3,20.51
EA-FZ2V-D7II,EA-FZ2V-D7II-2025-02-17-row430,2025-02-17,10,10,0,1,9,1.83
EE-KTDC-KCFY,EE-KTDC-KCFY-2025-11-10-row942,2025-11-10,30,30,0,30,0,0.0
EV-CHU5-XU3G,EV-CHU5-XU3G-2025-10-06-row882,2025-10-06,228,228,53,175,0,2.73
F7-PMJ2-SG6A,F7-PMJ2-SG6A-2025-10-06-row886,2025-10-06,180,180,24,149,7,2.7
FB-6FW0-Z82Q,FB-6FW0-Z82Q-2025-04-23-row610,2025-04-23,10,10,8,0,2,1.62
FBA15K3QTGNT_unexpected_item_01,FBA15K3QTGNT_unexpected_item_01-2025-03-22-row546,2025-03-22,63,63,0,2,61,1.66
G8-L8EI-INMK,G8-L8EI-INMK-2025-12-16-row951,2025-12-16,17,17,0,4,13,0.0
GA-9DTN-9O1E,GA-9DTN-9O1E-2025-03-10-row503,2025-03-10,15,15,1,6,8,18.18
GD-B8SW-1PCP,GD-B8SW-1PCP-2025-04-03-row411,2025-04-03,15,15,0,9,6,28.75
GH-PONH-K4WQ,GH-PONH-K4WQ-2025-10-06-row884,2025-10-06,15,15,2,12,1,3.78
GJ-2OZK-0GCA,GJ-2OZK-0GCA-2026-01-05-row958,2026-01-05,14,14,13,1,0,17.5
GK-YI4S-C158,GK-YI4S-C158-2025-08-04-row805,2025-08-04,13,13,4,5,4,2.58
GY-FO04-RDYL,GY-FO04-RDYL-2025-05-14-row684,2025-05-14,10,10,1,0,9,3.6
H4-86XG-NLX6,H4-86XG-NLX6-2025-10-06-row898,2025-10-06,24,24,0,21,3,3.25
H6-E7MP-EBPD,H6-E7MP-EBPD-2025-04-24-row620,2025-04-24,27,27,25,2,0,8.45
HL-03ZR-QPHH,HL-03ZR-QPHH-2025-05-14-row685,2025-05-14,10,10,4,1,5,3.6
HO-LSOY-8R05,HO-LSOY-8R05-2026-01-12-row960,2026-01-12,3,3,3,0,0,17.4
HS-R5IP-7E1C,HS-R5IP-7E1C-2025-02-24-row456,2025-02-24,12,12,2,0,10,0.99
I2-6YKQ-CIBP,I2-6YKQ-CIBP-2025-10-06-row914,2025-10-06,28,28,0,28,0,3.96
I2-6YKQ-CIBP,I2-6YKQ-CIBP-2025-09-09-row863,2025-09-09,10,10,0,4,6,3.57
IB-U5FA-BO2Y,IB-U5FA-BO2Y-2025-11-10-row943,2025-11-10,4,4,1,3,0,20.71
IB-U5FA-BO2Y,IB-U5FA-BO2Y-2025-10-06-row908,2025-10-06,6,6,0,5,1,20.51
IJ-V0PQ-4CZ4,IJ-V0PQ-4CZ4-2025-07-05-row673,2025-07-05,12,12,8,1,3,1.97
IM-AYXV-79NJ,IM-AYXV-79NJ-2025-09-09-row857,2025-09-09,30,30,0,5,25,2.25
JB-RGB6-LZOJ,JB-RGB6-LZOJ-2025-05-01-row643,2025-05-01,150,150,95,10,45,2.47
JH-97NP-GJDG,JH-97NP-GJDG-2025-11-01-row1659,2025-11-01,3,3,0,2,1,0.78
JL-VTP2-JF3Q,JL-VTP2-JF3Q-NaT-row552,NaT,12,12,1,7,4,6.95
JV-D1TI-6UF6,JV-D1TI-6UF6-2025-10-20-row929,2025-10-20,34,34,0,34,0,3.6
JV-D1TI-6UF6,JV-D1TI-6UF6-2025-09-15-row868,2025-09-15,15,15,0,1,14,3.6
K0-71JR-UNLF,K0-71JR-UNLF-2025-05-05-row650,2025-05-05,8,8,0,3,5,2.44
KI-CR51-18J3,KI-CR51-18J3-NaT-row548,NaT,6,6,0,6,0,28.2
L1-54EX-56YC,L1-54EX-56YC-2025-09-15-row875,2025-09-15,24,24,22,2,0,5.35
L1-54EX-56YC,L1-54EX-56YC-2025-08-26-row824,2025-08-26,24,24,0,6,18,5.35
L3-ZQ8U-A7LQ,L3-ZQ8U-A7LQ-2025-10-06-row910,2025-10-06,60,60,55,5,0,3.7
L3-ZQ8U-A7LQ,L3-ZQ8U-A7LQ-2025-05-14-row689,2025-05-14,100,100,0,27,73,3.4
L5-PF3B-WHU4,L5-PF3B-WHU4-2026-01-12-row961,2026-01-12,17,17,13,4,0,17.5
L5-PF3B-WHU4,L5-PF3B-WHU4-2025-11-10-row946,2025-11-10,6,6,0,5,1,17.5
LF-X542-9TDZ,LF-X542-9TDZ-2025-09-09-row849,2025-09-09,10,10,0,5,5,7.74
LR-7GM6-1RCH,LR-7GM6-1RCH-2025-06-19-row755,2025-06-19,52,52,13,4,35,23.25
LV-425G-BY4X,LV-425G-BY4X-2025-09-09-row842,2025-09-09,52,52,0,47,5,16.38
M5-71MK-T0DL,M5-71MK-T0DL-2025-02-05-row396,2025-02-05,100,100,0,1,99,4.32
MF-TPXM-F8AF,MF-TPXM-F8AF-2024-10-29-row235,2024-10-29,8,8,0,1,7,18.54
MW-9K5M-VKW8,MW-9K5M-VKW8-2025-10-06-row899,2025-10-06,90,90,0,90,0,13.65
MW-9K5M-VKW8,MW-9K5M-VKW8-2025-08-04-row803,2025-08-04,145,145,0,10,135,13.65
MY-KL21-NMV5,MY-KL21-NMV5-NaT-row218,NaT,20,20,0,11,9,18.5
N7-A24N-WJA7,N7-A24N-WJA7-2025-10-06-row894,2025-10-06,50,50,0,48,2,3.01
NN-TSZ1-X2RD,NN-TSZ1-X2RD-2025-12-16-row953,2025-12-16,94,94,17,77,0,3.99
NN-TSZ1-X2RD,NN-TSZ1-X2RD-2025-11-10-row936,2025-11-10,64,64,0,64,0,3.79
NN-TSZ1-X2RD,NN-TSZ1-X2RD-2025-10-07-row918,2025-10-07,150,150,0,88,62,3.79
NX-0Q7A-XR6H,NX-0Q7A-XR6H-2025-07-10-row793,2025-07-10,16,16,0,6,10,2.74
OV-LVEL-DQL6,OV-LVEL-DQL6-2025-04-03-row460,2025-04-03,12,12,9,2,1,6.95
PE-G94Y-4PYO,PE-G94Y-4PYO-2025-05-01-row633,2025-05-01,30,30,5,11,14,2.86
PY-XV78-3OG5,PY-XV78-3OG5-2025-10-06-row913,2025-10-06,8,8,0,7,1,20.51
R4-0AXZ-ZZ9D,R4-0AXZ-ZZ9D-2025-10-06-row895,2025-10-06,15,15,5,9,1,4.85
R7-98IN-2PW8,R7-98IN-2PW8-2025-09-09-row858,2025-09-09,291,291,50,40,201,2.5
RB-82FL-T88J,RB-82FL-T88J-2025-03-02-row395,2025-03-02,15,15,0,14,1,14.5
RI-VSUS-0YTD,RI-VSUS-0YTD-2025-09-09-row860,2025-09-09,30,30,16,7,7,1.65
RW-AZK6-O4M2,RW-AZK6-O4M2-2025-08-04-row806,2025-08-04,48,48,31,11,6,0.52
RZ-6ZL9-CZ7J,RZ-6ZL9-CZ7J-2025-05-30-row725,2025-05-30,124,124,50,10,64,2.42
SC-LYFM-ORXK,SC-LYFM-ORXK-2025-06-19-row746,2025-06-19,26,26,0,16,10,4.2
SQ-7QYT-5D5B,SQ-7QYT-5D5B-2025-06-02-row742,2025-06-02,50,50,1,11,38,1.5
SR-6OBB-WC03,SR-6OBB-WC03-2025-08-25-row820,2025-08-25,120,120,12,91,17,2.86
SU-5LQH-2DVN,SU-5LQH-2DVN-2025-11-10-row941,2025-11-10,75,75,20,55,0,2.19
SU-5LQH-2DVN,SU-5LQH-2DVN-2025-05-01-row632,2025-05-01,166,166,0,2,164,2.01
