Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time
06/09/2026,X00208SK8H,B08KFFY86W,VF-3T0K-DR5O,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",WhseTransfers,,2,EMA1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X00208SK8H,B08KFFY86W,VF-3T0K-DR5O,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",Shipments,,-1,BRS2,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X001ZK4BVL,B07QQDMJ6M,EV-CHU5-XU3G,The Army Painter | Hobby: Super Glue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X001XQKWXX,B006PFN3BW,A2-T2AC-TW3L,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X001XQKWXX,B006PFN3BW,A2-T2AC-TW3L,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,Adjustments,20018238298893,1,XLP1,SELLABLE,F,GB,0,1,2026-06-09T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,LCY3,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,LCY3,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,LCY3,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,LCY2,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,LCY2,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-4,LBA5,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,EMA4,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
