Date,Order ID,lvl,country_code,SKU,Quantity Ordered,currency_code,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-10T16:25:03Z,203-5891042-5380350,3,GB,WX-L5UA-UB1Q,1,GBP,4.80,0.80,4.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.75,-0.13,-0.62,-0.06,-0.01,-0.05,,,,1.81,45.25
2025-11-10T19:20:52Z,026-5082233-6116347,3,GB,WX-L5UA-UB1Q,1,GBP,5.49,0.92,4.57,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.86,-0.14,-0.72,-0.06,-0.01,-0.05,,,,2.28,49.89059080962801
2025-11-11T12:09:49Z,203-5922268-8812365,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.94,-0.16,-0.78,-0.06,-0.01,-0.05,,,,2.63,52.81124497991969
2025-11-11T13:11:28Z,405-6297277-6180358,3,IE,TU-8I14-25ZR,1,EUR,29.74,5.56,24.18,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.39,-0.57,-2.82,-5.35,-0.89,-4.46,,,,,,,16.9,69.89247311827957
2025-11-11T18:20:52Z,202-2033545-5220340,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.94,-0.16,-0.78,-0.07,-0.01,-0.06,,,,2.62,52.61044176706828
2025-11-12T00:17:28Z,203-5403367-3706742,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-12T07:24:08Z,202-3523351-6903564,3,GB,R7-98IN-2PW8,1,GBP,5.83,0.97,4.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-0.3,-1.5,-0.56,-0.09,-0.47,-0.04,-0.01,-0.03,,,,2.86,58.8477366255144
2025-11-12T09:53:05Z,203-5530925-8369949,3,GB,MY-KL21-NMV5,1,GBP,39.06,6.51,32.55,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.78,-0.63,-3.15,-7.03,-1.17,-5.86,-0.22,-0.04,-0.18,,,,23.36,71.76651305683565
2025-11-12T09:58:23Z,203-1265858-9034747,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.93,-0.15,-0.78,-0.06,-0.01,-0.05,,,,2.63,52.81124497991969
2025-11-12T10:44:11Z,205-1286660-6672361,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.94,-0.16,-0.78,-0.06,-0.01,-0.05,,,,2.63,52.81124497991969
