order_id,amount_type,is_fee,total_amount,tax_present,currency,derived_ex_vat,derived_vat
026-0076055-3531566,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0076055-3531566,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0076055-3531566,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0076055-3531566,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0076055-3531566,Principal,False,20.87,False,GBP,17.39,3.48
026-0076055-3531566,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0076055-3531566,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0076055-3531566,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0076055-3531566,Tax,False,4.17,False,GBP,3.48,0.69
026-0076055-3531566,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0088708-6301929,Commission,True,-1.03,False,GBP,-0.86,-0.17
026-0088708-6301929,DigitalServicesFee,True,-0.05,False,GBP,-0.04,-0.01
026-0088708-6301929,FBAPerUnitFulfillmentFee,True,-1.97,False,GBP,-1.64,-0.33
026-0088708-6301929,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0088708-6301929,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0088708-6301929,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0088708-6301929,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0088708-6301929,Principal,False,5.5,False,GBP,4.58,0.92
026-0088708-6301929,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0088708-6301929,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0088708-6301929,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0088708-6301929,Tax,False,1.1,False,GBP,0.92,0.18
026-0088708-6301929,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0090907-3049146,Commission,True,-1.24,False,GBP,-1.03,-0.21
026-0090907-3049146,DigitalServicesFee,True,-0.05,False,GBP,-0.04,-0.01
026-0090907-3049146,FBAPerUnitFulfillmentFee,True,-2.01,False,GBP,-1.67,-0.34
026-0090907-3049146,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0090907-3049146,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0090907-3049146,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0090907-3049146,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0090907-3049146,Principal,False,5.78,False,GBP,4.82,0.96
026-0090907-3049146,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0090907-3049146,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0090907-3049146,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0090907-3049146,Tax,False,1.16,False,GBP,0.97,0.19
026-0090907-3049146,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0091939-0537175,Commission,True,-5.39,False,GBP,-4.49,-0.9
026-0091939-0537175,DigitalServicesFee,True,-0.16,False,GBP,-0.13,-0.03
026-0091939-0537175,FBAPerUnitFulfillmentFee,True,-2.59,False,GBP,-2.16,-0.43
026-0091939-0537175,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0091939-0537175,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0091939-0537175,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0091939-0537175,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0091939-0537175,Principal,False,29.93,False,GBP,24.94,4.99
026-0091939-0537175,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0091939-0537175,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0091939-0537175,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0091939-0537175,Tax,False,0.0,False,GBP,0.0,0.0
026-0091939-0537175,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0096013-0946748,Commission,True,-1.03,False,GBP,-0.86,-0.17
026-0096013-0946748,DigitalServicesFee,True,-0.05,False,GBP,-0.04,-0.01
026-0096013-0946748,FBAPerUnitFulfillmentFee,True,-1.97,False,GBP,-1.64,-0.33
026-0096013-0946748,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0096013-0946748,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0096013-0946748,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0096013-0946748,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0096013-0946748,Principal,False,5.54,False,GBP,4.62,0.92
026-0096013-0946748,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0096013-0946748,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0096013-0946748,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0096013-0946748,Tax,False,1.11,False,GBP,0.93,0.18
026-0096013-0946748,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0115822-2815531,Commission,True,-1.71,False,GBP,-1.43,-0.28
026-0115822-2815531,DigitalServicesFee,True,-0.09,False,GBP,-0.07,-0.02
026-0115822-2815531,FBAPerUnitFulfillmentFee,True,-3.02,False,GBP,-2.52,-0.5
026-0115822-2815531,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0115822-2815531,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0115822-2815531,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0115822-2815531,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0115822-2815531,Principal,False,9.17,False,GBP,7.64,1.53
026-0115822-2815531,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0115822-2815531,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0115822-2815531,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0115822-2815531,Tax,False,1.84,False,GBP,1.53,0.31
026-0115822-2815531,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0115868-9345116,Commission,True,-1.05,False,GBP,-0.88,-0.17
026-0115868-9345116,DigitalServicesFee,True,-0.09,False,GBP,-0.07,-0.02
026-0115868-9345116,FBAPerUnitFulfillmentFee,True,-3.6,False,GBP,-3.0,-0.6
026-0115868-9345116,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0115868-9345116,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0115868-9345116,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0115868-9345116,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0115868-9345116,Principal,False,9.08,False,GBP,7.57,1.51
026-0115868-9345116,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0115868-9345116,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0115868-9345116,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0115868-9345116,Tax,False,1.82,False,GBP,1.52,0.3
026-0115868-9345116,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0119586-0998778,Commission,True,-1.25,False,GBP,-1.04,-0.21
026-0119586-0998778,DigitalServicesFee,True,-0.07,False,GBP,-0.06,-0.01
026-0119586-0998778,FBAPerUnitFulfillmentFee,True,-1.95,False,GBP,-1.62,-0.33
026-0119586-0998778,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0119586-0998778,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0119586-0998778,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0119586-0998778,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0119586-0998778,Principal,False,6.66,False,GBP,5.55,1.11
026-0119586-0998778,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0119586-0998778,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0119586-0998778,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0119586-0998778,Tax,False,1.33,False,GBP,1.11,0.22
026-0119586-0998778,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0121291-4221946,Commission,True,-1.52,False,GBP,-1.27,-0.25
026-0121291-4221946,DigitalServicesFee,True,-0.06,False,GBP,-0.05,-0.01
026-0121291-4221946,FBAPerUnitFulfillmentFee,True,-1.75,False,GBP,-1.46,-0.29
026-0121291-4221946,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0121291-4221946,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0121291-4221946,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
