posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,order_id,shipment_id,inbound_shipment_id,fee_reason,fee_description,parsed_fba_shipment_id,date,date_source
,ServiceFee,FBALongTermStorageFee,True,-0.63,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.48,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.26,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.61,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.08,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.81,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.55,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.86,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.16,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.83,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.19,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.64,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.69,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.35,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.45,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.65,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.32,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.3,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.88,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.18,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.38,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.09,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.59,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.28,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.16,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.51,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.99,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.67,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.87,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.17,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.21,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.14,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.47,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.86,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.19,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.7,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.71,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.99,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.22,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.77,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.78,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.9,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.67,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.02,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.58,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.26,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-6.13,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.33,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.13,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.24,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.84,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-2.87,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.24,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.57,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.3,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.91,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-2.49,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.2,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.75,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.49,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.36,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.48,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.67,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.9,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.72,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.71,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-2.42,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.03,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.13,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.97,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.66,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.72,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.66,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.55,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.47,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.67,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.04,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.2,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.65,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.33,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.48,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.53,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.08,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-5.84,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.89,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.25,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.58,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.32,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.87,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.95,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.23,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.29,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.18,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.59,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.67,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.68,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.92,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.38,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.92,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.5,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.78,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.62,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.84,GBP,,,,,,,,,2026-06-10,estimated
