order_id,order_date,seller_sku,quantity,token_id,token_cost,currency,allocation_date,source_level,notes
205-9102203-9287527,2026-01-03T19:30:10Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0034,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-6512103-6200342,2026-01-03T20:10:13Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0035,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-3972011-9858732,2026-01-03T20:50:44Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0036,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-3356048-0784336,2026-01-03T22:56:06Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0037,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-2720890-2023566,2026-01-04T07:36:10Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0038,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-3116325-1451510,2026-01-04T11:43:41Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0039,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-4968167-0415516,2026-01-04T12:12:52Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0040,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-8104747-6816319,2026-01-04T12:32:27Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0041,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-3418147-3437140,2026-01-04T12:51:55Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0042,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-0567112-1309159,2026-01-04T13:21:25Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0043,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-6588497-2657934,2026-01-04T14:00:51Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0044,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-4591701-7825913,2026-01-04T17:11:47Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0045,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-9773952-5089154,2026-01-04T18:04:30Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0046,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-7341558-6385162,2026-01-04T19:20:55Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0047,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-4214754-5772358,2026-01-04T19:33:24Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0048,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
