Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,lvl
2026-01-13T21:26:11Z,203-4566672-3944335,TU-8I14-25ZR,1,27.55,4.59,22.96,2
2026-01-13T21:31:09Z,026-3645331-2365903,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T21:39:23Z,026-4832195-1604358,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T21:46:33Z,204-6794713-9791563,DC-K5WH-R7F5,1,3.00,0.50,2.50,2
2026-01-13T22:19:11Z,206-6375749-3605900,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T22:24:13Z,202-0704749-1637148,TU-8I14-25ZR,1,27.55,4.59,22.96,2
2026-01-13T22:31:06Z,206-6937107-9407531,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T22:46:43Z,205-0513198-1953964,OV-LVEL-DQL6,1,16.08,2.68,13.40,2
2026-01-13T23:19:46Z,203-1168223-3133942,SU-5LQH-2DVN,1,8.49,1.42,7.07,2
2026-01-13T23:47:03Z,205-3588169-7984310,DC-K5WH-R7F5,1,3.00,0.50,2.50,2
