order_id,currency,principal,shipping,giftwrap,tax,shipping_tax,giftwrap_tax,referral_fee,referral_fee_tax,fba_fee,fba_fee_tax,dsf_fee,dsf_fee_tax,fixed_fee,other_fee,posted_date,settlement_id
026-8248693-5973925,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:47:15Z,026-8248693-5973925
026-8662747-0836305,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:05:24Z,026-8662747-0836305
202-1638024-1644346,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:29:29Z,202-1638024-1644346
202-3416191-0121118,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:41:11Z,202-3416191-0121118
202-3418202-1509169,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:41:49Z,202-3418202-1509169
202-4442963-7840345,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:00:35Z,202-4442963-7840345
202-4483936-0709930,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:14:06Z,202-4483936-0709930
202-4932250-6957914,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:26:09Z,202-4932250-6957914
202-6095309-8350747,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:10:54Z,202-6095309-8350747
202-6294201-5065944,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:09:52Z,202-6294201-5065944
202-6535362-6036312,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:43:23Z,202-6535362-6036312
202-6931697-0675560,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:18:10Z,202-6931697-0675560
202-8609256-1345932,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:43:03Z,202-8609256-1345932
202-9188248-1867506,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:41:33Z,202-9188248-1867506
