order_id,asin,sku,posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,tax_present
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_Tax,False,-0.97,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_ShippingTax,False,-0.17,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_ShippingCharge,False,-0.83,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_Principal,False,-4.86,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_Commission,True,0.57,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_RefundCommission,True,-0.11,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
026-3857615-1189920,,R7-98IN-2PW8,2025-11-07T18:07:27Z,Refund,Refund_DigitalServicesFee,True,0.02,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_ShippingTax,False,-0.28,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_ShippingCharge,False,-1.38,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_Commission,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_RefundCommission,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_ShippingChargeback,True,1.66,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T20:22:12Z,Refund,Refund_DigitalServicesFee,True,0.04,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_Tax,False,-2.0,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_Principal,False,-10.0,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_Commission,True,2.16,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_RefundCommission,True,-0.43,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
203-5166987-1078708,,0H-5V53-GPG4,2025-11-08T20:30:15Z,Refund,Refund_DigitalServicesFee,True,0.04,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_Tax,False,-1.13,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_Principal,False,-5.67,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_Commission,True,1.06,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
