posted_date,transaction_id,transaction_type,breakdown_type,breakdown_amount,breakdown_currency,description,inbound_shipment_id
2026-06-09T20:10:04Z,PaNcp7_t8y6tgT53uCYy5KoY8sDuGWi-f2ekaftB9qk,Shipment,Sales,27.0,GBP,Order Payment,
2026-06-09T20:10:04Z,PaNcp7_t8y6tgT53uCYy5KoY8sDuGWi-f2ekaftB9qk,Shipment,Expenses,-8.56,GBP,Order Payment,
2026-06-09T20:15:41Z,qw-uaz8DgZHDWJpCVOODQSbOO23Zdxa-c4Y9Hg9TqFw,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T20:15:41Z,qw-uaz8DgZHDWJpCVOODQSbOO23Zdxa-c4Y9Hg9TqFw,Shipment,Expenses,-3.13,GBP,Order Payment,
2026-06-09T20:16:17Z,SchrUV3pa2WOGniU-X6guKqtt_r7jQswW183Xl8AEL4,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T20:16:17Z,SchrUV3pa2WOGniU-X6guKqtt_r7jQswW183Xl8AEL4,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-09T20:17:08Z,kQsPa2navdZX3tJJEEk81Sg_nowO5lRBLGupZwnlzds,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T20:17:08Z,kQsPa2navdZX3tJJEEk81Sg_nowO5lRBLGupZwnlzds,Shipment,Expenses,-3.13,GBP,Order Payment,
2026-06-09T20:19:18Z,weZlv2toPn7TTXbl_EgQ1NNney2m6fKjSTw-GbijPVo,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T20:19:18Z,weZlv2toPn7TTXbl_EgQ1NNney2m6fKjSTw-GbijPVo,Shipment,Expenses,-3.06,GBP,Order Payment,
2026-06-09T20:42:26Z,4ZJ8ya_neUzM6mFPsVwKqi6FKKVJFU8hAh3E8wYc9yI,Shipment,Sales,25.07,GBP,Order Payment,
2026-06-09T20:42:26Z,4ZJ8ya_neUzM6mFPsVwKqi6FKKVJFU8hAh3E8wYc9yI,Shipment,Expenses,-7.28,GBP,Order Payment,
2026-06-09T20:45:55Z,tpZrQXlD1Ee-iz48htqThbVgBNIwtQEJ2G_YzRtF46A,Shipment,Sales,8.4,GBP,Order Payment,
2026-06-09T20:45:55Z,tpZrQXlD1Ee-iz48htqThbVgBNIwtQEJ2G_YzRtF46A,Shipment,Expenses,-3.34,GBP,Order Payment,
2026-06-09T20:47:36Z,7AJ8oeql2nPZ77L1phyHhIYNMdZ0htP9lXpjpsaxFEo,Shipment,Sales,11.38,GBP,Order Payment,
2026-06-09T20:47:36Z,7AJ8oeql2nPZ77L1phyHhIYNMdZ0htP9lXpjpsaxFEo,Shipment,Expenses,-4.93,GBP,Order Payment,
2026-06-09T21:00:11Z,gtN6YGp6p-MioMSITWvOevj0vXQiOBqmdwbxFkmsSvc,Shipment,Sales,18.36,GBP,Order Payment,
2026-06-09T21:00:11Z,gtN6YGp6p-MioMSITWvOevj0vXQiOBqmdwbxFkmsSvc,Shipment,Expenses,-6.88,GBP,Order Payment,
2026-06-09T21:08:59Z,H0YEcwd8AGTl6q3A_eICGDwieyQnBbf3El4emU54yBQ,Shipment,Sales,12.91,GBP,Order Payment,
2026-06-09T21:08:59Z,H0YEcwd8AGTl6q3A_eICGDwieyQnBbf3El4emU54yBQ,Shipment,Expenses,-6.62,GBP,Order Payment,
2026-06-09T21:34:58Z,asNU4pjcIBmfAgcPLtQ0thf8DMeRcc2o30p0wAGfFVk,Shipment,Sales,12.24,GBP,Order Payment,
2026-06-09T21:34:58Z,asNU4pjcIBmfAgcPLtQ0thf8DMeRcc2o30p0wAGfFVk,Shipment,Expenses,-4.55,GBP,Order Payment,
2026-06-09T21:36:28Z,NwwYuHUAHRGhd4JCWeoe3nbzbov1_jppSVEjm_sKWnY,Shipment,Sales,6.98,GBP,Order Payment,
2026-06-09T21:36:28Z,NwwYuHUAHRGhd4JCWeoe3nbzbov1_jppSVEjm_sKWnY,Shipment,Expenses,-3.13,GBP,Order Payment,
2026-06-09T21:41:05Z,0aCw9z2BHYENj1BdOrkAi9JsPPaYkjYkn9sYLk2WSuU,Shipment,Sales,16.92,GBP,Order Payment,
2026-06-09T21:41:05Z,0aCw9z2BHYENj1BdOrkAi9JsPPaYkjYkn9sYLk2WSuU,Shipment,Expenses,-6.46,GBP,Order Payment,
2026-06-09T21:59:15Z,ZF8BFp-LxPmSDHZLV1408BzBTxqnCLcdeErVis7EB2E,Shipment,Sales,7.6,GBP,Order Payment,
2026-06-09T21:59:15Z,ZF8BFp-LxPmSDHZLV1408BzBTxqnCLcdeErVis7EB2E,Shipment,Expenses,-3.73,GBP,Order Payment,
2026-06-09T22:03:37Z,hhs3qGsxfGHrZyQhsJFeTUu8R85Q3cjVf8rT7lADifw,Shipment,Sales,5.03,GBP,Order Payment,
2026-06-09T22:03:37Z,hhs3qGsxfGHrZyQhsJFeTUu8R85Q3cjVf8rT7lADifw,Shipment,Expenses,-2.35,GBP,Order Payment,
2026-06-09T22:29:27Z,EblrqOOXJe34bgiVbsRgtrK40UcTztCI5pAT9dOl84U,Shipment,Sales,5.03,GBP,Order Payment,
2026-06-09T22:29:27Z,EblrqOOXJe34bgiVbsRgtrK40UcTztCI5pAT9dOl84U,Shipment,Expenses,-2.36,GBP,Order Payment,
2026-06-09T22:30:12Z,-ieYWx25XQmuTgkGbJacrlmfjIAL6_0aJVQS-HnGAzo,Shipment,Sales,6.95,GBP,Order Payment,
2026-06-09T22:30:12Z,-ieYWx25XQmuTgkGbJacrlmfjIAL6_0aJVQS-HnGAzo,Shipment,Expenses,-3.08,GBP,Order Payment,
2026-06-09T22:30:56Z,v54CKm49vuZeuw92xc3fEp5IH5XO4pW8TcVBEEVU6i4,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T22:30:56Z,v54CKm49vuZeuw92xc3fEp5IH5XO4pW8TcVBEEVU6i4,Shipment,Expenses,-3.14,GBP,Order Payment,
2026-06-09T22:38:15Z,Y0R4i9Z1zH8qyp-EsApjMFCQxJwE6BnugWkzH0GDtFs,Shipment,Sales,8.44,GBP,Order Payment,
2026-06-09T22:38:15Z,Y0R4i9Z1zH8qyp-EsApjMFCQxJwE6BnugWkzH0GDtFs,Shipment,Expenses,-3.41,GBP,Order Payment,
2026-06-09T22:46:54Z,mtRWn5KmThLeflh_qVxlJpkB3v0viEeTVm23343k8xs,Shipment,Sales,5.86,GBP,Order Payment,
2026-06-09T22:46:54Z,mtRWn5KmThLeflh_qVxlJpkB3v0viEeTVm23343k8xs,Shipment,Expenses,-3.18,GBP,Order Payment,
2026-06-09T22:55:17Z,xflsSx1bIqgUVamRDP_iPZN-vCcF9S6pem-XcMzOhBo,Shipment,Sales,6.98,GBP,Order Payment,
2026-06-09T22:55:17Z,xflsSx1bIqgUVamRDP_iPZN-vCcF9S6pem-XcMzOhBo,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-09T23:24:48Z,vis_YjJ3q3MmEbipf7ATQvJP50Pw2sGOkuSi_tiQ5Hs,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T23:24:48Z,vis_YjJ3q3MmEbipf7ATQvJP50Pw2sGOkuSi_tiQ5Hs,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-09T23:27:14Z,OY95DQjx1s9b_OJkamBP5q_5YIYnH0B9i1_2r57tOe8,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T23:27:14Z,OY95DQjx1s9b_OJkamBP5q_5YIYnH0B9i1_2r57tOe8,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-09T23:27:17Z,SPHAgWvhKaQUUg-sa8U57ZXU1dFnuJemb5tYVtr3VgA,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-09T23:27:17Z,SPHAgWvhKaQUUg-sa8U57ZXU1dFnuJemb5tYVtr3VgA,Shipment,Expenses,-3.14,GBP,Order Payment,
2026-06-09T23:35:01Z,sYWnk-eU0v242350rboRNlr8UAeagK7gV8sPrmYmodc,Shipment,Sales,6.98,GBP,Order Payment,
2026-06-09T23:35:01Z,sYWnk-eU0v242350rboRNlr8UAeagK7gV8sPrmYmodc,Shipment,Expenses,-3.12,GBP,Order Payment,
2026-06-09T23:43:45Z,UyIdbw8sUuC3QchwnZB7PRPO3YmpcAsXCx77VPVbE4k,Shipment,Sales,11.25,GBP,Order Payment,
2026-06-09T23:43:45Z,UyIdbw8sUuC3QchwnZB7PRPO3YmpcAsXCx77VPVbE4k,Shipment,Expenses,-4.92,GBP,Order Payment,
2026-06-09T23:49:06Z,tN8Ee1hpFXSCqHenVqmIJ39SI9px6_ZpL646dfcSHT8,Shipment,Sales,11.25,GBP,Order Payment,
2026-06-09T23:49:06Z,tN8Ee1hpFXSCqHenVqmIJ39SI9px6_ZpL646dfcSHT8,Shipment,Expenses,-4.91,GBP,Order Payment,
2026-06-10T00:23:27Z,YVHGOFhavmnUUCTad-gqGz_a0XzQ6S2ddCyBfArR-aE,Shipment,Sales,9.0,GBP,Order Payment,
2026-06-10T00:23:27Z,YVHGOFhavmnUUCTad-gqGz_a0XzQ6S2ddCyBfArR-aE,Shipment,Expenses,-2.68,GBP,Order Payment,
2026-06-10T00:46:25Z,miwdcmJ0Tjcmw7m6gGVeBhHtaKIF1QB9BxwJ7rT1nNw,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-10T00:46:25Z,miwdcmJ0Tjcmw7m6gGVeBhHtaKIF1QB9BxwJ7rT1nNw,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-10T00:46:40Z,vHh7a4s-LGa4phk27k3Y6J7gjjJRsjzAcoSSJ3V4yN8,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-10T00:46:40Z,vHh7a4s-LGa4phk27k3Y6J7gjjJRsjzAcoSSJ3V4yN8,Shipment,Expenses,-3.12,GBP,Order Payment,
2026-06-10T01:23:21Z,h_RggMxqy1RVWVRwUXUJeyUJ_7A6vnlwo8D9gw_Jeog,Shipment,Sales,27.0,GBP,Order Payment,
2026-06-10T01:23:21Z,h_RggMxqy1RVWVRwUXUJeyUJ_7A6vnlwo8D9gw_Jeog,Shipment,Expenses,-8.57,GBP,Order Payment,
2026-06-10T01:25:32Z,xSr0lFPvC1JrpFYH1BmH8XN5MnqBZC5JxLiQd_yNn4s,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-10T01:25:32Z,xSr0lFPvC1JrpFYH1BmH8XN5MnqBZC5JxLiQd_yNn4s,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-10T02:25:04Z,Srl_Zw6CL-X9ZrnqiAmnBcgh-0r_-suDin_SWoE2-7U,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-10T02:25:04Z,Srl_Zw6CL-X9ZrnqiAmnBcgh-0r_-suDin_SWoE2-7U,Shipment,Expenses,-3.14,GBP,Order Payment,
2026-06-10T02:25:45Z,YM0afuRSbyb1yzAievyHS44FRsBBMrCsDIVPF6DOTAk,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-10T02:25:45Z,YM0afuRSbyb1yzAievyHS44FRsBBMrCsDIVPF6DOTAk,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-10T02:26:14Z,rX5p70jkZyNMb-qgIkq755jYWyzuZaLLaZWeeX9Ki88,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-10T02:26:14Z,rX5p70jkZyNMb-qgIkq755jYWyzuZaLLaZWeeX9Ki88,Shipment,Expenses,-3.11,GBP,Order Payment,
2026-06-10T03:27:36Z,g8RZ5aAxxTXYEiXTbEKghBCT4avfnXJA2zYtvTzG7TQ,Shipment,Sales,6.97,GBP,Order Payment,
2026-06-10T03:27:36Z,g8RZ5aAxxTXYEiXTbEKghBCT4avfnXJA2zYtvTzG7TQ,Shipment,Expenses,-3.13,GBP,Order Payment,
2026-06-10T04:29:50Z,JPkBWk-FlpbixWRmqB11VX7x8ocD8jZ1_488Bk8Y0Rs,Shipment,Sales,6.07,GBP,Order Payment,
2026-06-10T04:29:50Z,JPkBWk-FlpbixWRmqB11VX7x8ocD8jZ1_488Bk8Y0Rs,Shipment,Expenses,-2.46,GBP,Order Payment,
2026-06-10T04:32:40Z,qm2T5NzyIIRnalDZBlknxTxYaB-nSCeMzcJTsiiukWI,Shipment,Sales,27.0,GBP,Order Payment,
2026-06-10T04:32:40Z,qm2T5NzyIIRnalDZBlknxTxYaB-nSCeMzcJTsiiukWI,Shipment,Expenses,-8.4,GBP,Order Payment,
