order_id,posted_date,settlement_id,amount_type,amount,currency,transaction_type,amount_description,is_estimate,data_level,price_source,raw_json
202-7588157-0544311,2025-12-09T16:56:18Z,,Tax,1.83,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.391652+00:00"",""order_id"":""202-7588157-0544311"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
206-6107997-9143567,2025-12-10T07:28:43Z,,Principal,10.99,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.391652+00:00"",""order_id"":""206-6107997-9143567"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
206-6107997-9143567,2025-12-10T07:28:43Z,,Tax,1.83,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.391652+00:00"",""order_id"":""206-6107997-9143567"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
204-4028595-5913955,2025-12-10T12:13:12Z,,Principal,18.96,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.392652+00:00"",""order_id"":""204-4028595-5913955"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
204-4028595-5913955,2025-12-10T12:13:12Z,,Tax,3.15,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.392652+00:00"",""order_id"":""204-4028595-5913955"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
204-4687378-6524300,2025-12-09T20:25:12Z,,Principal,49.97,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.392652+00:00"",""order_id"":""204-4687378-6524300"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
204-4687378-6524300,2025-12-09T20:25:12Z,,Tax,8.33,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.392652+00:00"",""order_id"":""204-4687378-6524300"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
206-4680734-9603510,2025-12-09T17:47:11Z,,Principal,2.97,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.393652+00:00"",""order_id"":""206-4680734-9603510"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
206-4680734-9603510,2025-12-09T17:47:11Z,,Tax,0.5,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.393652+00:00"",""order_id"":""206-4680734-9603510"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
204-4019805-5888338,2025-12-09T15:47:18Z,,Principal,12.4,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.393652+00:00"",""order_id"":""204-4019805-5888338"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
204-4019805-5888338,2025-12-09T15:47:18Z,,Tax,2.06,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.393652+00:00"",""order_id"":""204-4019805-5888338"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
