inbound_shipment_id,sku,expected_qty,received_qty,in_flight_qty,status,updated_at_utc,mature_on_utc,is_mature
FBA15L9X1VDD,6V-EEC1-2S9Z,250,250,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LB9GJMB,A2-T2AC-TW3L,120,120,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,3B-3H3V-Z93T,30,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,3X-EXDD-TD2K,2,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,8R-E0Y9-0LAU,10,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,DV-USYD-8WR2,1,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,GA-9DTN-9O1E,1,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,GJ-2OZK-0GCA,14,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,H4-86XG-NLX6,1,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,HO-LSOY-8R05,3,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,L5-PF3B-WHU4,15,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,LV-425G-BY4X,1,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LBGBK4F,ZT-QPY3-P24I,1,79,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCBT9DP,A2-T2AC-TW3L,120,120,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,8U-QPFH-3EKQ,10,239,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,C6-XGZB-J6QA,30,239,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,LP-QMNJ-J49G,10,239,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,NN-TSZ1-X2RD,49,239,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,W3-8FN7-FSP0,10,239,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,XE-YPAI-HX9F,80,239,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LCY2JPY,Z7-26PV-O9LR,50,239,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LDWGRYF,6V-EEC1-2S9Z,250,250,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LFTMRVQ,A2-T2AC-TW3L,120,120,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LGD4F8K,6V-EEC1-2S9Z,250,250,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LGYBY8L,6V-EEC1-2S9Z,249,249,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LHNXF3Y,A2-T2AC-TW3L,120,120,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LHPNNDZ,FA-LRV6-YRFW,37,81,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LHPNNDZ,Q1-00D7-5IQF,30,81,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LHPNNDZ,WJ-YHKC-EES5,14,81,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LJ4VL95,LV-425G-BY4X,60,155,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LJ4VL95,SZ-UL4K-SE7W,95,155,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15LJ69Y1W,EV-CHU5-XU3G,150,150,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
