timestamp,orphan_count,window_start,window_end,action,earliest_orphan
2026-02-11T03:52:32Z,635,2026-01-28T03:43:59Z,2026-02-11T03:43:59Z,orphans_remain_after_lookback,
2026-02-11T05:11:18Z,635,2026-01-28T03:43:59Z,2026-02-11T03:43:59Z,b004_failed_after_recovery_rc_1,
2026-02-11T06:13:41Z,635,2026-01-28T03:43:59Z,2026-02-11T03:43:59Z,b004_failed_after_recovery_rc_1,
2026-02-11T09:58:13Z,635,2026-01-28T09:35:17Z,2026-02-11T09:35:17Z,b004_failed_after_recovery_rc_1,
2026-02-11T10:59:21Z,635,2026-01-28T10:12:51Z,2026-02-11T10:12:51Z,b004_failed_after_recovery_rc_1,
2026-02-11T12:02:27Z,635,2026-01-28T11:29:09Z,2026-02-11T11:29:09Z,b004_failed_after_recovery_rc_1,
2026-02-11T13:04:35Z,635,2026-01-28T12:42:00Z,2026-02-11T12:42:00Z,b004_failed_after_recovery_rc_1,
2026-02-11T14:07:06Z,635,2026-01-28T13:34:22Z,2026-02-11T13:34:22Z,b004_failed_after_recovery_rc_1,
2026-02-11T15:08:21Z,635,2026-01-28T14:16:25Z,2026-02-11T14:16:25Z,b004_failed_after_recovery_rc_1,
2026-02-11T16:10:54Z,635,2026-01-28T15:18:37Z,2026-02-11T15:18:37Z,b004_failed_after_recovery_rc_1,
2026-02-11T17:37:49Z,635,2026-01-28T17:06:45Z,2026-02-11T17:06:45Z,b004_failed_after_recovery_rc_1,
2026-02-11T18:38:43Z,635,2026-01-28T18:06:44Z,2026-02-11T18:06:44Z,b004_failed_after_recovery_rc_1,
2026-02-11T19:43:17Z,635,2026-01-28T18:06:44Z,2026-02-11T18:06:44Z,b004_failed_after_recovery_rc_1,
2026-02-11T20:44:14Z,635,2026-01-28T20:18:03Z,2026-02-11T20:18:03Z,b004_failed_after_recovery_rc_1,
2026-02-11T21:44:04Z,635,2026-01-28T20:47:38Z,2026-02-11T20:47:38Z,b004_failed_after_recovery_rc_1,
2026-02-11T22:44:48Z,635,2026-01-28T21:43:07Z,2026-02-11T21:43:07Z,b004_failed_after_recovery_rc_1,
2026-02-11T23:48:02Z,635,2026-01-28T23:16:08Z,2026-02-11T23:16:08Z,b004_failed_after_recovery_rc_1,
2026-02-12T00:51:08Z,635,2026-01-28T23:45:41Z,2026-02-11T23:45:41Z,b004_failed_after_recovery_rc_1,
2026-02-12T01:54:11Z,635,2026-01-29T01:21:28Z,2026-02-12T01:21:28Z,b004_failed_after_recovery_rc_1,
2026-02-12T02:57:10Z,635,2026-01-29T01:21:28Z,2026-02-12T01:21:28Z,b004_failed_after_recovery_rc_1,
2026-02-12T03:59:47Z,635,2026-01-29T01:21:28Z,2026-02-12T01:21:28Z,b004_failed_after_recovery_rc_1,
2026-02-12T05:03:38Z,635,2026-01-29T01:21:28Z,2026-02-12T01:21:28Z,b004_failed_after_recovery_rc_1,
2026-02-12T06:06:53Z,635,2026-01-29T01:21:28Z,2026-02-12T01:21:28Z,b004_failed_after_recovery_rc_1,
2026-02-12T08:54:20Z,635,2026-01-29T01:21:28Z,2026-02-12T01:21:28Z,orphans_remain_after_lookback,
2026-02-12T10:15:26Z,635,2026-01-29T09:47:07Z,2026-02-12T09:47:07Z,b004_failed_after_recovery_rc_1,
2026-02-12T11:18:29Z,635,2026-01-29T09:47:07Z,2026-02-12T09:47:07Z,b004_failed_after_recovery_rc_1,
2026-02-12T12:20:19Z,635,2026-01-29T11:53:59Z,2026-02-12T11:53:59Z,b004_failed_after_recovery_rc_1,
2026-02-12T13:23:02Z,635,2026-01-29T12:44:33Z,2026-02-12T12:44:33Z,b004_failed_after_recovery_rc_1,
2026-02-12T14:26:51Z,635,2026-01-29T12:44:33Z,2026-02-12T12:44:33Z,b004_failed_after_recovery_rc_1,
2026-02-12T15:11:58Z,635,2026-01-29T14:57:37Z,2026-02-12T14:57:37Z,orphans_remain_after_lookback,
2026-02-12T16:32:08Z,635,2026-01-29T15:08:10Z,2026-02-12T15:08:10Z,b004_failed_after_recovery_rc_1,
2026-02-12T17:34:40Z,635,2026-01-29T15:08:10Z,2026-02-12T15:08:10Z,b004_failed_after_recovery_rc_1,
2026-02-12T18:38:44Z,635,2026-01-29T17:38:11Z,2026-02-12T17:38:11Z,b004_failed_after_recovery_rc_1,
2026-02-12T19:41:59Z,635,2026-01-29T19:16:50Z,2026-02-12T19:16:50Z,b004_failed_after_recovery_rc_1,
2026-02-12T20:44:22Z,635,2026-01-29T20:15:00Z,2026-02-12T20:15:00Z,b004_failed_after_recovery_rc_1,
2026-02-12T21:45:43Z,635,2026-01-29T20:15:00Z,2026-02-12T20:15:00Z,b004_failed_after_recovery_rc_1,
2026-02-12T22:47:05Z,635,2026-01-29T20:15:00Z,2026-02-12T20:15:00Z,b004_failed_after_recovery_rc_1,
2026-02-12T23:50:51Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b004_failed_after_recovery_rc_1,
2026-02-13T00:51:00Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b004_failed_after_recovery_rc_1,
2026-02-13T01:51:14Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b001_failed_marketplace_AMEN7PMS3EDWL,
2026-02-13T01:53:04Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b004_failed_after_recovery_rc_1,
2026-02-13T02:54:51Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b004_failed_after_recovery_rc_1,
2026-02-13T03:57:08Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b004_failed_after_recovery_rc_1,
2026-02-13T04:59:22Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b004_failed_after_recovery_rc_1,
2026-02-13T06:01:02Z,635,2026-01-29T23:02:40Z,2026-02-12T23:02:40Z,b004_failed_after_recovery_rc_1,
2026-02-13T09:16:46Z,635,2026-01-30T07:46:36Z,2026-02-13T07:46:36Z,b004_failed_after_recovery_rc_1,
2026-02-13T10:20:06Z,635,2026-01-30T07:46:36Z,2026-02-13T07:46:36Z,b004_failed_after_recovery_rc_1,
2026-02-13T11:21:22Z,635,2026-01-30T10:29:05Z,2026-02-13T10:29:05Z,b004_failed_after_recovery_rc_1,
2026-02-13T12:22:43Z,635,2026-01-30T11:59:52Z,2026-02-13T11:59:52Z,b004_failed_after_recovery_rc_1,
2026-02-13T13:26:33Z,635,2026-01-30T12:48:20Z,2026-02-13T12:48:20Z,b004_failed_after_recovery_rc_1,
2026-02-13T14:28:53Z,635,2026-01-30T14:05:04Z,2026-02-13T14:05:04Z,b004_failed_after_recovery_rc_1,
2026-02-13T15:42:24Z,635,2026-01-30T15:17:17Z,2026-02-13T15:17:17Z,b004_failed_after_recovery_rc_1,
2026-02-14T09:38:32Z,635,2026-01-31T09:22:37Z,2026-02-14T09:22:37Z,orphans_remain_after_lookback,
2026-02-14T10:57:52Z,635,2026-01-31T10:10:52Z,2026-02-14T10:10:52Z,b004_failed_after_recovery_rc_1,
2026-02-14T11:59:12Z,635,2026-01-31T11:22:56Z,2026-02-14T11:22:56Z,b004_failed_after_recovery_rc_1,
2026-02-14T13:13:30Z,635,2026-01-31T12:02:56Z,2026-02-14T12:02:56Z,b004_failed_after_recovery_rc_1,
2026-02-14T14:03:23Z,635,2026-01-31T13:38:38Z,2026-02-14T13:38:38Z,b004_failed_after_recovery_rc_1,
2026-02-14T15:05:37Z,635,2026-01-31T14:45:12Z,2026-02-14T14:45:12Z,b004_failed_after_recovery_rc_1,
2026-02-14T16:08:42Z,635,2026-01-31T15:57:38Z,2026-02-14T15:57:38Z,b004_failed_after_recovery_rc_1,
2026-02-14T17:10:16Z,635,2026-01-31T16:35:42Z,2026-02-14T16:35:42Z,b004_failed_after_recovery_rc_1,
2026-02-14T18:11:24Z,635,2026-01-31T17:38:20Z,2026-02-14T17:38:20Z,b004_failed_after_recovery_rc_1,
2026-02-14T19:11:34Z,635,2026-01-31T18:42:33Z,2026-02-14T18:42:33Z,b004_failed_after_recovery_rc_1,
2026-02-14T20:14:54Z,635,2026-01-31T19:50:29Z,2026-02-14T19:50:29Z,b004_failed_after_recovery_rc_1,
2026-02-14T21:18:03Z,635,2026-01-31T21:05:51Z,2026-02-14T21:05:51Z,b004_failed_after_recovery_rc_1,
2026-02-14T22:28:33Z,635,2026-01-31T21:05:51Z,2026-02-14T21:05:51Z,b004_failed_after_recovery_rc_1,
2026-02-14T23:33:26Z,635,2026-01-31T21:05:51Z,2026-02-14T21:05:51Z,b004_failed_after_recovery_rc_1,
2026-02-15T00:35:30Z,635,2026-02-01T00:08:54Z,2026-02-15T00:08:54Z,b004_failed_after_recovery_rc_1,
2026-02-15T01:40:58Z,635,2026-02-01T00:08:54Z,2026-02-15T00:08:54Z,b004_failed_after_recovery_rc_1,
2026-02-15T02:42:43Z,635,2026-02-01T00:08:54Z,2026-02-15T00:08:54Z,b004_failed_after_recovery_rc_1,
2026-02-15T03:44:57Z,635,2026-02-01T00:08:54Z,2026-02-15T00:08:54Z,b004_failed_after_recovery_rc_1,
2026-02-15T04:46:55Z,635,2026-02-01T00:08:54Z,2026-02-15T00:08:54Z,b004_failed_after_recovery_rc_1,
2026-02-15T05:49:41Z,635,2026-02-01T00:08:54Z,2026-02-15T00:08:54Z,b004_failed_after_recovery_rc_1,
2026-02-16T09:32:06Z,635,2026-02-02T09:08:09Z,2026-02-16T09:08:09Z,b004_failed_after_recovery_rc_1,
2026-02-16T10:34:58Z,635,2026-02-02T09:54:19Z,2026-02-16T09:54:19Z,b004_failed_after_recovery_rc_1,
2026-02-16T11:37:09Z,635,2026-02-02T11:22:01Z,2026-02-16T11:22:01Z,b004_failed_after_recovery_rc_1,
2026-02-16T12:39:57Z,635,2026-02-02T12:25:03Z,2026-02-16T12:25:03Z,b004_failed_after_recovery_rc_1,
2026-02-16T13:42:53Z,635,2026-02-02T12:50:17Z,2026-02-16T12:50:17Z,b004_failed_after_recovery_rc_1,
2026-02-16T14:46:10Z,635,2026-02-02T12:50:17Z,2026-02-16T12:50:17Z,b004_failed_after_recovery_rc_1,
2026-02-16T15:49:10Z,635,2026-02-02T14:41:49Z,2026-02-16T14:41:49Z,b004_failed_after_recovery_rc_1,
2026-02-16T16:47:55Z,635,2026-02-02T16:31:28Z,2026-02-16T16:31:28Z,orphans_remain_after_lookback,
