Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,Refund_Sales_Total,Refund_Expenses_Total,Refund_Commission,Inbound_Transportation_Fee,Removal_Fee,Warehouse_Lost_Reimbursement,Reversal_Reimbursement,Retrocharge_Total,Inventory_Reimbursement,Compensated_Clawback,Shipping_Chargeback,Storage_Charges,Notes
2026-01-01T18:09:00Z,205-0291358-9417951,49-4UKW-G81R,2,16.44,2.74,13.70,,,,,,,,,,,,,-4.12,-0.68,-3.44,-2.96,-0.50,-2.46,-0.14,-0.02,-0.12,,,,,,,,,,,,,GBP order
2026-01-01T18:26:00Z,205-9979731-9513929,EV-CHU5-XU3G,1,6.73,1.12,5.61,,,,,,,,,,,,,-1.92,-0.32,-1.60,-1.04,-0.17,-0.87,-0.05,0.00,-0.05,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T18:53:00Z,204-9658283-5620365,6V-EEC1-2S9Z,2,15.16,2.66,13.30,,,,,,,-0.66,-0.14,-0.52,,,,-3.88,-0.64,-3.24,-2.38,-0.40,-1.98,-0.12,-0.02,-0.10,,,,,,,,,,,,,"GBP order; deferred (Delivery Date Policy), est release 2026-01-23"
2026-01-01T19:47:00Z,202-8895078-2724346,6V-EEC1-2S9Z,1,8.09,1.35,6.74,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,0.00,-0.05,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T20:10:00Z,203-5551125-1557926,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,0.00,0.00,0.00,,,,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order; promo rebates 0.00
2026-01-01T20:20:00Z,204-3764574-1853903,SU-5LQH-2DVN,1,8.18,1.36,6.82,,,,,,,,,,,,,-3.02,-0.50,-2.52,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,,,,,,,,,,,,,GBP order
2026-01-01T20:23:00Z,204-6220941-7393909,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,,,,,,,-1.82,-0.30,-1.52,-0.91,-0.15,-0.76,-0.05,0.00,-0.05,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T20:52:00Z,205-4179902-1289924,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,,,,,,,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T21:16:00Z,206-4646853-8024367,SU-5LQH-2DVN,1,8.18,1.36,6.82,,,,,,,,,,,,,-3.02,-0.50,-2.52,-1.28,-0.22,-1.06,-0.09,-0.02,-0.07,,,,,,,,,,,,,GBP order
2026-01-01T22:03:00Z,206-9537384-7986709,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,,,,,,,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T22:23:00Z,204-9879523-5781124,XE-YPAI-HX9F,1,12.25,2.29,9.96,,,,,,,,,,,,,-1.87,0.00,-1.87,-2.15,-0.36,-1.79,-0.09,-0.01,-0.08,,,,,,,,,,,,,GBP order; MarketplaceFacilitatorVAT-Principal -2.29; FBA fee VAT not listed
2026-01-01T22:27:00Z,202-7925719-5142763,D2-8SPY-Q095,1,9.92,1.65,8.27,,,,,,,,,,,,,-3.72,-0.62,-3.10,-1.79,-0.30,-1.49,-0.10,-0.01,-0.09,,,,,,,,,,,,,GBP order
2026-01-01T22:34:00Z,206-4495253-2835556,6V-EEC1-2S9Z,1,8.11,1.35,6.76,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,0.00,-0.05,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T22:36:00Z,026-4398509-3197117,SU-5LQH-2DVN,1,8.18,1.36,6.82,,,,,,,,,,,,,-3.03,-0.51,-2.52,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,,,,,,,,,,,,,GBP order
2026-01-01T23:22:00Z,204-8122313-4281919,6V-EEC1-2S9Z,1,8.11,1.35,6.76,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,0.00,-0.05,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T23:50:00Z,203-3784865-8868353,6V-EEC1-2S9Z,1,8.11,1.35,6.76,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T23:58:00Z,202-7434904-0586728,6V-EEC1-2S9Z,1,8.11,1.35,6.76,,,,,,,,,,,,,-1.95,-0.33,-1.62,-1.26,-0.21,-1.05,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
