order_id,posted_date,settlement_id,amount_type,amount,currency
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,VariableClosingFee,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,DigitalServicesFee,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,Principal,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,Tax,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,GiftWrap,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,GiftWrapTax,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,ShippingCharge,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,ShippingTax,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,FBAPerUnitFulfillmentFee,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,Commission,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,FixedClosingFee,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,GiftwrapChargeback,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,ShippingChargeback,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,VariableClosingFee,,GBP
205-1311985-5770768,2025-12-11T18:58:08Z,205-1311985-5770768,DigitalServicesFee,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,Principal,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,Tax,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,GiftWrap,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,GiftWrapTax,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,ShippingCharge,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,ShippingTax,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,FBAPerUnitFulfillmentFee,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,Commission,,GBP
