order_id,sku,currency,quantity,cogs_total
026-2846798-0530722,VF-3T0K-DR5O,GBP,1,2.05
026-2849872-2693933,A2-T2AC-TW3L,GBP,1,4.51
026-2862151-0505119,7L-OT45-7LYB,GBP,1,1.16
026-2870341-9494737,WX-L5UA-UB1Q,GBP,1,1.72
026-2871871-0735554,9X-7TBD-NA16,GBP,1,1.99
026-2880601-3008345,N7-A24N-WJA7,GBP,1,3.01
026-2890330-1783506,6V-EEC1-2S9Z,GBP,1,2.25
026-2900379-6816340,VF-3T0K-DR5O,GBP,1,2.05
026-2926886-7153925,VF-3T0K-DR5O,GBP,1,2.05
026-2929743-2195541,4U-9ZL6-9G0Y,GBP,1,1.26
026-2935454-8939550,Z3-ORV9-K8XD,GBP,1,6.56
026-2938421-4987539,6V-EEC1-2S9Z,GBP,1,2.25
026-2948198-2920303,DC-K5WH-R7F5,GBP,1,0.68
026-2952249-6497943,7L-OT45-7LYB,GBP,1,1.16
026-2958808-4333136,WX-L5UA-UB1Q,GBP,1,1.72
026-2964209-6127537,DC-K5WH-R7F5,GBP,2,1.36
026-2975432-0635524,XE-YPAI-HX9F,GBP,1,4.58
026-2979166-0228356,6V-EEC1-2S9Z,GBP,4,9.0
026-2981373-2900324,WX-L5UA-UB1Q,GBP,1,1.72
026-2982107-8712356,SU-5LQH-2DVN,GBP,1,2.19
026-2983157-9678709,3B-3H3V-Z93T,GBP,2,3.2
026-2985153-6623554,4F-HT42-FD26,GBP,1,3.33
026-2998816-4940303,T8-6UWL-I3E1,GBP,1,1.48
026-3002970-9481927,Z7-26PV-O9LR,GBP,1,4.44
026-3038081-7526719,VF-3T0K-DR5O,GBP,1,2.05
026-3043342-8592360,6V-EEC1-2S9Z,GBP,1,2.25
026-3048070-8918766,AX-NKNU-29C1,GBP,1,0.61
026-3051641-6106768,Z7-26PV-O9LR,GBP,1,4.44
026-3062289-9282726,6V-EEC1-2S9Z,GBP,1,2.25
026-3062973-2281931,6V-EEC1-2S9Z,GBP,1,2.25
026-3066977-6699534,SR-6OBB-WC03,GBP,1,2.86
026-3079237-5670748,LV-425G-BY4X,GBP,1,16.38
026-3086064-2050736,TU-8I14-25ZR,GBP,1,12.67
026-3087185-1683507,EV-CHU5-XU3G,GBP,1,2.73
026-3090011-2729103,6V-EEC1-2S9Z,GBP,1,2.25
026-3103371-9724327,LR-7GM6-1RCH,GBP,1,23.25
026-3109024-1881920,XY-UM2X-TPS3,GBP,1,4.57
026-3117230-3738729,6V-EEC1-2S9Z,GBP,1,2.25
026-3118734-0005916,6P-IWYA-X18B,GBP,1,4.31
026-3120625-6017951,XH-0LAE-FQO5,GBP,1,2.9
026-3128342-2453941,KI-CR51-18J3,GBP,1,28.2
026-3133013-3296316,DC-K5WH-R7F5,GBP,1,0.68
026-3137523-5977958,A2-T2AC-TW3L,GBP,1,4.51
026-3142743-1629926,6V-EEC1-2S9Z,GBP,1,2.25
026-3143916-6115539,DC-K5WH-R7F5,GBP,1,0.68
026-3163351-2600366,6V-EEC1-2S9Z,GBP,1,2.25
026-3170480-4840358,MW-9K5M-VKW8,GBP,1,13.65
026-3174543-3586769,6V-EEC1-2S9Z,GBP,1,2.25
026-3183982-9546700,WX-L5UA-UB1Q,GBP,1,1.72
026-3193007-6323530,A2-T2AC-TW3L,GBP,2,9.02
026-3199105-1319561,A2-T2AC-TW3L,GBP,1,4.51
026-3207553-1614764,6V-EEC1-2S9Z,GBP,1,2.25
026-3230472-0165912,EV-CHU5-XU3G,GBP,1,2.73
026-3238646-1486759,WX-L5UA-UB1Q,GBP,1,1.72
026-3241016-4662717,DC-K5WH-R7F5,GBP,1,0.68
026-3263960-6942750,VF-3T0K-DR5O,GBP,1,2.05
026-3267521-6780317,VF-3T0K-DR5O,GBP,4,8.2
026-3268290-7904310,4F-HT42-FD26,GBP,1,3.33
026-3269254-4179545,DC-K5WH-R7F5,GBP,1,0.68
026-3271990-7461933,WX-L5UA-UB1Q,GBP,1,1.72
026-3291823-1226767,MW-9K5M-VKW8,GBP,1,13.65
026-3293359-5197950,8U-QPFH-3EKQ,GBP,1,2.93
026-3319511-8232345,DC-K5WH-R7F5,GBP,2,1.36
026-3327709-5284343,XH-0LAE-FQO5,GBP,2,5.8
026-3332984-4074726,6V-EEC1-2S9Z,GBP,1,2.25
026-3340214-2178744,EV-CHU5-XU3G,GBP,1,2.73
026-3345244-5645942,6V-EEC1-2S9Z,GBP,1,2.25
026-3345571-3215525,A2-T2AC-TW3L,GBP,1,4.51
026-3349853-1165964,XE-YPAI-HX9F,GBP,1,4.58
026-3350964-7456362,6V-EEC1-2S9Z,GBP,2,4.5
026-3367740-4891504,6V-EEC1-2S9Z,GBP,1,2.25
026-3376515-7979560,A2-T2AC-TW3L,GBP,1,4.51
026-3390926-6361147,DC-K5WH-R7F5,GBP,1,0.68
026-3392505-6351522,WX-L5UA-UB1Q,GBP,1,1.72
026-3403796-9547565,WX-L5UA-UB1Q,GBP,1,1.72
026-3404987-2786733,6V-EEC1-2S9Z,GBP,1,2.25
026-3406445-0897956,T8-6UWL-I3E1,GBP,1,1.48
026-3406467-6880356,A2-T2AC-TW3L,GBP,1,4.51
026-3412524-4917932,A2-T2AC-TW3L,GBP,1,4.51
026-3416213-8447542,6V-EEC1-2S9Z,GBP,1,2.1
026-3438536-0130745,Z3-ORV9-K8XD,GBP,1,6.56
026-3439976-5524369,6P-IWYA-X18B,GBP,1,4.31
026-3447841-7564328,WX-L5UA-UB1Q,GBP,1,1.72
026-3449251-7757950,6V-EEC1-2S9Z,GBP,1,2.25
026-3456757-6738722,6V-EEC1-2S9Z,GBP,1,2.25
026-3457103-6425155,NN-TSZ1-X2RD,GBP,1,3.99
026-3458970-3364367,MW-9K5M-VKW8,GBP,1,13.65
026-3459611-5225126,L1-54EX-56YC,GBP,1,5.35
026-3464775-1201923,A2-T2AC-TW3L,GBP,1,4.51
026-3465935-2715533,6V-EEC1-2S9Z,GBP,1,2.25
026-3466571-2255568,VL-48KZ-J3F2,GBP,1,1.06
026-3470996-7673941,DC-K5WH-R7F5,GBP,2,1.36
026-3482627-8372338,IB-U5FA-BO2Y,GBP,1,20.71
026-3484915-5415566,VL-48KZ-J3F2,GBP,3,3.18
026-3487909-8160316,7H-7G2P-ONWJ,GBP,1,0.88
026-3488345-2203507,6V-EEC1-2S9Z,GBP,1,2.25
026-3494018-6437167,0G-JB6S-PN34,GBP,1,2.74
026-3506896-4045912,MY-KL21-NMV5,GBP,1,18.5
026-3528095-8763534,6V-EEC1-2S9Z,GBP,1,2.25
026-3558689-2866700,T8-6UWL-I3E1,GBP,1,1.48
026-3562625-9039551,A2-T2AC-TW3L,GBP,1,4.51
026-3570230-6612342,WX-L5UA-UB1Q,GBP,1,1.72
026-3571017-4657109,A2-T2AC-TW3L,GBP,1,4.51
026-3594479-2505962,A2-T2AC-TW3L,GBP,1,4.51
026-3594505-3711537,6V-EEC1-2S9Z,GBP,1,2.25
