asof_utc,seller_sku,asin,cpt_status,cpt_gbp,our_live_price_gbp,last_sold_price_gbp,price_reference_gbp,price_reference_source,delta_cpt_minus_reference_gbp,group_ab,cpt_error_summary
2026-02-14T10:00:23Z,FW-WGL2-H61I,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,HT-LVU9-4F5R,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YB-8YQ7-X1X8,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,TX-7TYN-NVF4,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WI-QO7X-YZOL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,G0-25T9-9YZS,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2I-R2RY-BZ85,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RR-0TGC-U4IT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,1P-BRGG-P0N6,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,HY-VZF3-EFS3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,4C-6VFW-JO2C,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3V-HQSI-8QRU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,KE-WQ91-B6JF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,JX-Q0XX-QBZ2,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,SH-RGTH-QQM2,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FR-41MF-KWKU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,MF-FBAW-SRXY,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,J2-N9NA-57NA,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,KR-H2ZK-DRS7,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,M4-MV10-9TX7,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,M5-EOFN-2WPJ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8K-FX05-CCPX,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,DK-9CZR-7SUV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,4Y-2V2S-KSTO,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,VF-WENE-0QSF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,10-KNVB-4BRI,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,CC-9HJK-1XR3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,IX-BHAG-7688,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8Y-8UTW-YHVV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,IS-RZRJ-JMUQ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,4D-KUD8-5IQP,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,6L-R2ZY-X2E0,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,H4-EFUP-2ASL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,QZ-5ZK7-W02G,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9H-K7TV-V6NU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,PI-JTWZ-8YNT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,UC-D1G4-MTYN,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RJ-OVDC-R9JF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,HO-7XV5-UD4D,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,P4-XF7W-GMJA,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,D8-QDS3-LH4T,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,XN-OHVO-FXL6,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,VU-YLRN-9V7D,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,QB-I6MR-7F61,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,TH-JWYZ-LM0D,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,J5-IJ6Y-64VG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9Q-XGAX-ZGBT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,P5-KMQZ-JK8Y,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,P7-91M2-092T,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BC-6AFY-0M24,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,QD-2EAL-Z4J5,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,R8-VELO-CPUA,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,QM-QAGK-D2UQ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WO-75W6-980Q,,,,,,,,,UNKNOWN,
