order_item_id,settlement_order_id,items_order_id,sku,items_sku
58795319922802,204-3084029-2573143,,49-4UKW-G81R,49-4UKW-G81R
58795319922802,204-3084029-2573143,,49-4UKW-G81R,49-4UKW-G81R
58795319922802,204-3084029-2573143,,49-4UKW-G81R,49-4UKW-G81R
58795319922802,204-3084029-2573143,,49-4UKW-G81R,49-4UKW-G81R
58795319922802,204-3084029-2573143,,49-4UKW-G81R,49-4UKW-G81R
58795319922802,204-3084029-2573143,,49-4UKW-G81R,49-4UKW-G81R
58796029143402,206-6559292-1721132,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58796029143402,206-6559292-1721132,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58796029143402,206-6559292-1721132,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58796029143402,206-6559292-1721132,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58796029143402,206-6559292-1721132,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58796029143402,206-6559292-1721132,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58791785752402,206-7620027-1492336,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58791785752402,206-7620027-1492336,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58791785752402,206-7620027-1492336,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58791785752402,206-7620027-1492336,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58791785752402,206-7620027-1492336,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58791785752402,206-7620027-1492336,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58858207283882,206-9537384-7986709,,WX-L5UA-UB1Q,WX-L5UA-UB1Q
58858207283882,206-9537384-7986709,,WX-L5UA-UB1Q,WX-L5UA-UB1Q
58858207283882,206-9537384-7986709,,WX-L5UA-UB1Q,WX-L5UA-UB1Q
58858207283882,206-9537384-7986709,,WX-L5UA-UB1Q,WX-L5UA-UB1Q
58858207283882,206-9537384-7986709,,WX-L5UA-UB1Q,WX-L5UA-UB1Q
58858207283882,206-9537384-7986709,,WX-L5UA-UB1Q,WX-L5UA-UB1Q
58844916449722,206-7207471-8289903,,Z7-26PV-O9LR,Z7-26PV-O9LR
58844916449722,206-7207471-8289903,,Z7-26PV-O9LR,Z7-26PV-O9LR
58844916449722,206-7207471-8289903,,Z7-26PV-O9LR,Z7-26PV-O9LR
58844916449722,206-7207471-8289903,,Z7-26PV-O9LR,Z7-26PV-O9LR
58844916449722,206-7207471-8289903,,Z7-26PV-O9LR,Z7-26PV-O9LR
58844916449722,206-7207471-8289903,,Z7-26PV-O9LR,Z7-26PV-O9LR
58859378887322,202-7925719-5142763,,D2-8SPY-Q095,D2-8SPY-Q095
58859378887322,202-7925719-5142763,,D2-8SPY-Q095,D2-8SPY-Q095
58859378887322,202-7925719-5142763,,D2-8SPY-Q095,D2-8SPY-Q095
58859378887322,202-7925719-5142763,,D2-8SPY-Q095,D2-8SPY-Q095
58859378887322,202-7925719-5142763,,D2-8SPY-Q095,D2-8SPY-Q095
58859378887322,202-7925719-5142763,,D2-8SPY-Q095,D2-8SPY-Q095
58842394650962,202-3373455-3385164,,SU-5LQH-2DVN,SU-5LQH-2DVN
58842394650962,202-3373455-3385164,,SU-5LQH-2DVN,SU-5LQH-2DVN
58842394650962,202-3373455-3385164,,SU-5LQH-2DVN,SU-5LQH-2DVN
58842394650962,202-3373455-3385164,,SU-5LQH-2DVN,SU-5LQH-2DVN
58842394650962,202-3373455-3385164,,SU-5LQH-2DVN,SU-5LQH-2DVN
58842394650962,202-3373455-3385164,,SU-5LQH-2DVN,SU-5LQH-2DVN
58783473237562,204-6300293-2081157,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58783473237562,204-6300293-2081157,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
58783473237562,204-6300293-2081157,,6V-EEC1-2S9Z,6V-EEC1-2S9Z
