Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT
2025-11-11T20:55:58Z,026-1566605-5431569,R7-98IN-2PW8,1,-5.83,-0.97,-4.86,,,,,,,,,,,,,0.45,0.07,0.38,0.01,0.00,0.01,,,
2025-11-12T02:35:13Z,026-0021592-4683540,6V-EEC1-2S9Z,,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.84,0.14,0.70,0.03,0.01,0.02,,,
2025-11-13T09:52:19Z,206-3096715-0987500,6V-EEC1-2S9Z,,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.84,0.14,0.70,0.03,0.01,0.02,,,
2025-11-13T20:28:47Z,205-7440189-2886724,D7-MGBX-RX2P,1,-9.84,-1.64,-8.20,-1.49,-0.25,-1.24,,,,,,,,,,1.41,0.23,1.18,0.05,0.01,0.04,,,
2025-11-14T21:08:47Z,205-0057138-1895504,XH-0LAE-FQO5,2,-7.21,-1.20,-6.01,,,,,,,,,,,,,0.56,0.09,0.47,0.01,0.00,0.01,,,
2025-11-15T22:31:42Z,202-2294229-6576346,H4-86XG-NLX6,1,-10.53,-1.76,-8.77,-1.00,-0.17,-0.83,,,,,,,,,,1.52,0.25,1.27,0.04,0.01,0.03,,,
2025-11-17T22:10:45Z,026-6452439-9089906,8L-INBX-OUTU,1,-8.99,-1.50,-7.49,,,,,,,,,,,,,1.30,0.22,1.08,0.03,0.01,0.02,,,
2025-11-18T16:27:13Z,205-4298836-9670735,XH-0LAE-FQO5,1,-7.21,-1.20,-6.01,,,,,,,,,,,,,0.56,0.09,0.47,0.01,0.00,0.01,,,
2025-11-18T22:07:42Z,205-7244367-3352343,H4-86XG-NLX6,1,-10.53,-1.76,-8.77,,,,,,,,,,,,,1.51,0.25,1.26,0.03,0.01,0.02,,,
2025-11-19T12:28:43Z,206-9163507-0952325,6V-EEC1-2S9Z,,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.84,0.14,0.70,0.02,0.00,0.02,,,
2025-11-20T15:11:03Z,206-0521582-1490762,3X-EXDD-TD2K,1,-49.99,-8.33,-41.66,,,,,,,,,,,,,7.20,1.20,6.00,0.18,0.03,0.15,,,
2025-11-21T21:22:28Z,206-0902732-6158733,JV-D1TI-6UF6,1,-9.16,-1.53,-7.63,,,,,,,,,,,,,1.32,0.22,1.10,0.03,0.01,0.02,,,
2025-11-22T22:12:34Z,026-5806548-2347519,WX-L5UA-UB1Q,1,-5.98,-1.00,-4.98,,,,,,,,,,,,,0.75,0.13,0.62,0.02,0.00,0.02,,,
2025-11-22T23:13:29Z,205-2810625-1203535,H4-86XG-NLX6,1,-12.89,-2.15,-10.74,,,,,,,,,,,,,1.84,0.31,1.53,0.05,0.01,0.04,,,
2025-11-23T21:06:41Z,202-8169168-7685166,0H-5V53-GPG4,1,-11.91,-1.99,-9.92,,,,,,,,,,,,,1.72,0.29,1.43,0.05,0.01,0.04,,,
2025-11-23T21:48:40Z,204-5473984-0112311,I2-6YKQ-CIBP,1,-8.08,-1.35,-6.73,-1.99,-0.33,-1.66,,,,,,,,,,1.16,0.19,0.97,0.06,0.01,0.05,,,
2025-11-24T18:59:20Z,203-5530925-8369949,MY-KL21-NMV5,1,-39.06,-6.51,-32.55,,,,,,,,,,,,,5.63,0.94,4.69,0.14,0.02,0.12,,,
2025-11-26T13:47:05Z,204-2713578-4934727,ZU-VG38-OF3L,,-51.24,-9.58,-41.66,,,,,,,,,,,,,7.34,1.22,6.12,,,,,,
2025-11-27T18:50:52Z,205-2969025-2597167,5M-QO6K-LNH0,,-7.68,-1.28,-6.40,,,,,,,,,,,,,1.10,0.18,0.92,0.02,0.00,0.02,,,
2025-11-27T23:33:14Z,203-6004519-7674725,NN-TSZ1-X2RD,1,,,,-0.93,-0.17,-0.76,,,,,,,,,,,,,0.02,0.00,0.02,,,
2025-11-28T19:39:21Z,202-2057047-5257146,XH-0LAE-FQO5,1,-7.12,-1.19,-5.93,-1.00,-0.17,-0.83,,,,,,,,,,0.56,0.09,0.47,0.02,0.00,0.02,,,
2025-11-28T22:24:04Z,026-2240061-2302715,6V-EEC1-2S9Z,1,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.83,0.14,0.69,0.02,0.00,0.02,,,
2025-11-29T21:35:39Z,203-7699061-1536360,U1-M5BM-8F5W,1,-22.57,-3.76,-18.81,-1.12,-0.19,-0.93,,,,,,,,,,1.52,0.25,1.27,0.04,0.01,0.03,,,
2025-11-30T20:07:37Z,205-2833159-2653949,DO-QDI1-K7R9,1,-45.95,-7.66,-38.29,-1.99,-0.33,-1.66,,,,,,,,,,6.60,1.10,5.50,0.16,0.03,0.13,,,
2025-12-01T20:16:59Z,206-5208074-0630742,7L-OT45-7LYB,1,-4.34,-0.72,-3.62,,,,,,,,,,,,,0.54,0.09,0.45,0.01,0.00,0.01,,,
2025-12-02T01:20:52Z,203-6473539-1827551,0N-X5KF-213D,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02T18:34:29Z,026-1858953-4773144,WX-L5UA-UB1Q,1,-5.98,-1.00,-4.98,,,,,,,,,,,,,0.74,0.12,0.62,0.02,0.00,0.02,,,
2025-12-03T15:13:42Z,206-5702592-9921934,6V-EEC1-2S9Z,1,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.84,0.14,0.70,0.03,0.01,0.02,,,
2025-12-03T18:47:28Z,202-3648857-7183536,GJ-2OZK-0GCA,,-39.99,-6.67,-33.32,,,,,,,,,,,,,5.76,0.96,4.80,0.14,0.02,0.12,,,
2025-12-03T20:39:43Z,026-9059396-5903524,WX-L5UA-UB1Q,1,-5.98,-1.00,-4.98,,,,,,,,,,,,,0.74,0.12,0.62,0.02,0.00,0.02,,,
2025-12-03T20:58:21Z,205-3655716-0105118,A2-T2AC-TW3L,1,-12.24,-2.04,-10.20,,,,,,,,,,,,,1.53,0.26,1.27,0.04,0.01,0.03,,,
2025-12-03T22:16:27Z,202-1518160-7285947,DC-K5WH-R7F5,1,-3.01,-0.50,-2.51,-0.99,-0.17,-0.82,,,,,,,,,,0.24,0.04,0.20,0.02,0.00,0.02,,,
