"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"204-6220941-7393909 / Shipped / COG: 1.72 / FBA";"01.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.87";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.87";"";"";"";"-2.33";"-1.72";"";"0.84";"";"0.84";"14.34";"48.94";"";""
"204-3764574-1853903 / Shipped / COG: 2.19 / FBA";"01.01.2026";"3 PCS EVERBUILD INDUSTRIAL GRADE SUPER GLUE HV HIGH VISCOSITY BONDS PVC, METAL, MDF, ALUMINIUM, CERAMICS, RUBBER ETC. 20G EACH / Price: 8.18";"B07SLLYRSP";"SU-5LQH-2DVN";"1";"";"8.18";"";"";"";"-3.65";"-2.19";"";"0.98";"";"0.98";"11.94";"44.60";"";""
"203-5551125-1557926 / Shipped / COG: 1.72 / FBA";"01.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.87";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.87";"";"";"";"-2.33";"-1.72";"";"0.84";"";"0.84";"14.34";"48.94";"";""
"202-8895078-2724346 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 8.09";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"8.09";"";"";"";"-2.72";"-2.25";"";"1.77";"";"1.77";"21.90";"78.74";"";""
"204-9658283-5620365 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 7.98";"B06WW79DX5";"6V-EEC1-2S9Z";"2";"";"15.96";"-0.79";"";"";"-5.32";"-4.5";"";"2.82";"";"2.82";"17.68";"62.71";"FBA Subscribe & Save Discount";""
"205-9979731-9513929 / Shipped / COG: 2.46 / FBA";"01.01.2026";"The Army Painter | Hobby: Super Glue / Price: 6.73";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"6.73";"";"";"";"-2.52";"-2.46";"";"0.63";"";"0.63";"9.34";"25.54";"";""
"205-0291358-9417951 / Shipped / COG: 3.04 / FBA";"01.01.2026";"100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm / Price: 8.22";"B00WI8O0RG";"49-4UKW-G81R";"2";"";"16.44";"";"";"";"-6.02";"-6.08";"";"1.60";"";"1.60";"9.73";"26.32";"";""
"202-0163562-6882721 / Shipped / COG: 4.3 / FBA";"01.01.2026";"Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical) / Price: 8.99";"B07J9JGZZV";"Z7-26PV-O9LR";"1";"";"8.99";"";"";"";"-2.36";"-4.3";"";"0.83";"";"0.83";"9.25";"19.34";"";""
"206-0647215-7566760 / Shipped / COG: 3.33 / FBA";"01.01.2026";"100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm / Price: 8.98";"B010E25DI2";"4F-HT42-FD26";"1";"";"8.98";"";"";"";"-3.14";"-3.33";"";"1.01";"";"1.01";"11.28";"30.43";"";""
"026-9762495-0064333 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 8.07";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"8.07";"";"";"";"-2.72";"-2.25";"";"1.76";"";"1.76";"21.75";"78.00";"";""
"203-2356632-3105919 / Shipped / COG: 2.19 / FBA";"01.01.2026";"3 PCS EVERBUILD INDUSTRIAL GRADE SUPER GLUE HV HIGH VISCOSITY BONDS PVC, METAL, MDF, ALUMINIUM, CERAMICS, RUBBER ETC. 20G EACH / Price: 8.18";"B07SLLYRSP";"SU-5LQH-2DVN";"1";"";"8.18";"";"";"";"-3.65";"-2.19";"";"0.98";"";"0.98";"11.94";"44.60";"";""
"026-5313246-8599533 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 8.05";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"8.05";"";"";"";"-2.72";"-2.25";"";"1.74";"";"1.74";"21.59";"77.26";"";""
"026-2835431-4003514 / Shipped / COG: 0.68 / FBA";"01.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"1";"";"3";"";"";"";"-1.75";"-0.68";"";"0.07";"";"0.07";"2.33";"10.29";"";""
"204-6398425-2686723 / Shipped / COG: 1.72 / FBA";"01.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.87";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.87";"";"";"";"-2.33";"-1.72";"";"0.84";"";"0.84";"14.34";"48.94";"";""
"203-8381898-2659535 / Shipped / COG: 2.46 / FBA";"01.01.2026";"The Army Painter | Hobby: Super Glue / Price: 6.73";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"6.73";"";"";"";"-2.52";"-2.46";"";"0.63";"";"0.63";"9.34";"25.54";"";""
