Date,Order ID,lvl,country_code,SKU,Quantity Ordered,currency_code,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-05T14:14:07Z,204-0291248-8964372,3,GB,XH-0LAE-FQO5,1,GBP,7.17,1.20,5.97,,,,,,,0.0,0.0,0.0,-3.48,-0.58,-2.9,-1.75,-0.29,-1.46,-0.68,-0.11,-0.57,-0.05,-0.01,-0.04,,,,1.0,16.750418760469014
2025-11-05T16:56:43Z,205-0435169-3971507,3,GB,3X-EXDD-TD2K,1,GBP,45.48,7.58,37.90,,,,,,,0.0,0.0,0.0,-24.44,-4.07,-20.37,-2.6,-0.43,-2.17,-8.18,-1.36,-6.82,,,,,,,8.54,22.532981530342997
2025-11-05T16:59:09Z,203-3891640-9222717,3,GB,XH-0LAE-FQO5,2,GBP,14.38,2.40,11.98,,,,,,,0.0,0.0,0.0,-6.96,-1.16,-5.8,-3.51,-0.59,-2.92,-1.39,-0.23,-1.16,-0.1,-0.02,-0.08,,,,2.02,16.861435726210352
2025-11-05T18:13:55Z,205-7168069-0265116,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.68,-0.11,-0.57,-0.07,-0.01,-0.06,,,,1.13,15.804195804195809
2025-11-05T19:01:07Z,203-1474831-1813110,3,GB,9X-7TBD-NA16,1,GBP,6.94,1.16,5.78,,,,,,,0.0,0.0,0.0,-2.39,-0.4,-1.99,-2.0,-0.33,-1.67,-1.25,-0.21,-1.04,-0.06,-0.01,-0.05,,,,1.03,17.820069204152254
2025-11-05T19:49:16Z,026-9113010-6365925,3,GB,AF-KIHX-ANYY,1,GBP,4.00,0.67,3.33,,,,,,,0.0,0.0,0.0,-1.01,-0.17,-0.84,-1.76,-0.29,-1.47,-0.62,-0.1,-0.52,-0.05,-0.01,-0.04,,,,0.46,13.813813813813821
2025-11-05T20:36:28Z,204-7653542-5381132,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,,,,-0.69,-0.12,-0.57,-0.02,0.0,-0.02,,,,3.82,53.426573426573434
2025-11-05T20:50:10Z,203-8247006-8596356,3,GB,NN-TSZ1-X2RD,1,GBP,9.99,1.67,8.32,1.12,0.19,0.93,,,,0.0,0.0,0.0,-4.66,-0.87,-3.79,-1.8,-0.3,-1.5,-0.96,-0.16,-0.8,-0.06,-0.01,-0.05,,,,3.11,33.62162162162162
2025-11-05T20:59:31Z,026-9624069-0990712,3,GB,XH-0LAE-FQO5,1,GBP,7.21,1.20,6.01,,,,,,,0.0,0.0,0.0,-3.48,-0.58,-2.9,-1.75,-0.29,-1.46,-0.7,-0.12,-0.58,-0.04,-0.01,-0.03,,,,1.04,17.304492512479204
2025-11-05T21:25:10Z,205-7440189-2886724,3,GB,D7-MGBX-RX2P,1,GBP,9.84,1.64,8.20,1.49,0.25,1.24,,,,0.0,0.0,0.0,-3.28,-0.55,-2.73,-3.18,-0.53,-2.65,-1.77,-0.29,-1.48,-0.11,-0.02,-0.09,,,,2.49,26.377118644067792
