"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"12/14/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","210","0","0","-3","0","0","0","0","0","0","0","0","207","0","BHX3"
"12/13/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","217","0","0","-7","0","0","0","0","0","0","0","0","210","0","BHX3"
"12/12/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","221","0","0","-4","0","0","0","0","0","0","0","0","217","0","BHX3"
"12/11/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","221","0","0","0","0","0","0","0","0","0","0","0","221","0","BHX3"
"12/10/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","221","0","0","0","0","0","0","0","0","0","0","0","221","0","BHX3"
"12/09/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","221","0","0","0","0","0","0","0","0","0","0","0","221","0","BHX3"
"12/08/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","221","0","0","0","0","0","0","0","0","0","0","0","221","0","BHX3"
"12/07/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","221","0","0","0","0","0","0","0","0","0","0","0","221","0","BHX3"
"12/06/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","221","0","0","0","0","0","0","0","0","0","0","0","221","0","BHX3"
"12/05/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","222","0","0","-1","0","0","0","0","0","0","0","0","221","0","BHX3"
"12/04/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","222","0","0","0","0","0","0","0","0","0","0","0","222","0","BHX3"
"12/03/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","222","0","0","0","0","0","0","0","0","0","0","0","222","0","BHX3"
"12/02/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","222","0","0","0","0","0","0","0","0","0","0","0","222","0","BHX3"
"12/01/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","222","0","0","0","0","0","0","0","0","0","0","0","222","0","BHX3"
"11/30/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","222","0","0","0","0","0","0","0","0","0","0","0","222","0","BHX3"
"11/29/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","223","0","0","-1","0","0","0","0","0","0","0","0","222","0","BHX3"
"11/28/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","223","0","0","0","0","0","0","0","0","0","0","0","223","0","BHX3"
"11/27/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","224","0","0","-1","0","0","0","0","0","0","0","0","223","0","BHX3"
"11/26/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","224","0","0","0","0","0","0","0","0","0","0","0","224","0","BHX3"
"11/25/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","224","0","0","0","0","0","0","0","0","0","0","0","224","0","BHX3"
"11/24/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","224","0","0","0","0","0","0","0","0","0","0","0","224","0","BHX3"
"11/23/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","226","0","0","-2","0","0","0","0","0","0","0","0","224","0","BHX3"
"11/22/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","226","0","0","0","0","0","0","0","0","0","0","0","226","0","BHX3"
"11/21/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","226","0","0","0","0","0","0","0","0","0","0","0","226","0","BHX3"
"11/20/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","226","0","0","0","0","0","0","0","0","0","0","0","226","0","BHX3"
