"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"Tacwise 0283 Type 91 / 15 mm Galvanised Narrow Crown Staples, Pack of 1 COG: 2.6 / Price: 7.91";"B000X2F4II";"RB-1O77-8969";"10";"";"78.79";"";"";"";"";"";"";"";"";"";"-";"";"-29.33";"-26";"-13.13";"";"10.33";"10.33";"49.46";"";"13.11";"39.73";"32 180";"";"257";"3.89"
"Ultra Pro - Eclipse 9-Pocket Pro-Binder - Apple Red COG: 8.73 / Price: 18.69";"B0024I0DBW";"CN-NR50-TSFE";"3";"";"62.33";"";"";"";"";"";"";"";"";"";"-";"";"-16.1";"-26.19";"-10.39";"";"9.65";"9.65";"46.23";"";"15.48";"36.85";"38 914";"";"43";"6.98"
"Yale YES-CYLPULL-CH Essentials Rim Cylinder Door Pull, Great for External Doors, for Easy Door Closing, Chrome Finish COG: 1.2 / Price: 4.31";"B01NBDFDBC";"7L-OT45-7LYB";"36";"";"158.37";"";"";"";"";"";"";"";"";"";"-";"";"-78.86";"-43.2";"-26.39";"-1.38";"8.54";"8.54";"78.13";"";"5.39";"19.77";"9 671";"";"684";"5.26"
"Dragon Shield | Standard Size Card Matte Sleeves | 100 CT - Smooth & Tough Premium TCG Sleeves | Compatible with Pokemon, Flesh & Blood, One Piece & Magic The Gathering | Turquoise - Players' Choice COG: 4.32 / Price: 11.84";"B0BNLWBLMV";"VU-8KRA-QP5M";"16";"1";"191.94";"";"";"";"";"";"";"";"";"6.25";"-";"-10.38";"-72.48";"-69.12";"-30.02";"-2.08";"7.86";"7.86";"107";"";"4.10";"11.37";"1 849";"";"100";"16.00"
"LEXIBOOK - Paw Patrol - Cordless Mini Bedside Lamp and Nightlight Paw Patrol - Blue - MLT10PA COG: 6.95 / Price: 15.37";"B08W25WKTN";"OV-LVEL-DQL6";"7";"";"108.17";"";"";"";"";"";"";"";"";"";"-";"";"-33.45";"-48.65";"-18.35";"";"7.72";"7.72";"74.72";"";"7.14";"15.87";"3 677";"";"154";"4.55"
"The Army Painter Lowland Shrubs, 77 Self Adhesive Static Grass Tufts in 3 Sizes, for Model Bases, Terrain Scenics, Miniature Bases and Diorama Base, Green Grass Tufts for Gaming Bases COG: 3.28 / Price: 7.99";"B086MBW9R9";"BB-ZT14-1QQA";"7";"";"55.93";"";"";"";"";"";"";"";"";"";"-";"";"-18.98";"-20.79";"-9.32";"";"6.84";"6.84";"36.95";"";"12.23";"32.90";"65 602";"";"46";"15.22"
"Cameleo - Permanent Hair Colour Cream - Copper Brown - Intensive Color & Protection - 5 Oils + Omega Plus Acids - Professional, Luxurious Hair Dye - Full Kit COG: 1.65 / Price: 6.94";"B08MVGD2ND";"RI-VSUS-0YTD";"7";"";"48.58";"";"";"";"";"";"";"";"";"";"-";"";"-23.88";"-11.55";"-8.10";"";"5.05";"5.05";"24.7";"";"10.40";"43.72";"38 619";"";"64";"10.94"
"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup COG: 2.53 / Price: 8.96";"B016Y8SWZQ";"8L-INBX-OUTU";"5";"";"44.86";"";"";"";"";"";"";"";"";"";"-";"";"-19.74";"-12.65";"-7.48";"";"4.99";"4.99";"25.12";"";"11.12";"39.45";"32 841";"";"1 110";"0.45"
"LEXIBOOK Cordless Mini Bedside Lamp and Nightlight Nintendo - Red - MLT10NI COG: 6.95 / Price: 15.46";"B09ST7SSLW";"SU-JM8R-2U82";"4";"";"62.04";"";"";"";"";"";"";"";"";"";"-";"";"-20.25";"-27.8";"-10.34";"";"3.65";"3.65";"41.79";"";"5.88";"13.13";"3 677";"";"112";"3.57"
"Loctite 319 Rear View Mirror Bonder 0.5ml COG: 2.47 / Price: 6.01";"B0001P0DLU";"JB-RGB6-LZOJ";"20";"1";"120.2";"";"";"";"";"";"";"";"";"5.00";"-";"-5.37";"-43.14";"-49.4";"-19.03";"";"3.26";"3.26";"71.69";"";"2.71";"6.60";"4 346";"";"1 228";"1.63"
