"timestamp_utc","issue","suggested_command","raw_line"
"2026-02-15T10:59:13Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T10:59:13Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T11:24:12Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T11:24:12Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T11:49:12Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T11:49:12Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T12:14:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T12:14:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T12:39:12Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T12:39:12Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T13:04:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T13:04:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T13:29:10Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T13:29:10Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T13:54:10Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T13:54:10Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T14:19:09Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T14:19:09Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T14:44:09Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T14:44:09Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T15:09:08Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T15:09:08Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T15:34:08Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T15:34:08Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T15:59:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T15:59:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T16:24:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T16:24:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T16:49:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T16:49:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T17:14:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T17:14:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T17:39:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T17:39:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T18:04:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T18:04:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T18:29:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T18:29:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T18:54:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T18:54:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T19:19:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T19:19:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T19:44:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T19:44:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T20:09:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T20:09:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T20:34:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T20:34:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T20:59:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T20:59:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T21:24:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T21:24:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T21:49:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T21:49:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T22:14:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T22:14:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T22:39:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T22:39:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T23:04:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T23:04:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T23:29:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T23:29:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T23:54:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T23:54:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T00:19:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T00:19:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T00:44:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T00:44:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T01:09:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T01:09:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T01:34:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T01:34:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T01:59:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T01:59:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T02:24:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T02:24:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T02:49:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T02:49:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T03:14:06Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T03:14:06Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T03:39:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T03:39:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T04:04:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T04:04:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T04:29:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T04:29:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T04:54:08Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T04:54:08Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T05:19:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T05:19:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T05:44:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T05:44:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T06:09:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T06:09:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T06:34:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T06:34:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T06:59:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T06:59:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T07:24:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T07:24:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T07:49:11Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T07:49:11Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T09:17:34Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T09:17:34Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T09:33:39Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T09:33:39Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T09:49:44Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T09:49:44Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T10:05:47Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T10:05:47Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T10:21:57Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T10:21:57Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T10:38:03Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T10:38:03Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T10:54:15Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T10:54:15Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-16T11:10:27Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-16T11:10:27Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
