"event_ts_utc","sku","state","old_price_gbp","new_price_gbp","write_status","write_error","final_ceiling_landed_gbp","hard_floor_gbp","reason_codes_json"
"2026-02-17T00:55:07Z","L1-54EX-56YC","REGAIN","12.96","12.96","NO_WRITE_REQUIRED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T01:11:06Z","L1-54EX-56YC","RAISE_FIND_LOSS","12.96","13.16","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T01:27:04Z","L1-54EX-56YC","REGAIN","14.3","12.84","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T01:43:00Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T01:58:55Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T02:14:50Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T02:30:45Z","L1-54EX-56YC","RAISE_FIND_LOSS","12.84","13.04","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T02:46:45Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.04","13.24","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T03:02:46Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.24","13.44","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T03:18:49Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.44","13.64","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T03:34:42Z","L1-54EX-56YC","REGAIN","13.64","12.84","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T03:50:42Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
